20190504,浦东,世博,昌里众盛苑 2室2厅 330万,330万,昌里众盛苑  | 2室2厅 | 66.08平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-40413779-14f5-411e-8300-b5a30e142527.jpg.296x216.jpg
20190504,浦东,世博,小区绿化优美 高楼层电梯房 视野开阔 诚意出售,460万,昌里花园  | 1室1厅 | 74.38平米 | 西南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-01482dc3-151c-4d9c-acd1-f18aaa9abdaf.png.296x216.jpg
20190504,浦东,世博,德州五村 1室1厅 175万,175万,德州五村  | 1室1厅 | 32.81平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-6f9ab96a-953a-4b1b-87ab-0893ba27804c.jpg.296x216.jpg
20190504,浦东,世博,新上大三房  一手动迁 满五唯一 面宽3.6M小区稀有户型房主自荐,438万,齐八小区  | 3室2厅 | 78.29平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-54ae8219-9213-46ec-ad64-56b3dbf14669.png.296x216.jpg
20190504,浦东,世博,双南两房，售后公房，拎包入住，近地铁713号线,345万,济阳二村  | 2室1厅 | 67.31平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-0b7a8ebb-e46f-477d-abb5-12bce22a13fc.jpg.296x216.jpg
20190504,浦东,世博,昌四小区 2室1厅 339万,339万,昌四小区  | 2室1厅 | 64.19平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-fd987191-6040-4020-b418-40ee3ce6ef78.jpg.296x216.jpg
20190504,浦东,世博,东明苑 2室1厅 440万,440万,东明苑  | 2室1厅 | 80.82平米 | 南 西南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-6bb5d3a5-1eda-454a-864d-b8e173940fb2.jpg.296x216.jpg
20190504,浦东,世博,上南六村 1室1厅 205万,205万,上南六村  | 1室1厅 | 35.46平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-6e0ebba9-2960-4888-999b-40cf560e2671.jpg.296x216.jpg
20190504,浦东,世博,上南十村 2室2厅 310万,310万,上南十村  | 2室2厅 | 52.32平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-8d34fcf3-9698-4268-be12-de952a6c89b5.jpg.296x216.jpg
20190504,浦东,世博,顶楼带阁楼，看房有钥匙，拎包入住，近地铁7/13号线,270万,上钢八九村  | 2室0厅 | 46平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-0859c9c7-7a65-4c4b-8b88-a26e15f6f5d3.jpg.296x216.jpg
20190504,浦东,世博,电梯两房，精装修，品牌家电，楼下双轨地铁，拎包住,392万,展峰大楼  | 2室1厅 | 70.12平米 | 南 西南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-f03026fe-e4c7-4534-9293-ac37ccd7118d.png.296x216.jpg
20190504,浦东,世博,上南十一村 1室1厅 215万,215万,上南十一村  | 1室1厅 | 42.3平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-d1b36764-923f-4a3d-8971-440479508eee.jpg.296x216.jpg
20190504,浦东,世博,新世纪花苑地铁精装全明房看房随时,380万,新世纪花苑(一期)(浦东)  | 2室2厅 | 67.85平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-09e5a2bc-c0ff-4b5c-907d-239ce742649f.jpg.296x216.jpg
20190504,浦东,世博,红莲小区 2室1厅 410万新上,410万,红莲小区  | 2室1厅 | 86.07平米 | 东 北 | 简装,https://image1.ljcdn.com/310000-inspection/prod-540ee22f-7754-4898-a249-5b60e2f3e49d.jpg.296x216.jpg
20190504,浦东,世博,一个自带公园的小区，临河带跑道，交通出行便捷新上,280万,德州七村  | 2室1厅 | 54.56平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-02cea813-6445-4125-9444-27cd3c148a7a.png.296x216.jpg
20190504,浦东,世博,昌五小区 2室1厅 308万新上,308万,昌五小区  | 2室1厅 | 56.3平米 | 南 | 其他 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-90d8fd0a-2ab6-4508-86d9-16cc4b48f5f5.jpg.296x216.jpg
20190504,浦东,世博,楼层好，正对小区楼栋之间。离地铁站近,255万,新世纪花苑(一期)(浦东)  | 1室1厅 | 50.93平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-d1576d66-9e45-439e-b040-de4ed6b04290.png.296x216.jpg
20190504,浦东,世博,昌四小区 1室1厅 185万,185万,昌四小区  | 1室1厅 | 36.47平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-37edc9e8-c8a0-4a80-ae13-ca81d069c3bb.jpg.296x216.jpg
20190504,浦东,世博,上钢新村+7/13号线+楼层适宜户型正气+总价低税费低,255万,上钢八九村  | 2室1厅 | 45.11平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-117e6674-d813-4431-a7e2-4cef25695e04.png.296x216.jpg
20190504,浦东,世博,税费各付  全明户型 诚意出售 链家有钥匙随时看,240万,德州六村  | 2室1厅 | 54平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-dd43407a-8d5d-454e-a720-c0e848fbedcd.jpg.296x216.jpg
20190504,浦东,世博,德州二村 1室1厅 185万,185万,德州二村  | 1室1厅 | 38.12平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-f398ef40-3d69-476b-b01f-2f844741d9a1.png.296x216.jpg
20190504,浦东,世博,世博板块，交通便利，生活配套齐全,288万,昌五小区  | 2室1厅 | 56.81平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-923fb7e5-4d9f-4c4e-b4df-2e195fa85c0a.jpg.296x216.jpg
20190504,浦东,世博,房子位置不靠马路，看房随时方便,345万,云台一小区  | 2室1厅 | 63.83平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-10aba9a4-996e-430b-85b7-fd027c791101.jpg.296x216.jpg
20190504,浦东,世博,非顶楼一梯两户南北两房位置好低税费看房方便诚意出售房主自荐,520万,新世纪花苑(二期)(浦东)  | 2室2厅 | 84.07平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-28611f0b-dbd2-48af-be1f-eb0e20b60b0f.png.296x216.jpg
20190504,浦东,世博,全明大三房，南北通，楼层好近地铁房主自荐,595万,联城花苑  | 3室2厅 | 100.24平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-e7b7f931-97e5-4721-994f-65d37c65f88f.png.296x216.jpg
20190504,浦东,世博,世博品质小区 全明大三房总价低 交通方便生活便利,799万,上南花苑(三期)  | 3室2厅 | 136平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-14450fbb-b32a-422f-8b8e-4406137855ad.jpg.296x216.jpg
20190504,浦东,世博,德西大楼 2室1厅 380万,380万,德西大楼  | 2室1厅 | 68.81平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-898947bb-4548-4b04-9fc6-673028deb605.jpg.296x216.jpg
20190504,浦东,世博,博爱家园 2室2厅 650万,650万,博爱家园  | 2室2厅 | 95.64平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-7a92c3c6-bba5-40ce-a57b-4cf7cfa392e5.jpg.296x216.jpg
20190504,浦东,世博,新世纪花苑(二期)(浦东) 2室1厅 360万,360万,新世纪花苑(二期)(浦东)  | 2室1厅 | 68.89平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-690eee37-d130-45dd-bf31-ed9189a0ab13.jpg.296x216.jpg
20190504,浦东,世博,房东诚心出售，看房随时方便，地铁600多米,190万,上南七村  | 1室0厅 | 36.76平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-2e68e00f-4aa3-4cb3-9ffc-341835b307a3.png.296x216.jpg
20190504,浦东,世博,云台二小区 1室1厅 295万,295万,云台二小区  | 1室1厅 | 48.1平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-6682a108-25ca-47e7-8fb4-b4f74087b502.png.296x216.jpg
20190504,浦东,世博,爵仕悦 2室2厅 710万,710万,爵仕悦  | 2室2厅 | 106.05平米 | 东 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-d103ba5c-4094-4268-95e1-8bee8adc3740.jpg.296x216.jpg
20190504,浦东,世博,云台一小区 3室1厅 430万,430万,云台一小区  | 3室1厅 | 72.27平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-44103021-59bb-4063-885b-c0817751f1bb.jpg.296x216.jpg
20190504,浦东,世博,云台二小区 2室1厅 420万,420万,云台二小区  | 2室1厅 | 72.48平米 | 西 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-43128635-18b6-4050-a507-b22c574c9584.jpg.296x216.jpg
20190504,浦东,世博,售后公房，满五唯一，中区楼层地铁边，双南两房,405万,昌七小区  | 2室2厅 | 74.69平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-2fd2b275-86b3-4437-92e8-a5b74f3f3f82.jpg.296x216.jpg
20190504,浦东,世博,上钢八九村 2室1厅 252万,252万,上钢八九村  | 2室1厅 | 47.53平米 | 南 | 其他 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-91fcf706-c45c-4c33-9285-f045d082343f.jpg.296x216.jpg
20190504,浦东,世博,德州七村 2室1厅 300万,300万,德州七村  | 2室1厅 | 56.3平米 | 南 | 其他 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-34bc36a4-1a7d-441f-9df4-52024d4b5a90.jpg.296x216.jpg
20190504,浦东,世博,世博铂金地段 小户型 中装一房朝南可看小区景观,277万,昌里花园(二期)  | 1室1厅 | 42.54平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-6acddf7c-68f5-41d9-a1fe-195eec145d1d.jpg.296x216.jpg
20190504,浦东,世博,上南六村，交通方便，配套齐全，位置好，楼层三楼,310万,上南六村  | 2室0厅 | 52.24平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-25ee9bd8-d737-49ff-adc0-f945ae26f858.jpg.296x216.jpg
20190504,浦东,世博,近三轨交 婚房装修自住 满五产权清晰 上实总校旁房主自荐,340万,齐二小区  | 2室1厅 | 59.23平米 | 南 | 毛坯 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-41bfedd1-c24c-43f2-9e4d-fe62fae4ba6b.jpg.296x216.jpg
20190504,浦东,世博,上钢五村 1室0厅 190万新上,190万,上钢五村  | 1室0厅 | 33.64平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-e995ab2d-a232-451c-a529-e693284f80e9.jpg.296x216.jpg
20190504,浦东,世博,非顶楼上钢五南北两房，房东诚心出售,260万,上钢五村  | 2室1厅 | 50.94平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-ad8ffcdf-9e99-4437-bedf-d503c782627b.jpg.296x216.jpg
20190504,浦东,世博,东明苑 1室1厅 248万,248万,东明苑  | 1室1厅 | 44.3平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-75fe8cc9-abda-4076-8723-6f6a2e5f03c4.jpg.296x216.jpg
20190504,浦东,世博,上南十一村 1室1厅 220万,220万,上南十一村  | 1室1厅 | 42.3平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-4d9406c2-3799-49aa-8d31-939567194a19.jpg.296x216.jpg
20190504,浦东,世博,精装修一室户，楼层好，采光好，视野开阔，,215万,上钢四村  | 1室1厅 | 42.53平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-38c33b09-904c-4e0a-ba35-45da243eba7e.jpg.296x216.jpg
20190504,浦东,世博,上南五村，精装一房，电梯房，看房方便，房东诚售,275万,上南五村  | 1室1厅 | 51.15平米 | 西 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-5f166e4c-72cb-4784-a840-2056bf8c7cf5.jpg.296x216.jpg
20190504,浦东,世博,逸翠公馆 2室1厅 472万,472万,逸翠公馆  | 2室1厅 | 66.55平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-f4786364-1d64-4bd6-b35b-18eacb75f9d7.jpg.296x216.jpg
20190504,浦东,世博,新出南北全明2房，有钥匙可随时看，房东诚意卖。,275万,济阳一村  | 2室1厅 | 54.26平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-670a8980-d10d-492d-a0df-6e831df9c941.jpg.296x216.jpg
20190504,浦东,世博,上钢七村 2室1厅 310万,310万,上钢七村  | 2室1厅 | 53.25平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-0082cf6d-8df5-4318-9f1e-05a04be53c7b.jpg.296x216.jpg
20190504,浦东,世博,世博版块 昌五小区 双南两房 业主诚心出售 少有户型,289万,昌五小区  | 2室1厅 | 57.19平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-15981167-0310-4723-aff5-bf61dc91619d.jpg.296x216.jpg
20190504,浦东,世博,上南三村 2室1厅 280万,280万,上南三村  | 2室1厅 | 54.72平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-6af3a932-1acd-4d19-b36c-591c9582839b.png.296x216.jpg
20190504,浦东,世博,世博版块 昌四小区 采光好 诚心出售,230万,昌四小区  | 1室1厅 | 45.35平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-d2fd0ba3-b737-4faa-baee-d68dcdf1cfec.jpg.296x216.jpg
20190504,浦东,世博,济阳三村 2室0厅 267万,267万,济阳三村  | 2室0厅 | 53.29平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-d6eb116b-0c1a-4236-9b03-3f77d38202c3.jpg.296x216.jpg
20190504,浦东,世博,精装一房一厅，小区位置好，业主自住，看房随时方便,192万,上南七村  | 1室1厅 | 37.17平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-9ef24995-a46a-4c88-b8cd-04d761ba281e.png.296x216.jpg
20190504,浦东,世博,恒大小区 6/13号线 精装修 带中0央空调 南北两房,340万,恒大小区  | 2室1厅 | 65.68平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-7e10bdef-8f7d-4aaa-a06d-0b66085d0302.jpg.296x216.jpg
20190504,浦东,世博,洪山花苑   8/13线地铁   板式南北大三房  诚意出售,800万,洪山花苑  | 3室2厅 | 132.66平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-a2a296d9-aa47-4e96-8a8b-de87f62beb79.jpg.296x216.jpg
20190504,浦东,世博,昌里雅苑 3室2厅 970万,970万,昌里雅苑  | 3室2厅 | 138.25平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-41078de0-d5f2-48a9-b3b9-0d367832e041.jpg.296x216.jpg
20190504,浦东,世博,昌里花园(二期) 3室2厅 840万,840万,昌里花园(二期)  | 3室2厅 | 119.44平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-640d70f8-8d14-45ec-8905-f2fb8aebd5a9.jpg.296x216.jpg
20190504,浦东,世博,德州七村 1室1厅 220万,220万,德州七村  | 1室1厅 | 45.31平米 | 南 | 其他 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-945e0812-8c49-4698-8fc8-cab3a5315129.jpg.296x216.jpg
20190504,浦东,世博,上钢六村 2室1厅 322万,322万,上钢六村  | 2室1厅 | 60.05平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-bd10b603-a3ef-488d-a8fe-457674b69349.jpg.296x216.jpg
20190504,浦东,世博,上南八村 2室1厅 320万新上,320万,上南八村  | 2室1厅 | 51.64平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-a2e4c904-eeb5-431d-b93f-5fd6efffbd1a.jpg.296x216.jpg
20190504,浦东,世博,上南七村 1室1厅 225万新上,225万,上南七村  | 1室1厅 | 39.67平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-b8c6a1da-a17b-48ef-923f-840fe5e287d0.jpg.296x216.jpg
20190504,浦东,世博,小区唯一在售两卫房源，南北户型，有车位7号线诚售,820万,凯德嘉博名邸  | 2室2厅 | 104.88平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-f800c107-492e-40c0-8dcd-10c1331dcf5e.png.296x216.jpg
20190504,浦东,世博,一梯两户，明亮户型，双地铁原始三房一厅，现做2+2，,390万,济阳二村  | 3室1厅 | 72.69平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-e709a30e-86fc-4b58-937a-004c62e957dd.png.296x216.jpg
20190504,浦东,世博,双南两房一厅，2楼 正南面是空缺  采光不错,330万,上钢十村  | 2室1厅 | 57.5平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-ba43f8eb-7732-480f-90de-e087e06edc36.jpg.296x216.jpg
20190504,浦东,世博,配套完善，高档次小区、小区环境好房主自荐,565万,昌里花园  | 2室2厅 | 91.09平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-fd4f2e7f-3fe0-45b0-934a-d3cab3da98b7.jpg.296x216.jpg
20190504,浦东,世博,云莲苑 2室1厅 468万,468万,云莲苑  | 2室1厅 | 78.89平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-3f3a653b-dd17-4285-9ea4-93649941963c.jpg.296x216.jpg
20190504,浦东,世博,满五唯一   中间楼层   双南两房   采光好  视野开阔,285万,德州二村  | 2室1厅 | 52.32平米 | 暂无数据 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-91469a0d-9179-4665-9f3f-be919f96f9b5.jpg.296x216.jpg
20190504,浦东,世博,一手动迁 南北通两房 免增值税,390万,新世纪花苑(二期)(浦东)  | 2室1厅 | 67.68平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-e511e947-7404-45cf-855d-10d57ac780b1.jpg.296x216.jpg
20190504,浦东,世博,德州一村 2室1厅 260万,260万,德州一村  | 2室1厅 | 49.13平米 | 东南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-814d68d5-324f-4ad2-b128-4c57299119a1.png.296x216.jpg
20190504,浦东,世博,此房南北两房 满五年唯一  业主诚意售房 期待有缘人,295万,上南四村  | 2室1厅 | 51平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-71873d0b-3496-4fcc-8e4b-d6351490ee52.jpg.296x216.jpg
20190504,浦东,世博,济阳少量电梯房，双南两房，地铁长清路7/13号线,350万,济阳二村  | 2室1厅 | 65.69平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-0b2ced59-5c57-4627-8589-368b1539813e.jpg.296x216.jpg
20190504,浦东,世博,新二村，带阁楼，税费少，带装修，三条地铁,375万,上南二村  | 3室1厅 | 66.74平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-305630c6-e936-4312-a8ac-624fbf16f9da.jpg.296x216.jpg
20190504,浦东,世博,满五年唯一，双南双天井，户型正气，看房方便。房主自荐,395万,齐河花苑  | 2室1厅 | 68.52平米 | 南 北 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-20a2ee75-56c3-4b87-b3e8-b272b801ee7c.png.296x216.jpg
20190504,浦东,世博,满五年唯一  + 中间楼层+三轨地铁6/8/13 号线,213万,上南十村  | 1室1厅 | 39.36平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-a920134a-2f0a-49fc-8b02-1fa77292247a.jpg.296x216.jpg
20190504,浦东,世博,上南六村，交通方便，配套齐全，小区位置好，双南两房,259万,上南六村  | 2室1厅 | 49.7平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-f310fa54-7f91-484a-bb86-2e5de6609a0d.jpg.296x216.jpg
20190504,浦东,世博,高层双南两房，双规交通，位置安静！,775万,东明家园  | 2室2厅 | 105.47平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-b6df7495-623a-4157-8ab1-dcf337014100.jpg.296x216.jpg
20190504,浦东,世博,上南五村 2室1厅 385万,385万,上南五村  | 2室1厅 | 64.74平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-da7800b1-2b50-435a-a459-ad8a1e48ee34.jpg.296x216.jpg
20190504,浦东,世博,精装修 电梯房，近地铁口，售后公房，少税，诚意出售,360万,展峰大楼  | 2室1厅 | 70.12平米 | 东南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-6ee64de1-4f9e-43c0-9970-34a782795bab.jpg.296x216.jpg
20190504,浦东,世博,上钢十村 2室0厅 260万,260万,上钢十村  | 2室0厅 | 48.16平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-c696544c-7150-40fa-8e51-2c357ebdacf3.jpg.296x216.jpg
20190504,浦东,世博,精装修 双南 地铁 格局好 诚意出售 看房方便,265万,德州三村  | 2室1厅 | 49.13平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-1f9b36a5-8735-4a19-80d7-c003fec79e46.jpg.296x216.jpg
20190504,浦东,世博,东明苑 1室1厅 230万,230万,东明苑  | 1室1厅 | 43.68平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-a4347e0c-b223-483f-b84a-0f9cf850635c.png.296x216.jpg
20190504,浦东,世博,楼层好小区配套齐全 精装修 出门地铁 可拎包入住,270万,新世纪花苑(一期)(浦东)  | 1室1厅 | 50.93平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-b4b8f99c-e90e-4bd6-b0aa-cbcf1ecea942.jpg.296x216.jpg
20190504,浦东,世博,中区好楼层，业主诚意售，随时可以看房,205.9万,昌五小区  | 1室1厅 | 37.29平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-cd37c115-29eb-4b03-ac39-6612bd32644e.jpg.296x216.jpg
20190504,浦东,世博,德州二村 1室1厅 198万,198万,德州二村  | 1室1厅 | 37.42平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-adbe12b1-a87a-4771-84ba-aa79d1ef3a18.jpg.296x216.jpg
20190504,浦东,世博,房东诚意卖 看房随时 小区总价低 户型方正,570万,凯德嘉博名邸  | 1室2厅 | 71.8平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-c8751516-ebc7-4897-937e-bfa135290936.jpg.296x216.jpg
20190504,浦东,世博,精装修天井做好面积大，世博轴心，三条地铁，交通方便,325万,上钢二村  | 2室1厅 | 53.16平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-08186e64-45b7-4f52-aafe-b314d5db151a.jpg.296x216.jpg
20190504,浦东,世博,昌七近地铁二房，业主诚意出售看房方便,285万,昌七小区  | 2室1厅 | 56.43平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-b472b600-57a0-47ef-8bf4-50cca28a8ee3.jpg.296x216.jpg
20190504,浦东,世博,上南十村 经典户型 中间楼层 全明户型,318万,上南十村  | 2室1厅 | 59.38平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-05f31fa7-f0cc-4769-985c-ed0d5282438c.png.296x216.jpg
20190504,浦东,世博,齐河三小区 1室1厅 250万,250万,齐河三小区  | 1室1厅 | 46.26平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-6e4f40a8-bbff-4694-b405-a3161ac62184.jpg.296x216.jpg
20190504,浦东,世博,爵仕悦 2室2厅 790万,790万,爵仕悦  | 2室2厅 | 106.05平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-ee1722d8-3a1c-4d91-be5d-e4b3107a1ab7.jpg.296x216.jpg
20190504,浦东,世博,上南七村 1室1厅 189万房主自荐,189万,上南七村  | 1室1厅 | 38.44平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-680e2bfd-95df-45a8-8e92-3c0e10ab4769.jpg.296x216.jpg
20190504,浦东,世博,上南花城 3室2厅 980万,980万,上南花城  | 3室2厅 | 139.7平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-ddfab486-bc79-46fa-b7e6-decdb4372555.jpg.296x216.jpg
20190504,浦东,世博,上南九村 1室1厅 220万,220万,上南九村  | 1室1厅 | 42.83平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-14e5c10b-1fb5-44f1-b995-1407f367c52e.jpg.296x216.jpg
20190504,浦东,世博,上南十二村 1室1厅 235万,235万,上南十二村  | 1室1厅 | 44.27平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-9c702265-e05d-4759-b297-6861f76d0c02.jpg.296x216.jpg
20190504,浦东,世博,上南三村 1室0厅 180万,180万,上南三村  | 1室0厅 | 34.49平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-8af7885e-d670-43ee-926d-773fa8bc7e78.png.296x216.jpg
20190504,浦东,世博,满五年唯一,全明户型，楼层佳，采光好，视野开阔,320万,昌四小区  | 2室1厅 | 65.24平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-b872657e-d14b-423e-adc9-5ea4579ec88c.jpg.296x216.jpg
20190504,浦东,世博,上南八村 2室1厅 269万,269万,上南八村  | 2室1厅 | 48.55平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-480e256a-850e-4906-bec4-15d76e35deda.jpg.296x216.jpg
20190504,浦东,世博,世博婚装一室一厅，保养好，采光充足，业主诚意出售,220万,济阳一村  | 1室1厅 | 43.18平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-024bcbec-f1e0-4d6a-bca0-2f84fc05ad30.jpg.296x216.jpg
20190504,浦东,世博,齐二小区 2室1厅 280万,280万,齐二小区  | 2室1厅 | 59.23平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-c74d8dfc-a15d-41e7-81ad-e84b17aa03e2.jpg.296x216.jpg
20190504,浦东,世博,边套精装修带天井，可改二房，8和13号线双轨成山站,205万,上南四村  | 1室1厅 | 33.17平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-9ebd29b9-acfb-424a-90bf-44ffeb021c07.jpg.296x216.jpg
20190504,浦东,世博,全明边套小户型，楼栋位置好，采光佳，通风好,210万,德州七村  | 1室1厅 | 40.56平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-4fd3cd20-066e-473f-ad88-a19e3ae667dc.jpg.296x216.jpg
20190504,浦东,世博,售后公房，税费少，看房提前预约，近地铁7/13号线,365万,济阳二村  | 2室1厅 | 67.31平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-93d57063-bf93-412b-bec2-432cc0bd849e.jpg.296x216.jpg
