20190504,黄浦,黄浦滨江,华润九里一期，与外滩壹号院并肩， 蜗居拍摄地景观房,1830万,上海滩花园  | 3室2厅 | 152.96平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-df3ef232-bf91-4bf3-9d06-416cbc4dc2cc.jpg.296x216.jpg
20190504,黄浦,黄浦滨江,新房刚交付没有住过人，高区景观房，值得推荐！,3700万,绿城黄浦湾  | 4室2厅 | 235平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/39ac1ef7-44da-432d-be58-155cd7071b30.jpg.296x216.jpg
20190504,黄浦,黄浦滨江,精品东边套，等有缘人的你，价格好谈，懂得约吧、,1400万,华润外滩九里  | 1室2厅 | 90.63平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/shfdfs-image/20160926/4483f2da-aeb2-4280-90d2-54123f0221ff.jpg.296x216.jpg
20190504,黄浦,黄浦滨江,黄浦外滩板块 低总价 地段好出行便 诚售电聊,340万,悦来小区  | 1室1厅 | 43.2平米 | 东 | 简装 | 无电梯,https://image1.ljcdn.com/x-se/hdic-frame/581727f6-fee1-4fa1-8695-9c3bfc1a7e3d.png.280x210.jpg
20190504,黄浦,黄浦滨江,外滩南北通3房、赏小区花园、诚意出售、品质物业管理,1200万,滨江名人苑  | 3室2厅 | 140.53平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/589ae53a-da05-4bc3-acf8-b201ac90a930.jpg.296x216.jpg
20190504,黄浦,黄浦滨江,崛起中的黄浦滨江板块、临地铁9号线、配套完善中,900万,福鑫大楼  | 2室2厅 | 101.86平米 | 东北 | 简装 | 有电梯,https://image1.ljcdn.com/shfdfs-image/20151128/21dff97f-90a6-4364-8f56-9be5d9affc06.jpg.296x216.jpg
20190504,黄浦,黄浦滨江,外滩南北两房，中高区，采光好，楼层棒,1250万,滨江名人苑  | 2室2厅 | 114.96平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/x-se/shfdfs-image/20141201/0e67da68-13b4-43e2-b6ff-4933748d84fa.jpg.280x210.jpg
20190504,黄浦,黄浦滨江,全南全明户型、小区最前排，高区采光好、业主诚意出售,950万,滨江名人苑  | 2室2厅 | 102.51平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/x-se/hdic-frame/992cf9e7-d612-4bd2-878d-4068683287cb.png.280x210.jpg
20190504,黄浦,黄浦滨江,高区江景房、处于崛起中的黄浦滨江正中、诚意出售,2100万,海琪园  | 3室2厅 | 168.75平米 | 东南 | 精装 | 有电梯,https://image1.ljcdn.com/x-se/hdic-frame/184ebdc5-a872-4092-a816-e12184b1f8b7.png.280x210.jpg
20190504,黄浦,黄浦滨江,绿城黄浦湾 5室2厅 4200万,4200万,绿城黄浦湾  | 5室2厅 | 268平米 | 南 | 精装 | 有电梯,
20190504,黄浦,黄浦滨江,外滩中高区看江，南北通户型，出租中，满五唯一,1480万,滨江名人苑  | 3室2厅 | 146.98平米 | 南 | 精装 | 有电梯,
20190504,黄浦,黄浦滨江,外滩BFC+豫园商圈+地铁9号10号线+楼层3楼+配套完善,425万,共和园小区  | 2室1厅 | 51.79平米 | 南 北 | 精装 | 无电梯,
20190504,黄浦,黄浦滨江,三房间朝南一房朝北，客厅南北直通，小区难得好户型,3300万,华润外滩九里  | 4室2厅 | 246.8平米 | 南 北 | 精装 | 有电梯,
20190504,黄浦,黄浦滨江,平视小区绿化 无遮挡 三开间朝南 满五 地暖,1500万,华润外滩九里  | 2室2厅 | 108.84平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/cfad6a97-881c-4774-8af3-9732585e126d.jpg.296x216.jpg
20190504,黄浦,黄浦滨江,品质小区   空中跑道，人车分流，有会所室内游泳池,1290万,金外滩花园  | 2室2厅 | 136.54平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/x-se/shfdfs-image/20141201/188f362f-1cc8-433d-811a-e7efaddcc41b.jpg.280x210.jpg
20190504,黄浦,黄浦滨江,申江新苑 2室2厅 850万,850万,申江新苑  | 2室2厅 | 92平米 | 东 南 北 | 精装 | 有电梯,
20190504,黄浦,黄浦滨江,华润外滩九里 3室2厅 3500万,3500万,华润外滩九里  | 3室2厅 | 244.25平米 | 南 | 精装 | 有电梯,
20190504,黄浦,黄浦滨江,降价800万，外滩第1住宅，江景大平层，四套房一梯一户,6200万,华润外滩九里  | 4室3厅 | 413.73平米 | 南 | 精装 | 有电梯,
20190504,黄浦,黄浦滨江,绿城黄浦湾 5室2厅 4500万新上,4500万,绿城黄浦湾  | 5室2厅 | 265.68平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/f47c5c12-db03-43f6-9854-e2eee05fd263.jpg.296x216.jpg
