20190504,浦东,潍坊,此房满五唯一，小区花园位置，中间楼层，诚意出售,480万,潍坊九村  | 2室1厅 | 48.12平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-132384bc-b8ba-4626-bfdd-75376fb54e9d.jpg.296x216.jpg
20190504,浦东,潍坊,潍坊九村 2室1厅 430万,430万,潍坊九村  | 2室1厅 | 51.39平米 | 南 北 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-a5862d7e-4567-4a17-b981-5a42a2fb424a.png.296x216.jpg
20190504,浦东,潍坊,潍坊七村总价低两房，陆家嘴繁华地段，近地铁,435万,潍坊七村  | 2室1厅 | 46.36平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-fa257c32-ee96-4f68-b7f6-ae33d8b0f0b5.jpg.296x216.jpg
20190504,浦东,潍坊,精装双南两房，精致户型，中间楼层，房东诚意出售,475万,潍坊九村  | 2室1厅 | 49.48平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-cc7e8b27-5264-4f8f-975f-aa3964b9f438.jpg.296x216.jpg
20190504,浦东,潍坊,潍坊八村 二梯队  6号线浦电路站 得房率高 有钥匙,273万,潍坊八村  | 1室1厅 | 34.5平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-d2f7ba1f-9e6f-47b6-b03e-1d4872bb1637.jpg.296x216.jpg
20190504,浦东,潍坊,潍坊四村 1室1厅 265万,265万,潍坊四村  | 1室1厅 | 38.05平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-16d85767-b840-4a7e-84b5-1ff98e3072d4.jpg.296x216.jpg
20190504,浦东,潍坊,潍坊八村，双南两房，拒绝顶楼，满五唯一，位置安静,365万,潍坊八村  | 2室1厅 | 48.11平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-2e434455-d3e1-4972-a1f5-972ed0bc4b2f.jpg.296x216.jpg
20190504,浦东,潍坊,浦明朝南一室户，位置安静，产权清晰，诚意出售,235万,潍坊二村  | 1室1厅 | 35.57平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-7fba32f0-65d7-4a9a-9ec6-41bb6eb1c6e5.jpg.296x216.jpg
20190504,浦东,潍坊,潍坊九村 1室0厅 390万,390万,潍坊九村  | 1室0厅 | 29.8平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-5f13433e-9de2-4292-9ca4-208ab20b4dd6.png.296x216.jpg
20190504,浦东,潍坊,潍坊九村 1室1厅 410万,410万,潍坊九村  | 1室1厅 | 39.22平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-71bfb0f9-c740-4169-8055-fa381cf6b2d3.jpg.296x216.jpg
20190504,浦东,潍坊,户型方正无边角，小区安静位置、诚意出售，到价签字,405万,潍坊九村  | 1室1厅 | 37平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-96dce559-407d-482e-94c9-51fea561d6ad.png.296x216.jpg
20190504,浦东,潍坊,东欣小区+置换+急+不靠马路+精装修房主自荐,590万,东欣小区  | 2室1厅 | 65.01平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-1ab420b2-7a5e-4827-acb2-cb21883e0dd2.jpg.296x216.jpg
20190504,浦东,潍坊,潍坊九村 2室1厅 520万,520万,潍坊九村  | 2室1厅 | 57.32平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-50896de7-0747-408a-a0e9-e2555c902ad1.jpg.296x216.jpg
20190504,浦东,潍坊,潍坊十村朝东南一房，带大天井，使用面积高。,375万,潍坊十村  | 1室1厅 | 38.75平米 | 东南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-0108f8d3-bc39-4029-8e8f-450041bcd466.jpg.296x216.jpg
20190504,浦东,潍坊,近明珠、户型通风、满五税少，精装修，带露台！,465万,潍坊六村  | 2室1厅 | 47.32平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-add77ebf-0e1c-49c1-a1b6-1593b6db8423.jpg.296x216.jpg
20190504,浦东,潍坊,朱家滩小区 2室1厅 470万,470万,朱家滩小区  | 2室1厅 | 41.75平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-2ab6905e-1225-43af-866e-e40a1d7835f8.png.296x216.jpg
20190504,浦东,潍坊,此房位置安静，装修好 采光好，独门独户，浦南幼儿园,270万,潍坊一村  | 1室1厅 | 34.96平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-d2394da4-ebb0-42df-9189-dfdeb8cc875e.png.296x216.jpg
20190504,浦东,潍坊,四轨交汇+闹中取静+南北通透+不临街+采光充足+满五年,1000万,爵士大厦  | 3室2厅 | 162.09平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-433938ad-2337-4008-b9cd-45330c268549.png.296x216.jpg
20190504,浦东,潍坊,潍坊八村 2室1厅 450万,450万,潍坊八村  | 2室1厅 | 63.09平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-d7d93694-a5d4-41a6-acce-b9e21c9c219f.jpg.296x216.jpg
20190504,浦东,潍坊,潍坊九村 2室1厅 475万,475万,潍坊九村  | 2室1厅 | 51.58平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-e74d7920-8f00-4fd5-b3ed-4cca2caa594a.jpg.296x216.jpg
20190504,浦东,潍坊,东建新村 2室1厅 258万,258万,东建新村  | 2室1厅 | 47.72平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-5fc73d8e-110c-426d-80b2-43bd5710c5e4.jpg.296x216.jpg
20190504,浦东,潍坊,边套15万精装大一房一厅  看房方便 房龄94年,301万,潍坊三村  | 1室1厅 | 44.77平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-19c5f9d1-5315-41ff-927c-c287eadcf9d9.png.296x216.jpg
20190504,浦东,潍坊,近地铁  浦明师范，精装修 楼层低  出行便利,306万,潍坊八村  | 1室1厅 | 40.8平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-e8920707-f84f-4def-a569-1f4853eac077.png.296x216.jpg
20190504,浦东,潍坊,潍坊四村，边套一室，南北通，前无遮挡，急售！房主自荐,253万,潍坊四村  | 1室1厅 | 40.85平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-72e2cdd3-1049-4e97-b7c1-d1c8a3f3d372.jpg.296x216.jpg
20190504,浦东,潍坊,一梯两户很少有这样的户型出来未用  小三房,545万,泉东(二)小区  | 3室1厅 | 61.96平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-ab5bcb09-21b5-464b-878b-7b9549f55613.png.296x216.jpg
20190504,浦东,潍坊,小区中间位置+全明户型+精装修+诚心出售,500万,泉东(二)小区  | 2室1厅 | 44.11平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-290448ee-8ede-4a6d-97de-227ff925213f.jpg.296x216.jpg
20190504,浦东,潍坊,精装修低楼层，南北通两房，小区中间位置，繁华地段，,300万,潍坊二村  | 2室1厅 | 46.76平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-4c413e1e-29fd-4d3c-933c-8512bfc9bf2d.png.296x216.jpg
20190504,浦东,潍坊,满五唯一、近地铁4+6号线浦电路站、二楼、配套成熟,479万,潍坊九村  | 2室1厅 | 51.39平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-10cadf87-1db3-4edf-aa55-3c826932189d.png.296x216.jpg
20190504,浦东,潍坊,朝南大一房，满五未用、位置安静,399万,潍坊九村  | 1室0厅 | 37.01平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-c57ad457-e61c-42ef-b031-ca660333c756.png.296x216.jpg
20190504,浦东,潍坊,94年房龄、环境幽静、低总价、看房方便,230万,王家宅小区  | 1室1厅 | 31.9平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-bc344ced-d8dc-4e00-a3f7-b4f4ea095c69.jpg.296x216.jpg
20190504,浦东,潍坊,潍坊八村 2室1厅 380万,380万,潍坊八村  | 2室1厅 | 55.15平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-c37d9f8d-220c-4c2d-b2f3-c52c5936eb18.jpg.296x216.jpg
20190504,浦东,潍坊,陆家嘴金融区繁华地段，紧挨地铁，公园，85年房龄,339万,潍坊一村  | 2室0厅 | 48.7平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-ab49ccd1-0dc5-411c-b6a5-f579fb11f372.png.296x216.jpg
20190504,浦东,潍坊,潍坊二村里面位置，主卧朝南无遮挡，满五唯一,328万,潍坊二村  | 2室1厅 | 49.95平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-a6a96795-3a32-4c9a-8c34-552d37de041d.jpg.296x216.jpg
20190504,浦东,潍坊,潍坊一村，一楼带天井，全新装修，看房方便，拎包入住,350万,潍坊一村  | 2室1厅 | 52.08平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-a9f9ec3f-e295-4724-93c4-d609697f821a.jpg.296x216.jpg
20190504,浦东,潍坊,明珠B区+一楼带天井+位置安静+出行方便+业主诚心卖,385万,潍坊九村  | 1室0厅 | 34.84平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-f1dc9242-4477-4bd9-a37a-a5dc3ff9ad34.jpg.296x216.jpg
20190504,浦东,潍坊,近地铁  楼层好 产权清晰  随时看 交通方便 满五年,382万,潍坊九村  | 1室0厅 | 29.68平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-2daa88d6-1e39-48c2-a0e4-ffcc61c8f08c.jpg.296x216.jpg
20190504,浦东,潍坊,采光很好，业主诚意售，高区景观房，房屋精装修，随看,620万,新光大楼  | 2室1厅 | 69.83平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-68d4b9c8-adab-436d-9073-65f5b47ef276.jpg.296x216.jpg
20190504,浦东,潍坊,潍坊九村 2室1厅 490万,490万,潍坊九村  | 2室1厅 | 51.58平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-a7ac5bb9-7db2-4452-abc3-2c03914eb321.jpg.296x216.jpg
20190504,浦东,潍坊,南北户型+ 免增值税+ 不占用+ 产权清晰+无户口+诚售,475万,潍坊九村  | 2室1厅 | 48.29平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-a1180ee8-e415-4145-9430-81759c1c84a9.jpg.296x216.jpg
20190504,浦东,潍坊,两室一厅精装修，楼层位置好，看房方便,560万,朱家滩小区  | 2室1厅 | 56.99平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-ada1ec27-99b1-4adf-80d3-f9843b391fa0.jpg.296x216.jpg
20190504,浦东,潍坊,精装一房全明格局，不靠马路，诚意出售,395万,潍坊十村  | 1室0厅 | 34.92平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-6e66c895-a030-4403-bb4b-3eda2995b5d2.png.296x216.jpg
20190504,浦东,潍坊,泉东小区，中间位置，采光好，边套全明，装修适住房主自荐,478万,泉东小区  | 2室1厅 | 46.47平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-c806ea7d-e436-464e-8454-0672d9696348.jpg.296x216.jpg
20190504,浦东,潍坊,小区中间位置+91年房龄+净水系统+新风系统+诚心出售,445万,泉东(二)小区  | 1室1厅 | 31.7平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-1dd9f276-8890-4713-a5ae-34477c257732.jpg.296x216.jpg
20190504,浦东,潍坊,南北两房 近世纪大道地铁 价格便宜,385万,竹南小区  | 2室1厅 | 52.5平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-5d82afe0-2fc6-4c79-bc7b-7c93fb2ecc68.jpg.296x216.jpg
20190504,浦东,潍坊,潍坊四村 2室0厅 325万,325万,潍坊四村  | 2室0厅 | 48.62平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-b305f8c7-8674-4efe-b42e-91fd3466f48c.png.296x216.jpg
20190504,浦东,潍坊,潍坊八村，双南大两房，户型方正，业主自住，产权清晰房主自荐,355万,潍坊八村  | 2室1厅 | 48.79平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-1c47b4ef-b436-4917-8e97-2ee2a16287fc.png.296x216.jpg
20190504,浦东,潍坊,房东诚心出售，看房方便，税费清晰！！,385万,潍坊十村  | 1室1厅 | 37.91平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-e7e32b90-19f6-4256-82da-227b3725d911.jpg.296x216.jpg
20190504,浦东,潍坊,舒适楼层，居家装修一房，中间楼层，南北户型,425万,潍坊九村  | 1室1厅 | 40.37平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-579b8912-4a43-4ac0-97a2-175ef83a4064.png.296x216.jpg
20190504,浦东,潍坊,精装修两房一厅+双南两房+位置安静+温馨舒适,428万,潍坊二村  | 2室1厅 | 61.8平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-1e82aa4b-da59-464c-9029-5bb1533cc384.png.296x216.jpg
20190504,浦东,潍坊,近地铁，环境优美，塘桥公园旁，户型正气，适合居住！,370万,潍坊八村  | 2室1厅 | 49.54平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-6ac550ef-f8f9-48da-9af7-cd56bdc4e04b.jpg.296x216.jpg
20190504,浦东,潍坊,潍坊八村 1室0厅 260万,260万,潍坊八村  | 1室0厅 | 30.2平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-1ef6b0e2-f367-4e2d-8dca-0345aab77480.png.296x216.jpg
20190504,浦东,潍坊,精装修小户型，小区中 间位置，中间楼层 诚心出售,310万,潍坊二村  | 2室1厅 | 47.09平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-4cbdf273-712c-473d-a89b-f6ac470630be.jpg.296x216.jpg
20190504,浦东,潍坊,浦明精装一房，主卧朝南，厨卫朝北，小区位置不靠马路,245万,潍坊三村  | 1室1厅 | 33.13平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-f37efed5-440c-4c4a-beb1-017d770e7d9b.jpg.296x216.jpg
20190504,浦东,潍坊,开发浦东 3室1厅 750万,750万,开发浦东  | 3室1厅 | 88.54平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-c5a8178f-52e1-40fe-96eb-69fb2c464382.jpg.296x216.jpg
20190504,浦东,潍坊,潍坊十村 2室1厅 480万,480万,潍坊十村  | 2室1厅 | 45.43平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-6fb560e4-382a-49eb-93ec-c5cab2b29bc4.jpg.296x216.jpg
20190504,浦东,潍坊,小区中间位置+中间楼层+满五唯一+诚心出售,460万,泉东(二)小区  | 1室1厅 | 34.63平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-5e9b79e1-d44c-4f8b-8e73-6441649636c5.jpg.296x216.jpg
20190504,浦东,潍坊,南北两房+地段好+精装修+产权清晰,340万,潍坊二村  | 2室1厅 | 49.5平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-65707a65-3de0-40f5-8067-70102ab6d193.jpg.296x216.jpg
20190504,浦东,潍坊,潍坊二村 两房一厅 户型方正 产权清晰 业主诚意出售,405万,潍坊二村  | 2室1厅 | 65.19平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-4b2d5f3f-c424-47b1-8e49-ec826957c6b8.png.296x216.jpg
20190504,浦东,潍坊,满二唯一，诚心出售，看房方便，采光极好！！！,570万,潍坊十村  | 3室1厅 | 68.18平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-91e0e0a4-a17b-4088-b93e-413fa861ba5d.png.296x216.jpg
20190504,浦东,潍坊,潍坊八村 双南两房带阳台 舒适精装 采光好房主自荐,345万,潍坊八村  | 2室0厅 | 49.54平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-96136f55-3ce4-49c4-8a66-68987ada3f2e.png.296x216.jpg
20190504,浦东,潍坊,潍坊四村 2室1厅 435万,435万,潍坊四村  | 2室1厅 | 62.38平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-2c6f4072-0b1e-4ee0-a07f-2578e13553f3.jpg.296x216.jpg
20190504,浦东,潍坊,潍坊五村，双南大两房，户型方正，采光充足,330万,潍坊五村  | 2室0厅 | 50.77平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-1a20c6e3-27c3-4322-925a-709bda53954f.jpg.296x216.jpg
20190504,浦东,潍坊,潍坊一村 1室1厅 258万,258万,潍坊一村  | 1室1厅 | 35.89平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-b29cee5d-4bfe-42bf-84c8-eee6789d6ddb.png.296x216.jpg
20190504,浦东,潍坊,繁荣昌盛，总价低，小区全明户型，后是花园,650万,繁荣昌盛  | 2室1厅 | 82.62平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-b2304112-b4ce-4344-8f05-a9cc7a1290c0.jpg.296x216.jpg
20190504,浦东,潍坊,小区花园位置，中间楼层，精装修拎包入住。,430万,潍坊九村  | 1室1厅 | 36平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-4e45c308-bc6e-42f0-8f88-e15c6eee357b.png.296x216.jpg
20190504,浦东,潍坊,潍坊八村，宝钢户型，南北大两房，诚意出售！,360万,潍坊八村  | 2室1厅 | 54.43平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-9bc74ba7-000b-46c3-920c-d6e91c1c6340.jpg.296x216.jpg
20190504,浦东,潍坊,潍坊八村 1室0厅 270万,270万,潍坊八村  | 1室0厅 | 32.63平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-a90ec1ae-016f-4dfb-861c-ddd93c0d4b43.jpg.296x216.jpg
20190504,浦东,潍坊,潍坊十村 2室1厅 480万,480万,潍坊十村  | 2室1厅 | 49.1平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-60eae9d2-2271-4d68-a071-6d1f8223ff1e.jpg.296x216.jpg
20190504,浦东,潍坊,北高大楼 1室1厅 304万,304万,北高大楼  | 1室1厅 | 41平米 | 东南 西南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-5ccbc08e-b322-4d31-be2a-a3f2ab73e25d.jpg.296x216.jpg
20190504,浦东,潍坊,朱家滩小区 紧致一房，位置好，楼层佳，诚心出售,450万,朱家滩小区  | 1室1厅 | 36.57平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-e8c99935-8cb6-4d8a-8173-ac9b2740c945.png.296x216.jpg
20190504,浦东,潍坊,潍坊二村 2室0厅 320万,320万,潍坊二村  | 2室0厅 | 48.53平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-bf5dedaa-b888-4105-adb3-7bca2cce3edc.jpg.296x216.jpg
20190504,浦东,潍坊,潍坊六村 1室1厅 360万,360万,潍坊六村  | 1室1厅 | 34.34平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-49b63e68-1057-4365-b4d1-e6c55cec6000.jpg.296x216.jpg
20190504,浦东,潍坊,此房精装修，  南北格局，采光充足，花园位置！不靠路,470万,潍坊九村  | 2室1厅 | 51.19平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-e89ed69f-4c76-45d4-8590-dfb2d6fbff88.jpg.296x216.jpg
20190504,浦东,潍坊,潍坊九村 1室1厅 410万,410万,潍坊九村  | 1室1厅 | 37.11平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-c95fc4de-838a-4715-8077-9f13d5904bfc.jpg.296x216.jpg
20190504,浦东,潍坊,采光好，视野宽阔，经典一室户，视野好,250万,潍坊五村  | 1室0厅 | 36.11平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-e2dc5e00-b1cf-456d-a881-af4bc04b816f.jpg.296x216.jpg
20190504,浦东,潍坊,朱家滩小区 双南两房 满五唯一 售后公房 业主诚意出售,550万,朱家滩小区  | 2室0厅 | 56.57平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-e1f059f1-72d5-4c96-994e-01239bdd57d2.jpg.296x216.jpg
20190504,浦东,潍坊,潍坊九村 2室1厅 480万,480万,潍坊九村  | 2室1厅 | 49.18平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-5e413001-5d1e-4980-8e9c-808df38d052d.jpg.296x216.jpg
20190504,浦东,潍坊,此房满二不唯一，省税费，双南两房，使用面积大,290万,东建新村  | 2室0厅 | 45平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-f5f76247-46e0-4064-b850-a90723ebbdfd.jpg.296x216.jpg
20190504,浦东,潍坊,诚售+不占用+铂金4楼+交通便利+装修好,404万,潍坊九村  | 1室1厅 | 36.84平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-1de4452e-2d51-46d3-a8c3-5c1ace11292b.jpg.296x216.jpg
20190504,浦东,潍坊,潍坊一村，精装小户型，总价低，朝向好，急售。,232万,潍坊一村  | 1室1厅 | 30.3平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-c037e3f2-4294-4b2d-b7b7-f75890ec8028.jpg.296x216.jpg
20190504,浦东,潍坊,潍坊二村，双南双天井，户型正，使用面积大，近八佰伴,338万,潍坊二村  | 2室0厅 | 50.11平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-8eea9a5e-fdee-41d6-8ff4-5f424a62c94f.jpg.296x216.jpg
20190504,浦东,潍坊,潍坊四村，宝钢式户型，精装南北两房，交通方便,319万,潍坊四村  | 2室0厅 | 46.55平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-ff885999-fdd4-44fc-a701-e7f8e0d91920.jpg.296x216.jpg
20190504,浦东,潍坊,潍坊一村，浦南，浦明，装修好一室户，诚意出售房主自荐,240万,潍坊一村  | 1室0厅 | 29.87平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-ef6b172b-50f3-49cf-b84d-02c55cfbb6c1.png.296x216.jpg
20190504,浦东,潍坊,♡心动价+东欣小区+诚意出售+近靠世纪大道地铁695米~,550万,东欣小区  | 2室1厅 | 62.43平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-6ffca113-8f63-444a-a953-6baa46475cd0.png.296x216.jpg
20190504,浦东,潍坊,潍坊三村边套南北通带厅一房 中间楼层 价格可谈,262万,潍坊三村  | 1室1厅 | 39.93平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-6caa6570-b6e6-41c4-811a-cc2b10bfbdbe.png.296x216.jpg
20190504,浦东,潍坊,东欣小区+随时看+边套全明+小区环境优美,608万,东欣小区  | 2室1厅 | 65.01平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-56a0030d-7a3f-4c6b-8c3f-671541f2b0bd.png.296x216.jpg
20190504,浦东,潍坊,内环内，6号线近地铁，双南大两房，全明户型,445万,潍坊四村  | 2室1厅 | 62.38平米 | 南 | 其他 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-f1023053-63cd-4d0f-862b-557cfab4a5ab.jpg.296x216.jpg
20190504,浦东,潍坊,潍坊七村一室半 40.47平 390万 满五少税 看房方便,390万,潍坊七村  | 1室1厅 | 40.47平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-3374d9eb-af77-4241-8d2e-a705e6b04b8d.jpg.296x216.jpg
20190504,浦东,潍坊,潍坊十村 3室0厅 580万,580万,潍坊十村  | 3室0厅 | 75.73平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-cb983a18-0137-40bf-bf20-cfc1f6da7bc9.jpg.296x216.jpg
20190504,浦东,潍坊,潍坊二村 2室1厅 330万,330万,潍坊二村  | 2室1厅 | 51.94平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-76e590d6-5978-4102-9470-63060ec06cd4.jpg.296x216.jpg
20190504,浦东,潍坊,潍坊四村 1室1厅 280万,280万,潍坊四村  | 1室1厅 | 38.89平米 | 南 | 其他 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-4171cd4e-9ed9-4d93-b7b1-60db90ce2c68.png.296x216.jpg
20190504,浦东,潍坊,西边套全明大一房一厅  看房方便 满五税少,275万,潍坊三村  | 1室1厅 | 38.92平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-c71d3bb3-8771-4a5b-b906-757b5192f59f.jpg.296x216.jpg
20190504,浦东,潍坊,明珠B区+精装修+近世纪大道站+诚意出售+陆家嘴地段房主自荐,400万,潍坊十村  | 1室1厅 | 39.83平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-b4d393a2-808f-4a20-9ed3-0f62920a0565.png.296x216.jpg
20190504,浦东,潍坊,潍坊四村 2室0厅 330万,330万,潍坊四村  | 2室0厅 | 47.61平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-fb07eea9-634a-450e-a678-de5be47c7f01.jpg.296x216.jpg
20190504,浦东,潍坊,小区中间位置全明户型诚心出售满五唯一产权都比较清晰,465万,泉东(二)小区  | 1室0厅 | 37.17平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-428c3fc4-116f-44ed-a33a-5c8a85409a8b.jpg.296x216.jpg
20190504,浦东,潍坊,双南，采光佳，中间位置，价格低，房东诚售！,432万,潍坊六村  | 2室1厅 | 46.81平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-8602229e-ffa0-4e27-838a-5f3931399f3a.jpg.296x216.jpg
20190504,浦东,潍坊,精装修独门独户双南两房 满五年无个税 带露台,330万,潍坊二村  | 2室0厅 | 47.83平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-34aaa031-1b32-4960-8e7a-23994ac24ac0.jpg.296x216.jpg
20190504,浦东,潍坊,小区中间位置+全明户型+中间楼层+诚心出售,452万,泉东(二)小区  | 1室1厅 | 38.75平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-762c37b4-01fa-4025-895b-126678af8cac.jpg.296x216.jpg
20190504,浦东,潍坊,潍坊十村 1室1厅 415万,415万,潍坊十村  | 1室1厅 | 42.26平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-e0f135d7-f2c6-4242-9743-adc89a4f0345.jpg.296x216.jpg
