20190504,虹口,曲阳,东边套低价+精装+北一室户+内环+曲阳路8号地铁站新上,135万,玉田新村  | 1室0厅 | 29.1平米 | 东 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-140227e7-732b-4e14-be26-68085c4adedd.jpg.296x216.jpg
20190504,虹口,曲阳,售后公房房东诚意出售 有钥匙看房随时,520万,建工天峰公寓  | 2室1厅 | 72.51平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-0bd5ab67-fb8d-4884-aa98-787a2a069e0e.jpg.296x216.jpg
20190504,虹口,曲阳,1985年竣工，满五唯一，钥匙房源，810号线，一梯四户,181万,大二小区  | 1室1厅 | 34.71平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-2a10bd7d-ee99-4036-81ab-3e622521f44e.png.296x216.jpg
20190504,虹口,曲阳,94年 附+花园 ，曲阳路邮电新村双轨地铁,750万,祥德路500弄  | 3室2厅 | 125.5平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-f154c314-e59e-41ca-b03b-e853e8d26f60.jpg.296x216.jpg
20190504,虹口,曲阳,内环内，双地铁，总价低一室户，精装修满五年房源,188万,密云路250弄  | 1室0厅 | 33.7平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-db5e87f7-47d5-41c2-b496-6ed0fb011812.jpg.296x216.jpg
20190504,虹口,曲阳,顶楼采光好，提前预约看房方便，大户型,750万,密二小区  | 3室2厅 | 122.35平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-ac8955d2-1eb1-46c4-9689-f4453d16f173.jpg.296x216.jpg
20190504,虹口,曲阳,双南两房 楼层好 采光佳  业主诚意出售新上,465万,邮电曲阳大厦  | 2室1厅 | 65.61平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-e47bfe63-ccaf-480c-afe2-e939c00e5cb0.jpg.296x216.jpg
20190504,虹口,曲阳,地铁，超市，医院。 二楼，采光不影响，户型改造性大新上,390万,密二小区  | 2室1厅 | 59.92平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-214df6ed-7294-4c02-a777-48b3c5bab200.jpg.296x216.jpg
20190504,虹口,曲阳,精装双南小两室，房东诚售好看房！,345万,赤峰小区  | 2室1厅 | 47.91平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-04a01a07-e62c-41e1-8ff5-bd971ab55107.jpg.296x216.jpg
20190504,虹口,曲阳,高区 一房一厅 正南 没户口  没有小孩上学  满五年,425万,邮电二村  | 1室1厅 | 53平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-95181911-3ee5-46a2-9183-2d08e63473e8.jpg.296x216.jpg
20190504,虹口,曲阳,80后+2楼+总价低+8号10号双轨地铁+小区环境,178万,祥东小区(虹口)  | 1室1厅 | 27.39平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-3e9c0177-c6ea-430e-8a6d-0fd96c36c57c.png.296x216.jpg
20190504,虹口,曲阳,双南户型，满五唯一，高得房率，看房有钥匙，诚心出售,315万,西南小区  | 2室1厅 | 44.39平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-b4d7f637-05f4-4440-ae3e-f5a056bb57bc.jpg.296x216.jpg
20190504,虹口,曲阳,一梯三户，南北两房，楼层好，总价低，诚心出售。,280万,东体育会路408弄  | 2室0厅 | 44.26平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-c09370d6-ef9b-4882-a5a0-04dfd196cd6d.png.296x216.jpg
20190504,虹口,曲阳,正规一房一厅，边套全明，楼层高采光好，有钥匙随时看,350万,赤峰小区  | 1室1厅 | 52.67平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-60d66b02-86a1-495c-83e6-a7d7b94cab5f.jpg.296x216.jpg
20190504,虹口,曲阳,内环内精装修地铁口总加低房龄电梯房,260万,东渡名人大厦  | 1室1厅 | 42.43平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-1b7d9c86-0636-40c1-abae-17b7eb21c36f.jpg.296x216.jpg
20190504,虹口,曲阳,花江公寓 4室3厅 1100万,1100万,花江公寓  | 4室3厅 | 143.52平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-5d86b7f4-1037-4a54-92c4-4493a0c154e8.jpg.296x216.jpg
20190504,虹口,曲阳,运光小区 2室1厅 335万新上,335万,运光小区  | 2室1厅 | 57.39平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-78d576fe-1ad9-49db-837a-f90aec4ea7ed.jpg.296x216.jpg
20190504,虹口,曲阳,原林小区 3室1厅 590万新上,590万,原林小区  | 3室1厅 | 88平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-f6f124e5-4e73-46d5-a375-756039ab1afb.jpg.296x216.jpg
20190504,虹口,曲阳,赤峰小区 1室1厅 216万,216万,赤峰小区  | 1室1厅 | 35.42平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-7875ae2a-e21f-4e69-8a3e-f36208d0dc10.jpg.296x216.jpg
20190504,虹口,曲阳,好房子，看房方便，业主诚意出售，价格可以谈，满五年,400万,东五小区(虹口)  | 2室1厅 | 68.62平米 | 东南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-00ed5b97-03f0-42ed-a307-5ca3724e0e8b.png.296x216.jpg
20190504,虹口,曲阳,满五唯一  朝南一门关，地铁8号10号线，家乐福，,187万,玉田新村  | 1室1厅 | 33.68平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-ff0e0537-be5a-4fba-8193-31f629987a2c.png.296x216.jpg
20190504,虹口,曲阳,独栋 全明户型 双南 采光好 位置佳 急售,290万,曲阳林云小区  | 2室1厅 | 52.34平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-39f80307-7767-49ea-9de2-f5eba6e7fbba.jpg.296x216.jpg
20190504,虹口,曲阳,250米8号线曲阳路站，500米家乐福超市，高层电梯房,270万,东渡名人大厦  | 1室1厅 | 48.46平米 | 北 | 其他 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-9421057b-1b14-4618-89d3-2efd5f9a22db.jpg.296x216.jpg
20190504,虹口,曲阳,满五唯一税费少  小区位置好 边套全明,425万,巴林小区  | 2室1厅 | 61.63平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-8902880b-7269-4e46-8ff5-65009b53c015.jpg.296x216.jpg
20190504,虹口,曲阳,内化内免增值税近地铁3,8线，公园楼层好采光视野佳,375万,中山北一路244号  | 2室1厅 | 65.93平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-254cdf0a-2c86-4016-92e5-b03ed02927e3.jpg.296x216.jpg
20190504,虹口,曲阳,西边套全明户型，三房带厅，精装修，看房方便随时等您,452万,东体小区  | 3室1厅 | 67.17平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-eedda279-6749-4d5b-9cfe-10c5f090157e.jpg.296x216.jpg
20190504,虹口,曲阳,满五年售后公房 高区采光好 位置安静交通方便近地铁,555万,邮电二村  | 2室1厅 | 72.61平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-9171a209-30f2-4891-86c9-d79c710e9643.jpg.296x216.jpg
20190504,虹口,曲阳,两房朝南，正气大厅，内化内近地铁，格局正房龄新,400万,大连西路49号  | 2室1厅 | 64平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-5fdee906-a3ce-46f8-9b40-ecc1a63524f7.jpg.296x216.jpg
20190504,虹口,曲阳,楼层好+视野宽阔+采光充足+配套曲阳百联9月份开业,870万,复城国际(公寓)  | 2室1厅 | 112.45平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-15f017ab-937b-41f4-8670-2a1c68741b7f.png.296x216.jpg
20190504,虹口,曲阳,赤峰小区 2室1厅 440万,440万,赤峰小区  | 2室1厅 | 69.2平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-48bafaee-ec13-48e6-9ee4-e75e39a318e6.jpg.296x216.jpg
20190504,虹口,曲阳,邮电二村 2室1厅 510万,510万,邮电二村  | 2室1厅 | 66.04平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-b6d6eb3c-1258-4412-924a-7115eac29442.jpg.296x216.jpg
20190504,虹口,曲阳,采光好+没有遮挡+诚心出售+价格可谈+精装修,375万,运光小区  | 2室1厅 | 62.01平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-a27b824d-401f-400b-be8a-53e22cca1229.jpg.296x216.jpg
20190504,虹口,曲阳,曲阳大2房，房型正气，双南双阳台 中间三楼 近地铁,395万,玉田新村  | 2室1厅 | 69.97平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-b5cc882c-92ca-4373-9714-1cf75264013c.jpg.296x216.jpg
20190504,虹口,曲阳,顶楼复式有大露台，直视东方明珠，10号线邮电新村站,1200万,飘鹰东方花园  | 3室2厅 | 105.85平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-65432361-f802-41e8-8d4d-1d6bab9d0b0a.jpg.296x216.jpg
20190504,虹口,曲阳,电梯两房 采光无遮挡 配套设施齐全,660万,商检公寓  | 2室2厅 | 103.41平米 | 东 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-52869020-6ad4-400a-b2f6-2beef265e080.jpg.296x216.jpg
20190504,虹口,曲阳,玉四小区 1室1厅 238万,238万,玉四小区  | 1室1厅 | 35.69平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-4d5c84de-a603-42c7-ace6-9273da1de8d3.jpg.296x216.jpg
20190504,虹口,曲阳,8号线地铁口、全明南北通两房带厅、三楼好楼层,280万,大二小区  | 2室1厅 | 47.63平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-56b3b3c9-6df2-42d0-b733-09270c3c2a13.jpg.296x216.jpg
20190504,虹口,曲阳,大二小区 1室1厅 168万,168万,大二小区  | 1室1厅 | 31.95平米 | 西北 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-84f8da0e-224b-43d1-aaa4-fec5c3638338.jpg.296x216.jpg
20190504,虹口,曲阳,双东小区 1室1厅 340万,340万,双东小区  | 1室1厅 | 37.4平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-cd4856b1-c904-48dc-8508-3f2616e037f4.jpg.296x216.jpg
20190504,虹口,曲阳,密云路471弄 1室1厅 245万,245万,密云路471弄  | 1室1厅 | 39.55平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-4be0fab9-dbe8-4462-a07a-509b3e1986fb.jpg.296x216.jpg
20190504,虹口,曲阳,和鲁迅公园做邻居，地铁3号8号线双轨交通，步行龙之梦,335万,大连西路540弄  | 2室1厅 | 56.47平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-70e1b7e9-e8fa-467e-99f0-8d29e886d2e7.jpg.296x216.jpg
20190504,虹口,曲阳,三房户型 诚意出售 近地铁 交通便利 近曲阳公园房主自荐,500万,东四小区  | 3室1厅 | 64.88平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-dc7d8d75-5e0a-4960-b7d2-589dfff5e139.jpg.296x216.jpg
20190504,虹口,曲阳,大两房，电梯房，房东诚意，装修好，配套好，看中可签,560万,东四小区  | 2室1厅 | 78.81平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-904b5228-22bf-422a-b79f-a0f62b100096.jpg.296x216.jpg
20190504,虹口,曲阳,曲阳林云小区 1室1厅 205万,205万,曲阳林云小区  | 1室1厅 | 35.6平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-2c564482-dbb8-4d65-9185-12a273e3a6e5.jpg.296x216.jpg
20190504,虹口,曲阳,保真保看，满五不唯一税费低，可置换,428万,双东小区  | 2室1厅 | 51.11平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-6c6b3360-33da-46f7-85c3-8e0575680bb2.png.296x216.jpg
20190504,虹口,曲阳,一梯三户，钥匙房源，南、北两间，1987年竣工，8/10号,355万,蒋家桥小区  | 2室1厅 | 54.22平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-94b696ac-a38f-4d19-ade4-a36eb6519762.jpg.296x216.jpg
20190504,虹口,曲阳,满五年唯一正气三房 格局方正 位置安静 诚意出售,720万,商建大楼  | 3室1厅 | 113平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-8f10ad2f-eaa0-481e-a386-5b8acedfb8fc.jpg.296x216.jpg
20190504,虹口,曲阳,卧室全南 精装修 房东自住 保养好 税费少房东诚意出售,460万,上外中山大楼  | 2室2厅 | 73.22平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-bfdf3b93-f455-40dd-b941-7b0f9f0e1b45.jpg.296x216.jpg
20190504,虹口,曲阳,东体小区 1室1厅 240万,240万,东体小区  | 1室1厅 | 38.45平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-aa5ea4a9-88d4-4a3f-994c-b4d511dc5389.jpg.296x216.jpg
20190504,虹口,曲阳,密三小区，精装修，采光好，小区中间位置，离地铁近,310万,密三小区  | 2室1厅 | 46.03平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-1a7bef42-795e-46eb-b6de-3d3c1e07b1e5.jpg.296x216.jpg
20190504,虹口,曲阳,运光小区 南北通  复旦大学旁,320万,运光小区  | 2室1厅 | 50.78平米 | 南 | 其他 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-9842d585-b7b0-455e-9ae3-7d12fcc42219.jpg.296x216.jpg
20190504,虹口,曲阳,成熟商圈，诚意出售，精装修拎包入住，看房方便,455万,虹连大楼  | 2室1厅 | 71.44平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-8e334fec-776a-40bf-9e06-b8c94de59ddc.jpg.296x216.jpg
20190504,虹口,曲阳,两房朝南 厨卫全明楼层好采光佳 边上就是公园,790万,曲阳花苑  | 2室2厅 | 103.43平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-2198983b-714f-4127-9e36-4c4c0de13366.jpg.296x216.jpg
20190504,虹口,曲阳,西南小区 2室1厅 310万新上,310万,西南小区  | 2室1厅 | 44.65平米 | 南 | 其他 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-515935e8-504f-42c3-b1a3-e78e25e2583b.jpg.296x216.jpg
20190504,虹口,曲阳,房型方正 楼层好 采光好 业主诚意出售,440万,辉河大楼  | 2室1厅 | 66.49平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-7aab7499-aa86-43fe-91d3-e6e0ff0d8541.png.296x216.jpg
20190504,虹口,曲阳,房型正气  交通方便 内环内轨交房  税费少,705万,赤峰路525号  | 3室2厅 | 103.95平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-21dc6160-c595-4e56-a0dd-78995ec3cca7.jpg.296x216.jpg
20190504,虹口,曲阳,满五年税费少，金三银四楼层。地理位置佳 近地铁8号线,300万,密二小区  | 2室1厅 | 45.55平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-13da5f1c-a287-4ce7-81c0-e5a754c736ed.jpg.296x216.jpg
20190504,虹口,曲阳,正南三房+东方明珠景观房+稀有好房只配独具慧眼的你！,697万,银联花园  | 3室1厅 | 87.63平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-6e73d3ce-be86-4927-aabb-ea137ed6f334.png.296x216.jpg
20190504,虹口,曲阳,满五年唯一税费少 板式户型南北通 靠公园近地铁,1036万,北宸佳苑  | 3室2厅 | 126.42平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-c5f8f4ba-3aa6-4243-8366-fa23de5554fe.jpg.296x216.jpg
20190504,虹口,曲阳,东四小区 2室1厅 570万,570万,东四小区  | 2室1厅 | 78.81平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-a3090e74-8994-43ad-8870-35793a918bcf.jpg.296x216.jpg
20190504,虹口,曲阳,天宝西路252弄 2室1厅 270万,270万,天宝西路252弄  | 2室1厅 | 51平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-5ce9ed10-ad3f-4275-b2f9-831f18a1a0fc.jpg.296x216.jpg
20190504,虹口,曲阳,比邻曲阳公园 没小孩上学 满五年唯一 诚意出售房主自荐,580万,银联花园  | 2室1厅 | 75.95平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-16b124cb-69cf-4293-baad-ee480fe83aaa.jpg.296x216.jpg
20190504,虹口,曲阳,视野开阔，采光好，单价低，总价低，价到签字。,230万,密云路471弄  | 1室1厅 | 39.96平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-b08bd5a2-fab1-4c11-a25a-ecb7e24cb69d.jpg.296x216.jpg
20190504,虹口,曲阳,密云花苑，中区三房，楼层好，采光好，出行方便,730万,密云花苑  | 3室2厅 | 114.79平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-ec258cfc-c192-4ab6-a18e-00674d5e5d75.png.296x216.jpg
20190504,虹口,曲阳,商务中兴旁 两房超南  户型未改动过,325万,巴林小区  | 2室1厅 | 51.63平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-6d76be70-3b94-47a3-a1ea-18a20f356277.jpg.296x216.jpg
20190504,虹口,曲阳,独门独卫，朝南一门关的，层高是亮点有3米+,195万,玉田新村  | 1室0厅 | 33.5平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-3868c134-95cd-4e8b-94b7-f4aa52dd48ae.jpg.296x216.jpg
20190504,虹口,曲阳,密云路471弄 1室1厅 255万,255万,密云路471弄  | 1室1厅 | 42.14平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-417905fc-08d8-4cae-bcd1-d3df0885785b.jpg.296x216.jpg
20190504,虹口,曲阳,全新装修，紧 邻地铁，全天采光，一梯三户，85年！,215万,邮电新村  | 1室1厅 | 36.68平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-26714791-d16e-4ef3-ae2f-d871ded1a3f7.png.296x216.jpg
20190504,虹口,曲阳,四平路幸福村 2室1厅 310万,310万,四平路幸福村  | 2室1厅 | 51.85平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-4eeaf4de-2b57-4c32-9b0f-4a8a0996ebdd.jpg.296x216.jpg
20190504,虹口,曲阳,赤峰小区 2室2厅 335万房主自荐,335万,赤峰小区  | 2室2厅 | 42.16平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-4acbf856-6b9d-4e6d-a851-080c6329aca0.jpg.296x216.jpg
20190504,虹口,曲阳,赤峰小区 1室1厅 240万,240万,赤峰小区  | 1室1厅 | 37.48平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-3a035506-cbeb-4c5f-96a5-199d9b3655aa.jpg.296x216.jpg
20190504,虹口,曲阳,赤峰小区 1室0厅 235万,235万,赤峰小区  | 1室0厅 | 39.79平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-ad301da9-c4fc-458e-a11c-aa1157326929.png.296x216.jpg
20190504,虹口,曲阳,诚售板式朝南户型，小区位置佳，一房朝南带天井！新上,190万,东体小区  | 1室1厅 | 29平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-ee1b8246-763b-4a2d-8260-66c5c81dd502.jpg.296x216.jpg
20190504,虹口,曲阳,没有小孩上学.保真保看，满五不唯一税费低，可置换,425万,双东小区  | 2室1厅 | 52.69平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-71f6d616-6706-430f-a283-d0d931e67657.jpg.296x216.jpg
20190504,虹口,曲阳,双东小区 2室1厅 446万,446万,双东小区  | 2室1厅 | 53.05平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-cf266901-b568-442a-9c2c-d46fea4bc091.png.296x216.jpg
20190504,虹口,曲阳,双南大两房   楼层好   采光充足   诚意出售,415万,密云大厦  | 2室1厅 | 63平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-25f9b34c-9db7-4bc5-9b7e-5a19e1b67ee7.jpg.296x216.jpg
20190504,虹口,曲阳,近地铁 正气一室户 主卧朝南 总价低 配套成熟 诚售,188万,大西小区  | 1室0厅 | 33.19平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-9440dcdf-bfd3-4cd0-b46c-322e39f1833c.jpg.296x216.jpg
20190504,虹口,曲阳,高区景观房 满五年唯一 全明格局 诚意出售,463万,赤峰小区  | 2室1厅 | 69.05平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-289fbc08-53ff-4c87-8913-ed8d5a664123.png.296x216.jpg
20190504,虹口,曲阳,曲阳豪庭 4室4厅 2000万,2000万,曲阳豪庭  | 4室4厅 | 227.67平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-33ba186d-45b8-4910-b1ce-a19b42cf7969.jpg.296x216.jpg
20190504,虹口,曲阳,满五唯一，地段8，10号线，精装修，随时可看，,230万,大二小区  | 1室1厅 | 40.45平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-2b1c095a-8b68-46f5-953e-7f0b9e5f8866.jpg.296x216.jpg
20190504,虹口,曲阳,精装全明户型，有平改坡，双地铁，看房方便,300万,祥东小区(虹口)  | 2室1厅 | 52.52平米 | 东南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-ea7fd21a-13bb-4c49-9984-0ee00db45809.jpg.296x216.jpg
20190504,虹口,曲阳,1990年房龄新贷款足，精装修买进即使用，,223万,四平路幸福村  | 1室1厅 | 37.99平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-52b878ab-edb8-44be-b095-b8350302138b.png.296x216.jpg
20190504,虹口,曲阳,成熟商圈，诚意出售，精装修拎包入住，看房方便,465万,虹连大楼  | 2室1厅 | 71.44平米 | 西 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-7fd12f62-83d6-4b65-adcf-3bd3f0e9bc97.jpg.296x216.jpg
20190504,虹口,曲阳,密三小区 2室1厅 360万,360万,密三小区  | 2室1厅 | 46.1平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-289672fa-b3d0-4c63-9490-3df9e23df58d.jpg.296x216.jpg
20190504,虹口,曲阳,密云花苑 3室1厅 730万,730万,密云花苑  | 3室1厅 | 129.43平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-30a84ad6-5b51-44ab-af82-87ac46c49ad4.jpg.296x216.jpg
20190504,虹口,曲阳,两房朝南 视野好通风采光很好 周 边配套完善全明户型,455万,辉华大楼  | 2室2厅 | 76.6平米 | 南 北 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-6ff99889-fb41-48ff-bb25-d1868b2a0571.png.296x216.jpg
20190504,虹口,曲阳,银联花园 满五年唯一  中区采光棒 诚意出售 3/8地铁,590万,银联花园  | 2室1厅 | 70.76平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-a337fa37-dc36-463f-8969-b1ce77c405b9.png.296x216.jpg
20190504,虹口,曲阳,1983年+双南两房+精装修+曲阳路地铁站+5楼+不靠马路,320万,密二小区  | 2室1厅 | 46平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-7d14837e-bcd5-4193-a322-015193646d73.jpg.296x216.jpg
20190504,虹口,曲阳,内环内 好房子 产权清晰 繁华地段 地铁38号线,250万,赤峰小区  | 1室1厅 | 39.84平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-5bf2c5ce-0191-4bdd-91b6-b88e80ec6fcc.png.296x216.jpg
20190504,虹口,曲阳,距离10号线300米，交通方便，地段好，价格可谈！,190万,邮电新村  | 1室2厅 | 33.33平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-1ae74c70-fe14-48e4-aa3e-a89ed7ed540a.jpg.296x216.jpg
20190504,虹口,曲阳,上农新村 2室0厅 398万,398万,上农新村  | 2室0厅 | 56.32平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-a7d4ff4d-e874-439b-a409-f97659bc3e25.jpg.296x216.jpg
20190504,虹口,曲阳,密云路471弄 1室1厅 230万,230万,密云路471弄  | 1室1厅 | 37.36平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-cc8d5bad-7b1f-4b4b-bb27-36965b9c1a2e.jpg.296x216.jpg
20190504,虹口,曲阳,大西小区 1室1厅 215万,215万,大西小区  | 1室1厅 | 36.8平米 | 南 | 其他 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-4e5d391a-7f5f-4a59-8185-ed0efff9c0ed.jpg.296x216.jpg
20190504,虹口,曲阳,曲阳精装一室户，总价低，位置好，采光好，诚心出售,203万,玉四小区  | 1室0厅 | 30.52平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-953b8782-f6e1-4406-87bb-7f77f0037d89.jpg.296x216.jpg
20190504,虹口,曲阳,建工小区 中间楼层 小孩没在里面上学 三号线地铁口,420万,建工天峰公寓  | 1室1厅 | 58.58平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-aa714c23-becd-4eb7-8b93-3bdd183e830d.jpg.296x216.jpg
20190504,虹口,曲阳,天宝西路252弄 1室0厅 198万,198万,天宝西路252弄  | 1室0厅 | 28.98平米 | 北 | 其他 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-8f836526-a0ff-4d4e-b542-1277fb423dbd.jpg.296x216.jpg
20190504,虹口,曲阳,近地铁 电梯房 户型好 通风佳 配套全 看房方便,500万,曲阳大楼  | 2室1厅 | 70.6平米 | 东南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-8e1d8738-e106-4058-861d-c6a7c65deee7.jpg.296x216.jpg
20190504,虹口,曲阳,品质小区好房来临，婚房装修，高区陆家嘴夜景一览无余,465万,邮电二村  | 2室2厅 | 66.94平米 | 东 西 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-9233810f-7364-4230-ad35-c996a3f63d04.jpg.296x216.jpg
20190504,虹口,曲阳,地理位置好，户型正气，电梯高区，价格可谈！,590万,建工天峰公寓  | 2室1厅 | 83.31平米 | 南 北 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-7a3f8126-ee2b-436a-ad5d-ab4386d77c4c.jpg.296x216.jpg
