20190504,浦东,川沙,两房朝南 厅采光明亮 中等装修  位置好 楼层佳,215万,南桥小区  | 2室1厅 | 64.4平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-ecf3016d-2510-4b6d-9cbf-627bd8ea087b.jpg.296x216.jpg
20190504,浦东,川沙,华沙一村 中间楼层 满五年 税少 业主诚心出售,305万,华沙一村  | 3室1厅 | 88.37平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-59ab13ff-5f00-4257-bdee-61e645ea5a50.jpg.296x216.jpg
20190504,浦东,川沙,思凡南苑大三房带阁楼 一手动迁 诚意出售 看房方便,290万,思凡南苑  | 3室1厅 | 105.68平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-dca1b90f-72c3-429b-ac6b-7117e5510545.jpg.296x216.jpg
20190504,浦东,川沙,妙栏路392弄 97年大两房  一楼带双天井 房东诚心出售房主自荐,290万,妙栏路392弄  | 2室1厅 | 74.77平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-73e79a17-e745-4962-83c2-b12e88916adc.png.296x216.jpg
20190504,浦东,川沙,5楼南北户型，小区中间位置，小孩在上一年级,210万,园西小区  | 2室1厅 | 53.42平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-868a8c61-b616-4259-accb-4cb628f0199d.jpg.296x216.jpg
20190504,浦东,川沙,永达城市公寓2房出售随时看房房东诚心出售,515万,永达城市公寓  | 2室2厅 | 101平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-ff4037cf-f482-4f12-b5db-0a6ee58b139c.jpg.296x216.jpg
20190504,浦东,川沙,好户型 楼层高 无遮挡 采光好 交通便利 配齐全,300万,晨光公寓  | 3室1厅 | 94.12平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-60463ae8-c628-424a-ab14-de6fa6a9fe37.jpg.296x216.jpg
20190504,浦东,川沙,随时可看+清爽简约装修+采光好+不临街+视野开阔+诚售,240万,凌港城  | 2室2厅 | 84.58平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-8dd7aa7d-feeb-4307-a3e1-a10f3307e140.png.296x216.jpg
20190504,浦东,川沙,城丰小区  自住精装三房 满五 中间楼层 诚心出售,340万,城丰路15弄  | 3室2厅 | 106.86平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-cb69d0d3-a86c-4753-83be-a1e5cc06c34a.jpg.296x216.jpg
20190504,浦东,川沙,新川苑 3室2厅 530万,530万,新川苑  | 3室2厅 | 150.79平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-a73a470e-71b4-40c2-9ac6-d54492345fd7.jpg.296x216.jpg
20190504,浦东,川沙,华天小区 底楼带天井 56平方两房 近华夏东地铁站,192万,华天小区  | 2室1厅 | 56平米 | 暂无数据 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-9bfb2af9-5adc-4691-9e15-ca014777eb78.png.296x216.jpg
20190504,浦东,川沙,新德路北边 步行菜市场方便  诚意出售 看房随时,290万,新德路558弄  | 3室1厅 | 88.08平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-87985432-986b-49fa-ba82-5026b2a1ced5.jpg.296x216.jpg
20190504,浦东,川沙,青厦小区  南北户型 一梯两户 看房随时,222万,青厦小区  | 2室1厅 | 59平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-71beb323-1c3e-474c-b7fa-4644962aed5c.png.296x216.jpg
20190504,浦东,川沙,施湾 电梯房2009新小区适合自住养老 近东站发展后劲足,230万,盛世联弈苑  | 2室2厅 | 82.32平米 | 南 | 毛坯 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-a4b4b1f9-84be-4542-84bd-095c73c34a9f.jpg.296x216.jpg
20190504,浦东,川沙,看房方便，使用面积大没有增值税，   一楼带天井！,185万,南桥小区  | 2室1厅 | 41.88平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-8e681463-7fb4-4761-a527-55eab85fdc19.jpg.296x216.jpg
20190504,浦东,川沙,川南奉公路3424弄 3室2厅 270万,270万,川南奉公路3424弄  | 3室2厅 | 111.27平米 | 南 | 其他 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-4c94ea7e-6e95-4cee-8d31-0acd5c4a1eb1.jpg.296x216.jpg
20190504,浦东,川沙,房东诚心售房  看房方便 拎包入住 利用空间大,145万,施湾家园  | 1室1厅 | 49.12平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-02528f25-de80-40b8-b447-76d655463de5.jpg.296x216.jpg
20190504,浦东,川沙,百晨小区 3室2厅 320万,320万,百晨小区  | 3室2厅 | 116.76平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-190bf016-414b-413e-a743-2fc6dd1b543e.jpg.296x216.jpg
20190504,浦东,川沙,阳光城愉景湾 111平大三房 采光充足 房东诚心出售,620万,阳光城愉景湾  | 3室2厅 | 111平米 | 南 北 | 精装,https://image1.ljcdn.com/310000-inspection/prod-4633979e-b2f9-48f1-ba4a-f7c9940ef4ab.jpg.296x216.jpg
20190504,浦东,川沙,满五唯一+诚心出售+采光佳+中等装修+看房方便新上,310万,上浦小区  | 3室1厅 | 91.7平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-58cf6a06-a7f3-4d43-8dd1-eb2240846696.jpg.296x216.jpg
20190504,浦东,川沙,明光苑 户型方正 电梯房 诚心出售 配套完善 拎包入住,515万,明光苑  | 3室2厅 | 139.15平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-f734726c-40e0-41b4-906c-64e03b2cd99a.jpg.296x216.jpg
20190504,浦东,川沙,天和湖滨 南北正通 业主已定好房 急卖急卖！！！,308万,天和湖滨家园(公寓)  | 2室2厅 | 97.73平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-3dfa01cb-6371-46c8-9d16-5987b4d1bbed.png.296x216.jpg
20190504,浦东,川沙,海霞佳苑2012年新房子，中间楼层，采光好，视野开阔,230万,海霞佳苑  | 2室2厅 | 83.31平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-13651dd2-faed-44cb-b353-41969b4cc5b9.png.296x216.jpg
20190504,浦东,川沙,绿海家园三期复式房，房型正气，带露台。满五唯一！房主自荐,510万,绿海家园  | 3室2厅 | 174.74平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-1a7708d5-a2b2-484b-a807-b30685328b2d.jpg.296x216.jpg
20190504,浦东,川沙,象屿鼎城(公寓) 2室2厅 570万,570万,象屿鼎城(公寓)  | 2室2厅 | 92平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-824991aa-10fb-416d-a334-d584bd528a9d.jpg.296x216.jpg
20190504,浦东,川沙,2012年新小区，6楼带阁楼，采光好，视野开阔，南北通,270万,海霞佳苑  | 3室2厅 | 113平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-c666c076-f408-49c5-99d7-4c0e569a96ec.jpg.296x216.jpg
20190504,浦东,川沙,4楼，南北通，园西，小区中间，近2号线川沙站,490万,妙城公寓  | 3室2厅 | 139.91平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-df89d381-21f0-40f0-902d-c3edae9bc01c.png.296x216.jpg
20190504,浦东,川沙,2005年次新小区、大两房、低总价、中间楼层、出行方便,225万,百欣苑  | 2室2厅 | 84.19平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-5c371ac1-58b5-444b-b8a2-d901dcd0af9f.jpg.296x216.jpg
20190504,浦东,川沙,天和湖滨大三房出售，临河景观，房东自住装修！,480万,天和湖滨家园(公寓)  | 3室2厅 | 137.63平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-6648f669-122f-4136-867b-192f7b619c2b.jpg.296x216.jpg
20190504,浦东,川沙,川沙路 大三房 自住精装修 满5年,515万,界龙新世纪公寓  | 3室2厅 | 139.56平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-44492a6a-0a4b-41a9-b8e3-fb5f1cedf6ac.jpg.296x216.jpg
20190504,浦东,川沙,青厦小区 3室2厅 335万,335万,青厦小区  | 3室2厅 | 81.93平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-1660f3b1-b5a1-4fe2-b52f-5cbf3be49194.jpg.296x216.jpg
20190504,浦东,川沙,南北通透的户型 楼层好 位置好 交通便利 采光充足,390万,兴东名苑  | 2室2厅 | 98平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-bcd96075-07b8-44cb-9239-c74b4db9203e.jpg.296x216.jpg
20190504,浦东,川沙,六楼精装三房，总价低，楼层好，出行方便。,235万,思凡花苑二街坊  | 3室2厅 | 98.95平米 | 东南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-8eb9f0bf-2e79-4ad9-b9f6-556547746e29.jpg.296x216.jpg
20190504,浦东,川沙,施湾少有的商品房，一楼带院子，房东自住用心装修。,275万,航城园  | 3室2厅 | 114.08平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-e632fc45-a008-480b-892a-24cf0ed57df9.jpg.296x216.jpg
20190504,浦东,川沙,翔川家园 一改二 中间楼层 精装自住 地段好出行方便,365万,翔川家园  | 2室1厅 | 64.54平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-1fbcbe20-62ec-4101-9b0f-87674099760b.png.296x216.jpg
20190504,浦东,川沙,满五唯一好看房，35平阁楼可做3房房主自荐,218万,东都豪苑  | 1室1厅 | 68.75平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-fdb73eda-7e31-461f-873c-a8f54e4ccfe3.jpg.296x216.jpg
20190504,浦东,川沙,总价低 户型好 小区新 房东诚心 看房里面有租客,235万,盛世联弈苑  | 2室1厅 | 81.59平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-98fb3100-bbc2-4d68-80a4-027f34b8a4ed.jpg.296x216.jpg
20190504,浦东,川沙,妙栏小区，婚房装修，拎包入住，南北通户型，正气,295万,妙栏小区  | 2室1厅 | 73.17平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-74b71311-984c-4711-aa5f-5cfa585cfae4.png.296x216.jpg
20190504,浦东,川沙,沙田公寓，94年商品房，小区位置好，业主置换诚心卖,198万,沙田公寓  | 1室1厅 | 54平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-743d0cf1-f507-4c34-b1c2-f8a7212a402a.png.296x216.jpg
20190504,浦东,川沙,曙光路25弄71平两室出售，户型方正，楼层好,263万,曙光路25弄  | 2室1厅 | 71.15平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-a2fe5d94-6e99-4ea4-9bcf-c78318c58403.jpg.296x216.jpg
20190504,浦东,川沙,界龙花苑，好楼层、满五唯一、小区花园位置.诚售,315万,界龙花苑  | 2室1厅 | 81.13平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-25b1b437-fc21-419d-aba7-2f9dd324e5cb.jpg.296x216.jpg
20190504,浦东,川沙,永达城市公寓 2室2厅 600万,600万,永达城市公寓  | 2室2厅 | 111.85平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-75ebda3d-2178-4be2-88f1-8bcac395fbee.jpg.296x216.jpg
20190504,浦东,川沙,2房朝南，自住装修，产权清晰，楼层高采光充足,235万,曙光南桥小区  | 2室1厅 | 68.81平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-00d16c72-afb9-49d2-8c56-867a7ff2dac4.jpg.296x216.jpg
20190504,浦东,川沙,此房满五年 税费少 可以直接拎包住 百联 地铁近,605万,翔川家园  | 3室2厅 | 120.53平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-2972dd2e-1b49-4bb1-b611-3907a2bb4002.jpg.296x216.jpg
20190504,浦东,川沙,沙田公寓 94年的商品房  业主自住诚意出售 看中可谈,335万,沙田公寓  | 3室2厅 | 113.33平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-6f49f64f-2c00-4711-b5c5-fcaa42bdcc17.jpg.296x216.jpg
20190504,浦东,川沙,此房满五年，位置好，客厅带窗户，户型正气，采光好！,260万,桃园新村(川沙)  | 2室1厅 | 65.7平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-77d86c4d-a34a-4f8d-a882-5c354223b45f.jpg.296x216.jpg
20190504,浦东,川沙,交通便利 精装修 位置安静 张江金科。配套齐全,236万,银龙小区  | 2室1厅 | 61.61平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-8e30d44c-5c00-497f-81a5-9b167ea38332.jpg.296x216.jpg
20190504,浦东,川沙,12年电梯次新房+低总价大三房 +位置好+采光佳+税费少,430万,心圆西苑  | 3室2厅 | 100.57平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-283ea270-d736-41a6-b21c-63919f5d4cf6.jpg.296x216.jpg
20190504,浦东,川沙,近观澜 楼层好 户型佳 有钥匙随时看房,225万,南桥小区  | 2室1厅 | 58.75平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-3c3dbceb-d20e-40ca-8299-a12411855009.jpg.296x216.jpg
20190504,浦东,川沙,满五年，两房朝南，总价低，诚心出售；看房随时!,260万,川沙新川路190弄  | 2室1厅 | 71.83平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-a85cedc6-bb38-4025-936b-adcd60ad0c55.jpg.296x216.jpg
20190504,浦东,川沙,满五年+自住婚房精装修，交通便利，视野宽阔、采光好房主自荐,285万,城南小区  | 3室1厅 | 86平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-79dc3fc8-270d-4a68-942b-ec944d964944.jpg.296x216.jpg
20190504,浦东,川沙,川沙普通住宅川北小区，急售好房不等人，抓紧时间下手,165万,川北小区  | 2室0厅 | 50.88平米 | 暂无数据 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-ee0dd42b-60d3-4447-a2db-53ceefe66649.png.296x216.jpg
20190504,浦东,川沙,施湾家园毛坯一房 交通便利 配套齐全 一手动迁 有钥匙,145万,施湾家园  | 1室1厅 | 48.94平米 | 暂无数据 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-337b58ba-d1c2-49ef-9b89-3c05a0a6184d.png.296x216.jpg
20190504,浦东,川沙,川沙地铁口，妙城公寓精装复房，三房，阁楼三个房间。,510万,妙城公寓  | 3室2厅 | 136.74平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-178908d6-0877-4084-b08f-8e23b2d21c4d.jpg.296x216.jpg
20190504,浦东,川沙,沙田公寓 近华夏东路地铁口 交通便利 业主诚售随时看,189万,沙田公寓  | 1室1厅 | 54.92平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-ac76f1e3-8eba-456b-86a8-5fd044fabd60.jpg.296x216.jpg
20190504,浦东,川沙,大三房  满五年 南北通透 一楼有院子,450万,鑫龙佳苑  | 3室2厅 | 129.03平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-4417fda3-f841-44b8-add3-7eaeca32dc41.jpg.296x216.jpg
20190504,浦东,川沙,界龙花苑精装两房，全明户型，双房朝南，拎包入住,298万,界龙花苑  | 2室1厅 | 81.16平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-2f247100-8092-4b4a-85ed-15bff5a3cc64.jpg.296x216.jpg
20190504,浦东,川沙,此房满五唯一，南北通风，交通便利，配套设施齐全,238万,晨光公寓  | 2室1厅 | 67.3平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-96abc158-1ee0-43d8-ac82-63e43f66fc2d.jpg.296x216.jpg
20190504,浦东,川沙,洼地刚需板块的精品楼盘 新造高档商品房 物业管理完善,235万,东亚启航公馆  | 2室1厅 | 79平米 | 南 | 毛坯 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-8bd5d92c-069a-4d59-aed0-a65577c4bf55.png.296x216.jpg
20190504,浦东,川沙,西市街101弄 2室1厅 200万,200万,西市街101弄  | 2室1厅 | 60.13平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-b2d745b7-6962-458d-a51f-1613f0d72bba.jpg.296x216.jpg
20190504,浦东,川沙,东绣苑2012年动迁房74平南北两房二手买进330万诚意卖,330万,东绣苑  | 2室2厅 | 74.57平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-f99b9842-a230-4a35-b8ea-e5d020952afc.jpg.296x216.jpg
20190504,浦东,川沙,盛世联弈苑一手动迁房 楼层采光好 带电梯诚意出售,230万,盛世联弈苑  | 2室1厅 | 81.59平米 | 南 | 毛坯 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-8dba3ea2-0564-4ca3-b2a5-1c7a8d4b3033.jpg.296x216.jpg
20190504,浦东,川沙,盛世联奕苑 南北两房，总价低，6楼带阁楼。,223万,盛世联弈苑  | 2室2厅 | 77.59平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-2c2006bf-303d-4dc4-96ad-62d2ee470b07.jpg.296x216.jpg
20190504,浦东,川沙,东绣苑南北通82平大两房出售，已满两年诚意出售,375万,东绣苑  | 2室2厅 | 82.18平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-6a30200d-0a7e-4626-b0cf-38c1273c766d.jpg.296x216.jpg
20190504,浦东,川沙,2006年商品房精装2居室，中层4楼，诚意出售价格。,220万,东都豪苑  | 2室1厅 | 68.3平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-824789a1-961d-4226-b0ea-3c5657cfb9ea.jpg.296x216.jpg
20190504,浦东,川沙,大3房3天井，3房朝南，税费少，面积大，使用率高,320万,新德四村  | 3室1厅 | 91.98平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-a14ae31f-a65b-4495-83d7-3998a40f94a2.jpg.296x216.jpg
20190504,浦东,川沙,晨阳小区 一房朝南 一房朝北 无遮挡 视野好,190万,晨阳小区  | 2室1厅 | 76.86平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-ba9e8ada-d129-4829-b769-7010885f58f1.jpg.296x216.jpg
20190504,浦东,川沙,新川苑 随时可看 中式风格带阳台采光好不临街视野开阔,490万,新川苑  | 3室2厅 | 150.35平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-7bb5a59e-a9bb-4d74-9ac0-b81c3a1857a9.jpg.296x216.jpg
20190504,浦东,川沙,满五唯一两房朝南房型正楼前就是花园业主置换诚心出售房主自荐,240万,城南小区  | 2室1厅 | 78.22平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-7d56c361-a593-4459-9499-916143fc405a.jpg.296x216.jpg
20190504,浦东,川沙,价格合适家具家电全给 自住精装修 房东急于置换,820万,凯佳公寓  | 3室2厅 | 142.95平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-f38485b6-cbad-4159-a0e6-38296661b13b.png.296x216.jpg
20190504,浦东,川沙,品质小区高层，采光好，视野好，,605万,阳光城愉景湾  | 3室2厅 | 110平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-af4e4d4d-b9d8-480e-904a-ffe712696dac.png.296x216.jpg
20190504,浦东,川沙,新川苑 2000年新小区 满五唯一 业主诚意出售,310万,新川苑  | 2室2厅 | 94.9平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-aa6e2a10-f79f-4144-826e-ef9b5daf8413.jpg.296x216.jpg
20190504,浦东,川沙,2房朝南婚房装修 拎包入住.采光好,325万,桃园公寓(川沙)  | 2室2厅 | 96.89平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-79cb964e-aeb1-4520-8ac7-22c5cfcc037e.jpg.296x216.jpg
20190504,浦东,川沙,房东诚意出售，看房方便，小区位置安静，位置采光好,290万,华沙二村  | 2室1厅 | 78.26平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-20a04f0d-0489-402d-99ed-949e3fe0d124.png.296x216.jpg
20190504,浦东,川沙,精装2房，诚意出售，南北房间带飘窗，户型利用率高！,235万,海霞佳苑  | 2室1厅 | 83.21平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-388cd671-67ef-485b-a47c-fd08a08a2a8f.jpg.296x216.jpg
20190504,浦东,川沙,凌港城三楼二房，诚心出售，近凌空路,240万,凌港城  | 2室1厅 | 75.89平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-8550fe3b-fbb8-408b-b5e9-b6bb812c0b0d.jpg.296x216.jpg
20190504,浦东,川沙,顶楼复式，川沙2.5万单价...........................,425万,鸿基公寓  | 4室2厅 | 173.68平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-77d8c50b-4259-4165-b8d7-c5c3f381b1e4.jpg.296x216.jpg
20190504,浦东,川沙,华沙二村  园西 户型正 看房随时 有钥匙,320万,华沙二村  | 2室1厅 | 94.92平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-f4165cf4-ba91-4ec7-8669-21ad1da1a07f.jpg.296x216.jpg
20190504,浦东,川沙,园 西 两 房 楼层好 业主诚心出售 随时看,270万,华沙一村  | 2室1厅 | 75.79平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-1bc8666c-c236-48d3-b69f-3e73f97e6c27.jpg.296x216.jpg
20190504,浦东,川沙,99年房龄带阁楼，使用面积达150平，房东诚意出售,338万,妙栏小区  | 2室2厅 | 87.43平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-e55e87d4-b3bb-4eda-9683-28a3bb71af5e.jpg.296x216.jpg
20190504,浦东,川沙,天和3房2厅2卫，精装修高楼层，总价低位置好，采光好,420万,天和湖滨家园(公寓)  | 3室2厅 | 129平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-9a80b4a9-4b2a-4cdd-bf7e-e3d45915284d.jpg.296x216.jpg
20190504,浦东,川沙,小三房，可改两房 满五 唯一 税费少,205万,运通路728弄  | 3室1厅 | 73.89平米 | 东 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-b7350ff3-d659-4799-8258-4e0e323a1cad.jpg.296x216.jpg
20190504,浦东,川沙,益民路小区 3室2厅 275万,275万,益民路小区  | 3室2厅 | 64平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-f432d0c6-ab3d-4b05-a37e-6d68261194bb.jpg.296x216.jpg
20190504,浦东,川沙,思凡花苑一街坊 3室2厅 240万,240万,思凡花苑一街坊  | 3室2厅 | 98.68平米 | 南 北 | 其他 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-91c2d45e-c608-46a6-8eb7-4dda6263a9cf.jpg.296x216.jpg
20190504,浦东,川沙,龙馨华庭 3室2厅 310万,310万,龙馨华庭  | 3室2厅 | 121.2平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-683d9b68-d969-45b1-8fa2-779042a7f1b5.jpg.296x216.jpg
20190504,浦东,川沙,小区中间，中间楼层，大三房可改四房，诚心出售,560万,界龙新世纪公寓  | 3室2厅 | 156.44平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-58d7463c-cbfa-46b5-bb9a-0f28a3798f81.jpg.296x216.jpg
20190504,浦东,川沙,新川小区 1室1厅 155万房主自荐,155万,新川小区  | 1室1厅 | 45.8平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-35240329-e6d6-4bfd-8715-15f06fff9a81.jpg.296x216.jpg
20190504,浦东,川沙,海霞佳苑精装一房，动迁房税费少，位置佳采光好！,162万,海霞佳苑  | 1室1厅 | 55.9平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-d655f25f-7d53-4582-8359-43075aadc68b.jpg.296x216.jpg
20190504,浦东,川沙,此房在小区位置佳，不靠马路，景观房，通风好带车位,415万,新川苑  | 3室2厅 | 129.87平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-61fbff58-47d7-423a-9c5f-0fdd44086fb1.jpg.296x216.jpg
20190504,浦东,川沙,新川公寓，南北大三房，业主急售。,400万,新川公寓  | 3室2厅 | 137.28平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-4d525561-6aec-480b-9c31-08bce427c96a.jpg.296x216.jpg
20190504,浦东,川沙,鼎鑫名流世家 社区安全 进出入刷卡 人车分流,600万,鼎鑫名流世家  | 3室2厅 | 138.56平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-4f02fa4e-26c7-4210-8474-b02c75744c52.jpg.296x216.jpg
20190504,浦东,川沙,佳运公寓 5房2厅1厨3卫  户型方正 装修好 视野好,900万,佳运公寓  | 5室2厅 | 225.25平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-c2825e9c-4db9-4ce4-a766-700414a03a64.jpg.296x216.jpg
20190504,浦东,川沙,新川苑，诚心出售，有钥匙，配套成熟，交通方便,340万,新川苑  | 2室2厅 | 99.83平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-b7ffb66e-0dd0-40d6-87de-9677f679e635.jpg.296x216.jpg
20190504,浦东,川沙,佳洲欣苑，无个税，两室两厅两卫，自住装修，看房预约,416万,佳洲欣苑  | 2室2厅 | 104.19平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-6d1d3044-1f60-4eb8-b580-8b12a56da03f.png.296x216.jpg
20190504,浦东,川沙,思凡花苑六街坊小一房 二手买进税费少 总价低诚售,105万,思凡花苑六街坊  | 1室1厅 | 31.38平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-ec97a557-6c1f-4499-bec4-da9945fc43f7.jpg.296x216.jpg
20190504,浦东,川沙,精装修自住，保养好，拎包入住。,330万,鑫龙佳苑  | 2室2厅 | 94.47平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-c4cd8779-1361-4d4c-8f1d-70248672c7d4.jpg.296x216.jpg
20190504,浦东,川沙,双南两居室，中间楼层不靠路，位置安静采光充足！,245万,城南小区  | 2室1厅 | 74.21平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-b9b786b7-34df-420c-8839-873546f77b7a.jpg.296x216.jpg
20190504,浦东,川沙,同济东时区2016年次新房房子是一手买进，现无抵押,250万,同济东时区  | 2室2厅 | 77.56平米 | 南 | 精装,https://image1.ljcdn.com/310000-inspection/prod-9e45bbeb-a3d5-4035-9e88-6dbf039843d1.jpg.296x216.jpg
