20190504,闵行,吴泾,双卧朝南  户型正气  楼层好,220.5万,通海一小区  | 2室1厅 | 64.94平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-2eec78e0-9a6a-42ab-a21a-6bdb5d678265.jpg.296x216.jpg
20190504,闵行,吴泾,户型南北两房，采光通风俱佳，单价低交通方便！,220万,龙吴路5599弄  | 2室1厅 | 65.29平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-5a2ac949-bd3e-4ee9-a47d-9688087ec3f0.jpg.296x216.jpg
20190504,闵行,吴泾,永德小区中间楼层 户型正气双南两房 价格可谈！,198万,永德小区  | 2室1厅 | 58.68平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-95dbc33a-8915-4ea2-baaf-1bf44d2a941a.jpg.296x216.jpg
20190504,闵行,吴泾,诚售  永南小区2楼 39.8平的一房，小区位置好，不靠路房主自荐,139万,永德小区  | 1室0厅 | 39.8平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-bc146f74-22e2-44f1-9702-8477ec540287.jpg.296x216.jpg
20190504,闵行,吴泾,精致两房两厅小户型，采光充足 ，视野开阔，精致装修,350万,紫晶南园  | 2室2厅 | 91.65平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-55149091-0bc8-4a34-b3dd-f61098c6564c.png.296x216.jpg
20190504,闵行,吴泾,双柏小区  一室一厅 主卧朝南带阳台 诚心出售！,128万,双柏小区  | 1室1厅 | 41.04平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-831c70a1-acbe-424b-a6dd-73ccedb5afc0.jpg.296x216.jpg
20190504,闵行,吴泾,虹梅景苑四街坊 2室1厅 345万,345万,虹梅景苑四街坊  | 2室1厅 | 91.7平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-e7d2d467-2573-4d32-aa1b-160ff8425e88.jpg.296x216.jpg
20190504,闵行,吴泾,虹梅景苑一街坊 免增值税 楼层佳,260万,虹梅景苑一街坊  | 1室2厅 | 63.13平米 | 南 | 毛坯 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-b0d0f806-23b1-4c0d-b3e1-d1ba9fbb44ad.png.296x216.jpg
20190504,闵行,吴泾,新+经典小户型+价低+楼层好+诚心急售,245万,虹梅景苑二街坊  | 1室1厅 | 65平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-15301732-cffb-4f75-947d-d668cf4ff21e.png.296x216.jpg
20190504,闵行,吴泾,此房满五年唯一省税费，采光好，视野宽阔，配套齐全,165万,氯碱小区  | 2室1厅 | 51.81平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-7c6c4135-5c67-4b62-aa63-f55eb27f56f8.jpg.296x216.jpg
20190504,闵行,吴泾,此房价格低，看房子方便，业主诚心,238万,虹梅景苑二街坊  | 1室2厅 | 65.56平米 | 南 | 毛坯 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-7b590ba3-12b8-4959-84de-d2497cfbb10a.jpg.296x216.jpg
20190504,闵行,吴泾,双柏小区 一房出售 看房方便 房型好房主自荐,125万,双柏小区  | 1室1厅 | 39.14平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-317648a9-9cf8-406d-80c7-2186715f7711.jpg.296x216.jpg
20190504,闵行,吴泾,房龄新  户型好 精装修 楼层佳,215万,永德小区  | 2室1厅 | 59.8平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-3d06e360-4900-4583-ad63-1e250465368c.png.296x216.jpg
20190504,闵行,吴泾,小户型，高楼层，出入方便，居住舒适，采光好,130万,氯碱小区  | 1室1厅 | 43.46平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-f6415ee6-c958-40ad-a3ec-2a2399b3faf8.jpg.296x216.jpg
20190504,闵行,吴泾,大一房，利用空间高，采光充足，户型明亮，随时看房。,145万,永德小区  | 1室1厅 | 47.34平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-6541e9af-c3fb-4b8a-99a3-2dec71a49f19.png.296x216.jpg
20190504,闵行,吴泾,满5唯一，看房随时，一梯三户，小区当中位置，,128万,双柏小区  | 1室1厅 | 39.14平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-b3c485e5-d61c-4415-85bf-f10267ae4c3d.png.296x216.jpg
20190504,闵行,吴泾,嘉怡水岸 大一房 可改二房 景观楼层 房东诚心出售！房主自荐,320万,嘉怡水岸(公寓)  | 1室2厅 | 76.81平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-5f1dcb80-07f7-4863-9dc6-a68e522b0707.png.296x216.jpg
20190504,闵行,吴泾,枫桦景苑双南户型，电梯高层，精装修拎包即住！,370万,枫桦景苑  | 2室2厅 | 95.64平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-5df0175a-9132-439a-86df-6c5f6e2320b2.jpg.296x216.jpg
20190504,闵行,吴泾,永德小区一房小户型，满五年，有钥匙，看房方便！,132万,永德小区  | 1室1厅 | 37.26平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-266f949a-8369-4d8b-b957-e50a851d5487.jpg.296x216.jpg
20190504,闵行,吴泾,此房满五唯一，全明户型、诚心出售,153万,氯碱小区  | 2室1厅 | 51.81平米 | 南 北 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-2a14a9e1-a4ff-435e-a663-394ec2384acc.jpg.296x216.jpg
20190504,闵行,吴泾,永德小区南北小两房，中间楼层，业主自住，看房方便,165万,永德小区  | 2室0厅 | 47.62平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-3354e5d1-3f39-4da5-a104-d12808098d60.jpg.296x216.jpg
20190504,闵行,吴泾,永德小区一房一厅 中间楼层 业主诚心出售,140万,永德小区  | 1室1厅 | 40.87平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-dbdb9beb-568e-4e3d-b4e7-908989979443.jpg.296x216.jpg
20190504,闵行,吴泾,龙吴路5599弄大两房，精装修，带地暖，小区配套完善,240万,龙吴路5599弄  | 2室2厅 | 81.91平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-8eb5a2ba-15a4-4853-a283-b7648bc2afbc.jpg.296x216.jpg
20190504,闵行,吴泾,氯碱小区 小户型 低楼层 交通便利 看房方便,135万,氯碱小区  | 1室1厅 | 44.13平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-7453f3e8-7b37-404e-9ee5-11b4063114a8.png.296x216.jpg
20190504,闵行,吴泾,中间楼层好，户型双南，采光好，楼下公园，天然氧吧房主自荐,199万,氯碱小区  | 2室1厅 | 67平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-eaf031a7-6f32-4086-8b91-74369fc10910.jpg.296x216.jpg
20190504,闵行,吴泾,户型正气，南北通透，得房率高，大三房,392万,通海二小区  | 3室2厅 | 120.84平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-8e46240a-7bde-4c75-8ceb-9a1d49a0624d.jpg.296x216.jpg
20190504,闵行,吴泾,此房全南小户型，朝南阳光充足，生活设施交通方便房主自荐,260万,虹梅新苑  | 2室1厅 | 65.65平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-488513a4-c55a-43c9-b0ea-1c25b3f2e4e0.png.296x216.jpg
20190504,闵行,吴泾,房子已看好急售，2003年房龄，三面采光，满五唯一房主自荐,225万,龙吴路5599弄  | 2室1厅 | 69.17平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-0d0e822e-13f1-43db-952e-1d29f9af1478.png.296x216.jpg
20190504,闵行,吴泾,业主置换  诚意出售两房  好房子  等你来定,310万,通海二小区  | 2室2厅 | 92.71平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-be137772-5e3a-4251-a494-386a3e750a5d.png.296x216.jpg
20190504,闵行,吴泾,精装修 顶楼带阁楼  近虹梅高架、拎包即可入住！,335万,紫晶南园  | 2室2厅 | 91.65平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-e8f27c2d-d1ee-42c9-9182-c5562a6cafaf.jpg.296x216.jpg
20190504,闵行,吴泾,通海 二 小区 双天井 房东已有看中的房子 急售,330万,通海二小区  | 3室1厅 | 92.08平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-acf0abe6-363a-45f4-956d-79e2e265159c.png.296x216.jpg
20190504,闵行,吴泾,南北精装两房，电梯中间楼层，采光通风好，诚心出售,409万,嘉怡水岸(公寓)  | 2室2厅 | 93.12平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-5ca80e30-fcc5-48d7-8b96-db62ced6864e.jpg.296x216.jpg
20190504,闵行,吴泾,南北两房  精装修4楼 诚心出售价格可谈,173万,永德小区  | 2室0厅 | 52.91平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-5029dc3f-dbbc-43ba-b786-a1f64b8dca4f.jpg.296x216.jpg
20190504,闵行,吴泾,万科阳光苑 3房2厅1卫 带院子 品质小区 生活便利房主自荐,345万,万科阳光苑  | 3室2厅 | 89平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-d9b640fd-7b1c-49f9-87c4-d96fc43f742d.jpg.296x216.jpg
20190504,闵行,吴泾,通海2小区 正规三房 诚意出售价格可谈,365万,通海二小区  | 3室2厅 | 110.51平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-d70ccc03-63fb-48f5-870e-512fe1744f13.jpg.296x216.jpg
20190504,闵行,吴泾,枫桦景苑一期大三房出售，小区环境好，位置好。房主自荐,460万,枫桦景苑  | 3室2厅 | 118.53平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-af70d460-e3b8-486d-929e-c139459f37fc.jpg.296x216.jpg
20190504,闵行,吴泾,万科花园小城两房 房型正气 楼层好 位置佳 价格低,360万,万科阳光苑  | 2室2厅 | 79.44平米 | 暂无数据 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-20a03446-11f2-4fba-9043-68965e18cee0.png.296x216.jpg
20190504,闵行,吴泾,户型正气，采光通风好，房东诚意出售价格可谈。,300万,通海二小区  | 2室2厅 | 92.71平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-568ea6bb-916a-4990-aa23-8ca684667e7f.jpg.296x216.jpg
20190504,闵行,吴泾,永德小区精装双南两房  采光通风俱佳 诚售价格可谈！,190万,永德小区  | 2室1厅 | 58.87平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-99b94099-610b-4f3b-b70f-2abb32c710d4.png.296x216.jpg
20190504,闵行,吴泾,龙吴路5599弄，非顶楼，采光好，房型正,178万,龙吴路5599弄  | 1室1厅 | 60.63平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-666c290c-7503-4a0b-bcd4-83cc24514c16.jpg.296x216.jpg
20190504,闵行,吴泾,永德小区+南北两房+满五唯一税少+自住装修+看房方便,163万,永德小区  | 2室1厅 | 54.82平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-d3194e5b-98e1-453c-b113-e2d6b7f89d0c.jpg.296x216.jpg
20190504,闵行,吴泾,剑川路201弄.南北房型，满五唯一.光线充足，中等装修,315万,通海二小区  | 2室2厅 | 98.2平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-d1ac99db-af5c-4fae-868d-2edfd057f734.png.296x216.jpg
20190504,闵行,吴泾,新华小区2003年房龄，满五年，名下唯一，没个税,245万,龙吴路5599弄  | 2室1厅 | 70.69平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-cccccb90-1403-4698-9711-b37ed0c7f9ae.png.296x216.jpg
20190504,闵行,吴泾,紫竹半岛一期B区，中间楼层，沿河景观位置。诚心出售房主自荐,650万,紫竹半岛花园  | 3室2厅 | 104平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-e949fc1e-b640-4e17-991e-0c6f1a5a5609.jpg.296x216.jpg
20190504,闵行,吴泾,小户型，精装修，一楼带花园，拎包入住，配套齐全,125万,吴泾新村  | 1室1厅 | 33.48平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-2d3cdf88-cf5b-41f1-8929-51c318d33c5d.jpg.296x216.jpg
20190504,闵行,吴泾,通海二双南全明两房 采光通风俱佳 诚意出售价格可谈!,300万,通海二小区  | 2室2厅 | 92.08平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-393053a8-cd07-4bd2-8fe2-4479438fe6b5.jpg.296x216.jpg
20190504,闵行,吴泾,嘉怡水岸 边套全明户型 楼层好 诚心出售房主自荐,410万,嘉怡水岸(公寓)  | 2室2厅 | 93.58平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-b277133c-a429-4456-85fc-af5d57198b51.jpg.296x216.jpg
20190504,闵行,吴泾,房子是满五年，使用的面积大，小区位置好,180万,龙吴路5599弄  | 1室1厅 | 60.63平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-6cff6ad3-9aea-4422-85ad-4dace54fc7df.jpg.296x216.jpg
20190504,闵行,吴泾,氯碱小区 近步行街 闹中取静 看房随时 拎包入住,157万,氯碱小区  | 2室1厅 | 58平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-a211fd63-9fa5-4477-9794-cdcc7f427bd5.png.296x216.jpg
20190504,闵行,吴泾,氯碱小区 简装两室  有钥匙随时看房！房主自荐,168万,氯碱小区  | 2室1厅 | 57.21平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-8c5ee9a4-4175-4824-9ec7-f0b1580df657.png.296x216.jpg
20190504,闵行,吴泾,双柏小区  双南房  房型正气 采光充足!,160万,双柏小区  | 2室1厅 | 53.5平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-94c9852b-00c4-40dc-8daa-9c39b2e91f66.jpg.296x216.jpg
20190504,闵行,吴泾,万科阳光苑 自住一房装修好 南北户型 诚心出售,274万,万科阳光苑  | 1室2厅 | 65.3平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-82d3dd56-1260-4b99-a960-c8c7bb2e3317.jpg.296x216.jpg
20190504,闵行,吴泾,精装一房，小户型，装修两年，业主诚心出售,135万,通海路360弄  | 1室1厅 | 45.67平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-0773182a-cdf3-4b7e-8071-9dfa879d3946.jpg.296x216.jpg
20190504,闵行,吴泾,一楼带花园.南北两房.买进价高.位置好.业主诚心出售！,360万,万科阳光苑  | 2室2厅 | 88.29平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-5591e41a-8d72-40d3-a69a-0a9d662805c6.jpg.296x216.jpg
20190504,闵行,吴泾,满五唯一，房龄1994年，自住精装修，采光好，全明户型,152万,永德小区  | 2室0厅 | 46.61平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-bf44aca0-f281-4b48-8b56-f422560db114.jpg.296x216.jpg
20190504,闵行,吴泾,一楼带院子+自主装修+出行方便+满五唯一,350万,虹梅新苑  | 2室2厅 | 92.01平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-5487103d-4cce-4b91-978f-6e2f43c8a77a.png.296x216.jpg
20190504,闵行,吴泾,通海一 小 区两房，精装，诚心出售,225万,通海一小区  | 2室1厅 | 70.86平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-d0592b69-6830-4f47-b227-cef1069ef8fc.jpg.296x216.jpg
20190504,闵行,吴泾,嘉怡水岸套房结构，带车位和地暖，精装修花费25万！,400万,嘉怡水岸(公寓)  | 2室2厅 | 92.75平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-deaafb74-7482-4716-a4d7-15ae04c3f75f.png.296x216.jpg
20190504,闵行,吴泾,万科阳光苑 南北双阳台 户型好 采光好 楼层好位置佳,375万,万科阳光苑  | 2室2厅 | 92.28平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-5d9b9d16-1002-4c49-9555-cba182895e3a.jpg.296x216.jpg
20190504,闵行,吴泾,采光充足通风好 精装修 可直接拎包入住！,315万,嘉怡水岸(公寓)  | 1室2厅 | 76.67平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-b9f41e06-191f-42be-9b45-f53eb59f5d77.jpg.296x216.jpg
20190504,闵行,吴泾,永德小区 1室1厅 130万房主自荐,130万,永德小区  | 1室1厅 | 38平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-610e1521-25f7-4cfd-9c8f-abcc90d653c5.jpg.296x216.jpg
20190504,闵行,吴泾,万科一楼带花园　南北两房　满五唯一　位置好业主诚心,348万,万科阳光苑  | 2室2厅 | 93.33平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-b3131331-dbc7-4dd3-8962-427c7a03ae7f.jpg.296x216.jpg
20190504,闵行,吴泾,此房朝向双南，户型好，通透，采光好,202万,永德小区  | 2室1厅 | 57平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-dde340b1-6806-4662-b31b-8d823bc04fa6.png.296x216.jpg
20190504,闵行,吴泾,步梯房中间楼层，自住保养好，房东置换诚心卖,355万,虹梅新苑  | 2室2厅 | 94.63平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-87981b88-8568-41e0-819b-e79ff9759411.jpg.296x216.jpg
20190504,闵行,吴泾,业主自住精装，南北通透大两房，底楼带花园,350万,万科阳光苑  | 2室1厅 | 88.73平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-b1808a76-64ac-4f28-913f-2f33e3cf58ee.png.296x216.jpg
20190504,闵行,吴泾,氯碱小区 满五唯一 税少 电梯房 采光好,165万,氯碱小区  | 1室1厅 | 55.64平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-6e7c3548-aca0-495b-9a3a-4323bf68418e.jpg.296x216.jpg
20190504,闵行,吴泾,紫竹半岛花园 3室2厅 660万,660万,紫竹半岛花园  | 3室2厅 | 104.78平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-073965f8-e02c-4bac-b7d9-c49c0be767be.jpg.296x216.jpg
20190504,闵行,吴泾,氯碱小区两房一厅，南北户型，自住装修,200万,氯碱小区  | 2室1厅 | 68.59平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-bbd87b04-f829-4ff1-a976-f98f5fd75d3e.jpg.296x216.jpg
20190504,闵行,吴泾,此房满五年唯一，两房朝南采光好，视野宽阔，配套齐全,200万,氯碱小区  | 2室1厅 | 68.59平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-5c953e0e-4b4b-498a-bc6d-d6395ca3b1eb.jpg.296x216.jpg
20190504,闵行,吴泾,嘉怡水岸(公寓) 1室2厅 322万,322万,嘉怡水岸(公寓)  | 1室2厅 | 77平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-f387b39b-b57f-4548-b6ae-0212c1c8c2bb.jpg.296x216.jpg
20190504,闵行,吴泾,双柏小区  楼层好 一室一厅 业主诚心卖！,139万,双柏小区  | 1室1厅 | 42.42平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-378b9631-e5c1-40b1-8736-fe8263108c01.jpg.296x216.jpg
20190504,闵行,吴泾,永德小区出行方便，繁华地段，业主诚心出售,130万,永德小区  | 1室0厅 | 38.55平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-6e92a832-2301-45c8-bd02-8e9607ef1096.jpg.296x216.jpg
20190504,闵行,吴泾,龙吴路5599弄，精装两房朝南，房东很诚心，价格还可谈,238万,龙吴路5599弄  | 2室1厅 | 82平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-0d32a488-dfb6-4591-be6d-dca9b27e0f39.png.296x216.jpg
20190504,闵行,吴泾,嘉怡精装一楼带地下室，拎包即可入住，出行方便,405万,嘉怡水岸(公寓)  | 3室2厅 | 118.69平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/shfdfs-image/20171203/d348187b-4081-44b8-a121-652e6fa10698.jpg.296x216.jpg
20190504,闵行,吴泾,心若在，梦就在，心有所向，为爱起航，这里是你的港湾,235万,紫晶南园  | 1室2厅 | 63.09平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20171025/29f03e76-5545-450e-9d7f-82af2217fdfc.jpg.296x216.jpg
20190504,闵行,吴泾,嘉怡水岸带装修高层电梯两房，采光好，位置佳,390万,嘉怡水岸(公寓)  | 2室2厅 | 94.15平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/shfdfs-image/20170319/257bece7-c3b5-47c5-a0cf-336436a5152c.jpg.296x216.jpg
20190504,闵行,吴泾,枫桦景苑商品大两房，出门步行街业主诚心出售价格可谈,358万,枫桦景苑  | 2室1厅 | 102.4平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/cd57e602-03fd-4132-af9a-ec26222a2f31.JPG.296x216.jpg
20190504,闵行,吴泾,吴泾 平层大四房  实用面积大 通风好,605万,枫桦景苑  | 4室2厅 | 168.29平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/shfdfs-image/20170907/4d6fdbd2-181d-4a19-a187-49225c777992.jpg.296x216.jpg
20190504,闵行,吴泾,此房满五唯一，南北通，楼层高采光充足！顶楼还带阁楼,430万,紫晶南园  | 3室2厅 | 117平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20171015/3bb2d9c7-5736-4e19-a0ca-1599d1f6ce9a.jpg.296x216.jpg
20190504,闵行,吴泾,满五年唯一，带阁楼大露台，设施齐全，交通方便,390万,虹梅新苑  | 3室2厅 | 84.02平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20171118/b48dab4c-8364-4b9a-98e7-901e12b1d326.jpg.296x216.jpg
20190504,闵行,吴泾,精装四房 顶楼复式  6复7复8  使用面积很大  诚心出售,647万,锦川公寓  | 4室2厅 | 166.07平米 | 暂无数据 | 精装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20171126/c1f53bc5-e659-457b-a4c0-3c30a5b32470.jpg.296x216.jpg
20190504,闵行,吴泾,锦川公寓 2室2厅 325万,325万,锦川公寓  | 2室2厅 | 94.04平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20171202/0252ebf2-822e-48c4-a16c-9e543f0ff65b.jpg.296x216.jpg
20190504,闵行,吴泾,2013新房龄，南北户型，采光佳，满2年，,520万,嘉怡水岸(公寓)  | 2室2厅 | 141.09平米 | 南 | 毛坯 | 有电梯,https://image1.ljcdn.com/shfdfs-image/20170701/34bd51a4-7224-4ff2-bb87-5957aea9ab61.jpg.296x216.jpg
20190504,闵行,吴泾,南北户型.上面是两房.卧室朝南，光线充足，急卖,525万,嘉怡水岸(公寓)  | 3室2厅 | 146平米 | 南 | 毛坯 | 有电梯,https://image1.ljcdn.com/shfdfs-image/20180106/9bf6c0bc-ac59-4866-aa5a-335e9ce78699.jpg.296x216.jpg
20190504,闵行,吴泾,虹梅新苑满二房源，总价低，好看房。,298万,虹梅新苑  | 2室2厅 | 111.57平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/shfdfs-image/20171008/e20d0500-1f18-48f9-97b8-e2f4d9200c9a.jpg.296x216.jpg
20190504,闵行,吴泾,虹梅景苑精装两房、业主诚心出售、总价可谈、随时看房,340万,虹梅景苑二街坊  | 2室2厅 | 91.11平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20170716/94a9f935-9b26-4546-abaa-9a92a97c2909.jpg.296x216.jpg
20190504,闵行,吴泾,吴泾新村 精装大三房 房东近两年装修诚意出售新上,270万,吴泾新村  | 3室1厅 | 90.49平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20161004/2a6be682-cef8-4526-811a-a3a310f51882.jpg.296x216.jpg
20190504,闵行,吴泾,双南两房，毛坯，户型正气，采光通风好，诚心出售,210万,双柏小区  | 2室1厅 | 71.56平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20160609/02c852de-6d42-4868-b77c-164bc3b59368.jpg.296x216.jpg
20190504,闵行,吴泾,精装南北两房  顶楼带阁楼   采光好,330万,万科阳光苑  | 2室2厅 | 82.06平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/0803cd47-f61a-404c-b222-f1fdf14ce4b1.JPG.296x216.jpg
20190504,闵行,吴泾,万科阳一房两厅，拎包入住 交通方便 生活配套成熟,275万,万科阳光苑  | 1室2厅 | 65.15平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/cd319762-43ec-4d44-8a15-2446f1b3ba5e.JPG.296x216.jpg
20190504,闵行,吴泾,双柏小区 去年精装修  南北全明户型  诚心卖房主自荐,175万,双柏小区  | 2室1厅 | 56平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20171126/3c2f5f6a-ec88-4e60-8365-a8922aaf01af.jpg.296x216.jpg
20190504,闵行,吴泾,龙吴路5599弄 2室1厅 200万,200万,龙吴路5599弄  | 2室1厅 | 60.89平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20170319/4902752a-b855-475e-8d75-f86da16c4082.jpg.296x216.jpg
20190504,闵行,吴泾,紫竹半岛18楼顶楼复式 4楼带产权车库 带大露台,780万,紫竹半岛花园  | 4室3厅 | 86平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/6c71c836-9537-4ba2-b703-9bec70396b03.JPG.296x216.jpg
20190504,闵行,吴泾,微风自来 一楼花园  阳光下的小憩 人生如画房主自荐,340万,紫晶南园  | 2室2厅 | 95.28平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/3b1fa368-dc94-4f34-b4cb-399efc790730.JPG.296x216.jpg
20190504,闵行,吴泾,紫竹大平层，一楼带地下室，带南北双花园，带车位,1600万,紫竹半岛花园  | 6室5厅 | 357平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/3a90a034-a671-464e-ad27-58fd130ffe6e.JPG.296x216.jpg
20190504,闵行,吴泾,嘉怡水岸(公寓) 2室2厅 395万,395万,嘉怡水岸(公寓)  | 2室2厅 | 93.58平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/shfdfs-image/20170604/2fd4714f-58b3-492d-8f69-a19555ab75cd.jpg.296x216.jpg
20190504,闵行,吴泾,双柏小区双南户型，看房随时，业主诚心出售,165万,双柏小区  | 2室1厅 | 48.66平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20170827/7e5c8f37-dc89-48df-93ab-6c23c8bd5995.jpg.296x216.jpg
