20190504,普陀,真光,阳光威尼斯(二期) 1室2厅 375万新上,375万,阳光威尼斯(二期)  | 1室2厅 | 76.52平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-f6a9f704-7e5f-46ed-9b5c-78f5badd1049.jpg.296x216.jpg
20190504,普陀,真光,大四房 仅此一套 采光无遮挡 诚意出售,935万,阳光威尼斯(四期)(公寓)  | 4室2厅 | 176.63平米 | 南 西 北 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-a7743f68-e787-4ee3-9f47-420f851756d8.jpg.296x216.jpg
20190504,普陀,真光,低楼层 房型正气 房东诚意出售 全明户型,210万,香樟苑(普陀)  | 1室1厅 | 44.35平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-a5425e31-cb35-4a04-a88f-81145cfb8450.jpg.296x216.jpg
20190504,普陀,真光,清涧七街坊 1室2厅 258万,258万,清涧七街坊  | 1室2厅 | 59.02平米 | 东南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-57c659fd-9636-450e-a6dd-94a270682026.jpg.296x216.jpg
20190504,普陀,真光,一梯两户 婚房装修 满五唯一 户型正气 采光好房主自荐,222万,真光新村第二小区  | 1室1厅 | 47.94平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-67baa803-61b7-45c8-9d3c-9b9e8120f35c.jpg.296x216.jpg
20190504,普陀,真光,清涧二街坊 1室1厅 200万,200万,清涧二街坊  | 1室1厅 | 45.55平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-e4663d1c-5ed4-4db8-a079-ef97543023aa.png.296x216.jpg
20190504,普陀,真光,清涧六街坊 2室1厅 280万,280万,清涧六街坊  | 2室1厅 | 61.53平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-38483fd4-f2f7-41ab-ba74-23e8bd209964.jpg.296x216.jpg
20190504,普陀,真光,真光五街坊一房改2房， 精装修 诚意出售,235万,真光新村第五小区  | 2室1厅 | 51.19平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-1a81d9ad-ca6d-4abd-9642-2ab7b7516d67.png.296x216.jpg
20190504,普陀,真光,清涧三街坊 2室1厅 260万,260万,清涧三街坊  | 2室1厅 | 55.7平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-dbdbb22c-3a5f-4281-abbb-d621d5e2dcbe.jpg.296x216.jpg
20190504,普陀,真光,清涧七街坊 3室1厅 386万,386万,清涧七街坊  | 3室1厅 | 76.54平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-f3ec303b-3097-4658-82f6-97f3d9ea4ef2.jpg.296x216.jpg
20190504,普陀,真光,香樟苑(普陀) 1室1厅 215万,215万,香樟苑(普陀)  | 1室1厅 | 52.72平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-9c9257e3-34f9-4afc-a02a-c3808a5e16c2.jpg.296x216.jpg
20190504,普陀,真光,真光二  一楼带天井  总价低  随时看房,180万,真光新村第二小区  | 1室0厅 | 35.51平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-c21cf4f1-57da-42df-9d52-ea3e90212cd1.jpg.296x216.jpg
20190504,普陀,真光,精装修，看房提前预约，拎包入住。,450万,阳光威尼斯AB区  | 2室1厅 | 92.04平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-023867ba-8c95-447e-88f1-8152ebe0a607.jpg.296x216.jpg
20190504,普陀,真光,低总价一房 一梯四户  商圈成熟 到价签字,230万,真光新村第二小区  | 1室1厅 | 56.47平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-0c2b9023-e531-4bb0-ac8d-c23719f6ba17.jpg.296x216.jpg
20190504,普陀,真光,真光新上大两房 一梯两户 全明  新装修 随时可看,470万,真光新村第二小区  | 2室2厅 | 92.88平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-04a127cf-99a8-4465-961c-dc5a3d1ff0a1.jpg.296x216.jpg
20190504,普陀,真光,急售 真光七  经典一室户 随时看房有钥匙 2楼位置好,167万,真光七街坊  | 1室1厅 | 36.28平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-463d9980-a55e-413d-9820-eec053446920.png.296x216.jpg
20190504,普陀,真光,真情公寓 四期三房 精装修 房子正气 业主诚心出售,850万,真情公寓  | 3室2厅 | 146.45平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-97b2ea5e-7681-45b9-8b18-f50512bea00a.jpg.296x216.jpg
20190504,普陀,真光,双南两房，一梯两户，视野开阔，无遮挡,310万,清涧六街坊  | 2室1厅 | 69.14平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-ba31bf89-db71-489b-9599-fefd1449ea1a.png.296x216.jpg
20190504,普陀,真光,利群医院旁 楼层佳，小户型 总价低。,230万,清涧七街坊  | 1室1厅 | 47.48平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-71205a83-984c-4e90-b213-a2e14c622c9d.jpg.296x216.jpg
20190504,普陀,真光,阳光威尼斯(三期) 1室2厅 345万,345万,阳光威尼斯(三期)  | 1室2厅 | 77.95平米 | 东南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-47431c8e-22d8-41fb-8a94-56153c2a8b19.jpg.296x216.jpg
20190504,普陀,真光,中环边 低总价一房 一梯两户 位置好 随时可看房主自荐,190万,真光九街坊  | 1室1厅 | 41.2平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-13743e26-bd4a-4d25-bf15-947fdfe01c85.jpg.296x216.jpg
20190504,普陀,真光,清涧六街坊 2室2厅 320万,320万,清涧六街坊  | 2室2厅 | 74.76平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-9d6b503d-34c0-4102-84a9-71786e9bb268.jpg.296x216.jpg
20190504,普陀,真光,满五唯一 一楼双南两房 双天井 交通便利,330万,真光新秀  | 2室1厅 | 63.82平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-a26b4292-dfe4-4422-9ac5-4297df3891dd.jpg.296x216.jpg
20190504,普陀,真光,精装南北两房 1T2户 中间楼层 商品板楼 诚意出售,620万,真情公寓  | 2室2厅 | 97.72平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-f9abf26f-633b-47cb-8317-91cc94fc31d7.jpg.296x216.jpg
20190504,普陀,真光,阳光威尼斯(四期)(公寓) 2室2厅 480万,480万,阳光威尼斯(四期)(公寓)  | 2室2厅 | 94.99平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-fc0ddfe3-affe-4a03-bf94-cc29ec2a3c9f.png.296x216.jpg
20190504,普陀,真光,中区南北大三房  婚房装修  采光好  楼栋位置好,660万,阳光威尼斯(四期)(公寓)  | 3室2厅 | 127.34平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-ad8bafcd-910e-41e4-8608-41d630e5256c.jpg.296x216.jpg
20190504,普陀,真光,正规房型  中间位置 中上楼层 采光好 户型正 随时看房,230万,真光九街坊  | 2室1厅 | 49.5平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-80a0c454-7367-452c-a7ce-af52b04437fa.jpg.296x216.jpg
20190504,普陀,真光,清涧三街坊 1室1厅 235万,235万,清涧三街坊  | 1室1厅 | 55.7平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-ad86270f-db6b-4180-925b-284ad77d8a6c.jpg.296x216.jpg
20190504,普陀,真光,阳光威尼斯三期 二房 中层甄选 人气聚焦 下手慢无,410万,阳光威尼斯(三期)  | 2室2厅 | 90.49平米 | 东 西 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-260760bc-a7fe-4b6f-8800-4867921fc0d7.jpg.296x216.jpg
20190504,普陀,真光,户型正气，楼层采光好，小区环境优美，业主诚意出售,300万,清涧二街坊  | 2室1厅 | 62.02平米 | 西 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-aaa1b738-07f8-4ebb-a43a-7a787c26c62b.jpg.296x216.jpg
20190504,普陀,真光,诚意出售的，装修三房一厅。满五年 的普通住宅,365万,清涧七街坊  | 3室1厅 | 76.56平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-119ad972-f9be-4843-9b2f-c5fb251ce4ef.png.296x216.jpg
20190504,普陀,真光,中鼎豪园 4室2厅 810万,810万,中鼎豪园  | 4室2厅 | 147.88平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-eaeb90a4-b839-42f9-af3f-921ffe5d6640.png.296x216.jpg
20190504,普陀,真光,清涧四街坊 2室1厅 355万,355万,清涧四街坊  | 2室1厅 | 70.85平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-c2fce2c2-e4ef-4dfd-9326-c57e7b32c35d.jpg.296x216.jpg
20190504,普陀,真光,温馨小两居，双南户型，中层，交通便利，视野开阔！,280万,清涧八街坊  | 2室1厅 | 62.74平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-44d388ec-3ef9-4acc-a746-5085d2a0aa01.png.296x216.jpg
20190504,普陀,真光,中间楼层、满五年唯一、采光充足、位置.好,278万,清涧六街坊  | 2室1厅 | 59.11平米 | 东南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-4939d1d6-deb6-4407-91f2-0d89c057db03.jpg.296x216.jpg
20190504,普陀,真光,中鼎豪园 3室2厅 768万,768万,中鼎豪园  | 3室2厅 | 134.07平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-b616048e-b6cc-419a-aea4-183379862e43.jpg.296x216.jpg
20190504,普陀,真光,中鼎豪园 2室2厅 540万,540万,中鼎豪园  | 2室2厅 | 99.61平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-02809001-a24a-46b8-96b2-991bf4f60b00.jpg.296x216.jpg
20190504,普陀,真光,全明户型，精装修拎包入住，小区花园位置，采光无遮挡房主自荐,415万,昆仑花苑  | 3室1厅 | 86.86平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-8ccda7da-535d-4199-a5d6-a07a330357a7.png.296x216.jpg
20190504,普陀,真光,房型正气+满五唯一+无个税+产权清晰+到价签字+随时看,800万,真情公寓  | 3室2厅 | 124.31平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-d74299a7-1ed0-4cb6-935f-072198784863.jpg.296x216.jpg
20190504,普陀,真光,八街坊商品房在售，一楼带花园，南北通户型，诚意急售,460万,真光八街坊  | 2室2厅 | 92.24平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-7bf6f3f9-c249-4df2-86ee-ef923aaf4c2e.jpg.296x216.jpg
20190504,普陀,真光,南北通房间-经典高区南北通两房小户型，数量不多诚售房主自荐,370万,阳光威尼斯C区  | 2室1厅 | 77.62平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-89271b55-e65e-4bf6-8419-f1f8bbcfabd7.png.296x216.jpg
20190504,普陀,真光,装修80万 奢华装修 一梯两户 诚意出售,760万,阳光威尼斯(四期)(公寓)  | 3室2厅 | 135.96平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-522719f5-fa75-4f7c-9522-8a11a4fdb7fe.jpg.296x216.jpg
20190504,普陀,真光,真光八街坊 2室1厅 308万,308万,真光八街坊  | 2室1厅 | 65.72平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-43a95c6f-8304-434d-ae96-00a2190311cb.jpg.296x216.jpg
20190504,普陀,真光,阳光威尼斯  刚需小户型  视野开阔采光好,310万,阳光威尼斯(三期)  | 1室1厅 | 62平米 | 东南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-43797dfc-2754-4deb-8e6e-d1a605d561b8.jpg.296x216.jpg
20190504,普陀,真光,高档花园小区  南北通户型  高楼层电梯房采光视野良好,630万,中鼎豪园  | 2室2厅 | 107.92平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-09c38a69-5047-4d12-a15c-33d2b9898ab2.png.296x216.jpg
20190504,普陀,真光,清涧二街坊 精装双南两房  楼层好 位置佳 拎包入住,310万,清涧二街坊  | 2室1厅 | 62.02平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-17c32b22-bd63-4134-a4e4-a32e14229f28.jpg.296x216.jpg
20190504,普陀,真光,真光八南北通大二房，1梯2户，满五唯一，位置好采光好,470万,真光八街坊  | 2室2厅 | 92.24平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-f7ad850f-9792-4a75-8d7b-da99d2cb4774.jpg.296x216.jpg
20190504,普陀,真光,此房满五唯一， 一梯二户，位置好，适合居住,243万,真光新村第五小区  | 1室1厅 | 47.29平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-d38da2dd-1649-4c22-ae46-930b34b14601.jpg.296x216.jpg
20190504,普陀,真光,真光八街坊 双南两房 房型正气 采光好 诚意出售,328万,真光八街坊  | 2室1厅 | 62.75平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-38daa8d3-3ff1-43a3-ab67-b717bb953153.jpg.296x216.jpg
20190504,普陀,真光,阳光威尼斯三期房源 全明格局 随时可以看房,425万,阳光威尼斯(三期)  | 2室2厅 | 94.63平米 | 东南 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-0f8bea4d-c09a-47b9-851e-054616807265.jpg.296x216.jpg
20190504,普陀,真光,近中环 小两房 一梯两户 视野开阔 配套齐全,255万,真光七街坊  | 2室1厅 | 57.2平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-44781fbb-7ce5-4a85-bf8e-3e6b0cdd88b5.jpg.296x216.jpg
20190504,普陀,真光,一期笋盘+南北通+《刚需客户》+地下租赁固定车位,465万,阳光威尼斯AB区  | 2室2厅 | 101.89平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-76e2ba05-cc3e-4287-a240-46d6c46cf9fb.jpg.296x216.jpg
20190504,普陀,真光,真光九街坊+总价低+近中环+小一房+视野开阔+商圈繁华,163万,真光九街坊  | 1室0厅 | 37.39平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-134fc6be-ebc3-48b3-aac3-0e85f5d4cb6a.jpg.296x216.jpg
20190504,普陀,真光,双南两房、着急出售、满五唯一、交通方便、看房方便,235万,清涧七街坊  | 2室1厅 | 54.63平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-2fe0b2a4-7f14-48cb-8b21-b85f812837cf.png.296x216.jpg
20190504,普陀,真光,清涧四街坊 2室1厅 375万,375万,清涧四街坊  | 2室1厅 | 72.23平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-07b794bd-5dce-4c69-b51a-7585bc26cfc0.png.296x216.jpg
20190504,普陀,真光,清涧三街坊 2室1厅 385万,385万,清涧三街坊  | 2室1厅 | 79.12平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-c01edf7a-6e3c-4462-9f56-fe85e400dbf1.jpg.296x216.jpg
20190504,普陀,真光,两房两卫 两房朝南 客厅餐厅南北通 通风和采光良好,630万,中鼎豪园  | 2室2厅 | 120平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-a7f5599b-780b-497a-b5e7-8f2a596709de.jpg.296x216.jpg
20190504,普陀,真光,清涧四街坊 3室2厅 490万,490万,清涧四街坊  | 3室2厅 | 125.52平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-235d8043-2c92-4e6d-b3b9-16e1a55d5f2e.jpg.296x216.jpg
20190504,普陀,真光,清涧六街坊 一梯两户 双南户型 楼层采光好 绝世好房,300万,清涧六街坊  | 2室1厅 | 64.78平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-29792ad6-ce11-47c6-a37a-f9e04dbf7674.png.296x216.jpg
20190504,普陀,真光,昆仑花苑 2室2厅 435万,435万,昆仑花苑  | 2室2厅 | 95.51平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-a7b39be9-ec77-490e-876b-de1d4b5203dc.jpg.296x216.jpg
20190504,普陀,真光,真光新村+近中环+双南两房+全明户型+配套齐全,320万,真光新村  | 2室1厅 | 71.71平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-6b68f1f5-bcc5-437f-a099-7b2104ab49af.jpg.296x216.jpg
20190504,普陀,真光,大阳台 高区景观双南户型   税少   业主置换急售！,419万,阳光威尼斯(三期)  | 2室2厅 | 84.73平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-05ee5f0a-6488-4083-9c34-bce1d39a9f90.png.296x216.jpg
20190504,普陀,真光,满五唯一+电梯房+采光好+全明户型+厅有窗+交通便利,540万,真情公寓  | 3室2厅 | 120.73平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-89d591e7-e571-4cf6-932c-9f5084d2a138.png.296x216.jpg
20190504,普陀,真光,婚房装修，采光好，满五唯一，看房方便，价格可谈房主自荐,195万,真光九街坊  | 1室1厅 | 36.49平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-3f25320f-d1d7-4570-aaa8-ccac1befe020.jpg.296x216.jpg
20190504,普陀,真光,小区位置好 景观南北通三房 精装修 拎包入住 诚心出售,580万,阳光威尼斯(三期)  | 3室2厅 | 116.15平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-e448ffe1-ad6d-4d93-a730-5a50acca2186.png.296x216.jpg
20190504,普陀,真光,中鼎豪园 2室2厅 560万,560万,中鼎豪园  | 2室2厅 | 98.74平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-959134a9-1c98-4560-bdc5-0778bf96c8e6.jpg.296x216.jpg
20190504,普陀,真光,阳光威尼斯(三期) 2室2厅 430万,430万,阳光威尼斯(三期)  | 2室2厅 | 102.52平米 | 南 北 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-3747aaa6-8860-4084-a95b-bd875cc7ad79.jpg.296x216.jpg
20190504,普陀,真光,诚意出售的，装修两房一厅。满五年唯一 的普通住宅,328万,清涧七街坊  | 2室1厅 | 68平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-56f2586a-a3b4-4fdf-ade5-71fd0ab7f8b8.png.296x216.jpg
20190504,普陀,真光,急售 两房25万精装修 边套360度佺明 整屋空调地暖,228万,真光七街坊  | 2室1厅 | 48.56平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-ad6136d2-851c-4f5e-8c7d-73fd6b9e0e37.jpg.296x216.jpg
20190504,普陀,真光,总价低 户型正 一梯两户 商圈繁华,255万,真光七街坊  | 2室1厅 | 55.26平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-b9593459-e812-42d1-a656-1f230b69ce11.jpg.296x216.jpg
20190504,普陀,真光,清涧八街坊 2室1厅 290万,290万,清涧八街坊  | 2室1厅 | 57.79平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-4a6230cd-3b9a-45b6-bf26-7ce702b1a787.jpg.296x216.jpg
20190504,普陀,真光,此房满五年唯一 个税免征 一梯两户 全明户型 采光好！房主自荐,207万,昆仑花苑  | 1室1厅 | 50.35平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-55534ab5-e25b-425e-acf1-23395eccf2e9.png.296x216.jpg
20190504,普陀,真光,近中环 小一房 视野开阔 配套齐全,159万,真光九街坊  | 1室0厅 | 36.36平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-3628858a-356d-43f1-8883-dc6a2ac02c4b.jpg.296x216.jpg
20190504,普陀,真光,满五年唯一，精装修南北3房，看房方便 中间楼层,565万,阳光威尼斯AB区  | 3室2厅 | 116.7平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-27497a0f-3bbe-4ce7-8365-cc2a800e4ee2.jpg.296x216.jpg
20190504,普陀,真光,阳光威尼斯三期 双南2房 采光好  满五税少,422万,阳光威尼斯(三期)  | 2室2厅 | 86.2平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-387f5b20-dcbc-4346-ba8f-f314573a183b.jpg.296x216.jpg
20190504,普陀,真光,中环旁 满五年不唯一 一室户 交通便利 总价低,190万,真光九街坊  | 1室1厅 | 37.73平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-d90f0b6a-e8ea-45ad-9bb4-ed1755650fcd.jpg.296x216.jpg
20190504,普陀,真光,清涧八街坊 2室1厅 320万,320万,清涧八街坊  | 2室1厅 | 62.74平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-c3ef50d7-bd20-4488-b28a-ff481ad4c1c4.png.296x216.jpg
20190504,普陀,真光,真光二街坊+一梯二户+楼层佳+商圈繁华+业主置换,250万,真光新村第二小区  | 1室1厅 | 48.53平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-ebd2e5e7-8890-499a-bd7e-6969199d9feb.png.296x216.jpg
20190504,普陀,真光,精装一房，采光好，满五唯一，价格可谈，看房方便房主自荐,165万,真光九街坊  | 1室1厅 | 36.62平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-c8316a07-00af-4bd1-aaca-74ec1332788f.png.296x216.jpg
20190504,普陀,真光,双南户型  无增值税  精装修  拎包入住,280万,清涧二街坊  | 2室1厅 | 62.69平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-c28322b9-da2c-4874-92fd-b0aa16a4e342.jpg.296x216.jpg
20190504,普陀,真光,满五唯一 采光充足 交通配套齐全 两房朝南 适合居家客,320万,昆仑花苑  | 2室1厅 | 73.08平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-1a372f55-0290-49c2-b95a-93aadab0b4e5.png.296x216.jpg
20190504,普陀,真光,真光新秀+双南两房+1梯2户+房型正气+诚心出售,325万,真光新秀  | 2室1厅 | 65.73平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-f69f27c5-6f26-4377-ae63-6509ccfaa486.jpg.296x216.jpg
20190504,普陀,真光,真光七 好房源 一梯两户 居家装修 价格可谈 诚意出售,182万,真光七街坊  | 1室1厅 | 42.68平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-d3dca7b5-5849-470b-899f-730919a449a8.png.296x216.jpg
20190504,普陀,真光,此房全明户型，1T2户，诚心出售，价格优质，交通便利,205万,香樟苑(普陀)  | 1室1厅 | 49.88平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-6fdc4e8b-bacd-47d7-bcb4-b7d412118fe0.jpg.296x216.jpg
20190504,普陀,真光,清涧二街坊 2室1厅 255万,255万,清涧二街坊  | 2室1厅 | 54.87平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-70d75560-f3c1-4d43-b496-6b99597ac517.jpg.296x216.jpg
20190504,普陀,真光,全明户型+一梯两户+诚意出售+厅有窗+精装修+出行方便,218万,香樟苑(普陀)  | 1室1厅 | 47.35平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-5543ce96-953c-49dd-b184-e6901f8f1d07.jpg.296x216.jpg
20190504,普陀,真光,清涧四街坊 2室1厅 320万,320万,清涧四街坊  | 2室1厅 | 69.23平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-b8b5efa7-7307-4011-bfcf-3dcf05579411.jpg.296x216.jpg
20190504,普陀,真光,真光 全明户型 两房朝南 厅带窗户 满五唯一 一梯两户,339万,真光新村  | 3室1厅 | 76.44平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-210f03ce-b1ff-4e34-ae47-007c603811d0.jpg.296x216.jpg
20190504,普陀,真光,一楼带天井+一梯两户+房型正气+满五唯一+双轨交通,230万,香樟苑(普陀)  | 1室1厅 | 47.5平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-a359f28f-3500-416f-b7cb-40200a9d9247.jpg.296x216.jpg
20190504,普陀,真光,清涧七街坊 2室1厅 305万,305万,清涧七街坊  | 2室1厅 | 65.64平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-97cbce0f-0e4f-4f5d-b3d0-887ac2e34a4a.jpg.296x216.jpg
20190504,普陀,真光,满五唯一 税少 楼层好 采光佳 房东诚意出售,420万,阳光威尼斯(三期)  | 2室2厅 | 90.49平米 | 东 西 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-40b3130b-6c65-4511-9c3e-cc008da33b70.jpg.296x216.jpg
20190504,普陀,真光,双南两房，1梯2户，光线充足，房型正气，诚意出售,308万,真光八街坊  | 2室1厅 | 65.75平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-a0fdc2ba-b149-40d5-a5cb-bebc29352895.jpg.296x216.jpg
20190504,普陀,真光,力荐讨喜，诚售好房！高层特赞视野采光，婚房装修！,355万,阳光威尼斯(三期)  | 1室2厅 | 75.54平米 | 西南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-73c23ec9-e848-4329-bd67-c31d1d83c608.png.296x216.jpg
20190504,普陀,真光,动迁房，电梯房，高楼层，看房方便，价格可谈,380万,长征家苑  | 1室1厅 | 63.66平米 | 南 | 精装,https://image1.ljcdn.com/310000-inspection/test-f1815887-5ae5-41d0-9533-d42ab49cbf68.png.296x216.jpg
20190504,普陀,真光,清涧七街坊 2室1厅 260万,260万,清涧七街坊  | 2室1厅 | 54.22平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-1f9b27bc-a7c8-4346-97a6-a93413ff52c5.jpg.296x216.jpg
20190504,普陀,真光,清涧八街坊 1室0厅 173万,173万,清涧八街坊  | 1室0厅 | 39.66平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-911e3a94-aeae-4613-b9c3-3a8cde0ce29e.jpg.296x216.jpg
20190504,普陀,真光,婚房装修 一梯两户 房东诚意卖 环境优美,848万,阳光威尼斯(四期)(公寓)  | 3室2厅 | 145.17平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-0aa0962c-1859-4f96-9782-ad956c5f08f9.jpg.296x216.jpg
20190504,普陀,真光,南北通全明户型，1梯2户，位置好，位置好，诚意急售,230万,真光八街坊  | 1室1厅 | 49.54平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-1ec65f01-bfcb-49fa-a784-e182a101fb99.png.296x216.jpg
