20190504,浦东,陆家嘴,电梯房高区全南全明户型，一手售后公房，满五年唯一,568万,东园一村  | 2室1厅 | 69平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-aa0019ca-33fc-4826-b4ac-be096a43474c.jpg.296x216.jpg
20190504,浦东,陆家嘴,正南采光无遮挡户型，正望南浦大桥，看江户型，诚售,900万,世茂滨江花园  | 1室2厅 | 88.44平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-fca9dca6-72c9-4fc6-b3e2-3e061f1648e6.jpg.296x216.jpg
20190504,浦东,陆家嘴,江临天下1房带花园，产权清晰，诚意出售,750万,江临天下  | 1室2厅 | 75平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-2f65e039-5f96-4008-83aa-54d0050213f2.png.296x216.jpg
20190504,浦东,陆家嘴,新上架南北两房+精装修+业主诚意出售+内环地段,359万,东园二村  | 2室1厅 | 52.05平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-b20306dc-65c5-4404-b5e8-9246812d7af8.jpg.296x216.jpg
20190504,浦东,陆家嘴,陆家嘴南北通大四房，诚意售，精装修带地暖，地下车位,1340万,天科苑  | 4室2厅 | 181.11平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-88ace2b6-c276-46fe-85ae-75cac8e57d8b.png.296x216.jpg
20190504,浦东,陆家嘴,菊园全明两房，主卧客厅朝南，次卧朝东，厨房也大,820万,菊园  | 2室2厅 | 91.5平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-f0a14b01-ba0c-4e2b-9b35-3cd9a11f4101.jpg.296x216.jpg
20190504,浦东,陆家嘴,此房满五唯一，无个税，单价低！,378万,东园一村  | 2室1厅 | 50.44平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-e873acee-e993-4729-929a-9a251d3a608b.png.296x216.jpg
20190504,浦东,陆家嘴,16楼全江景，外籍业主买进后从未住过，次新房，有钥匙,2850万,滨江凯旋门  | 2室2厅 | 182.18平米 | 西南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-5929d4c6-e7c7-41f0-b78e-39ea62281796.png.296x216.jpg
20190504,浦东,陆家嘴,世茂南区新出景观两房 业主诚意 满五唯一税少价格好谈,1450万,世茂滨江花园  | 2室2厅 | 147.56平米 | 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-92fb266f-8e29-4f96-a017-5931d780a6e7.jpg.296x216.jpg
20190504,浦东,陆家嘴,70年住宅产权！06年次新房！酒店式管理，复式,470万,久阳滨江公寓  | 1室1厅 | 70.32平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-d8986b16-5858-4ac5-b356-a22919205a71.jpg.296x216.jpg
20190504,浦东,陆家嘴,房子才装修两年，自住保养好，高得房率,420万,谢家宅小区  | 2室1厅 | 55.55平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-53c3a2db-2895-4a81-adad-c71bc15bb0d4.jpg.296x216.jpg
20190504,浦东,陆家嘴,陆家嘴地铁两房+中间楼层+看房方便,280万,东南新村(浦东)  | 2室1厅 | 40.16平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-d9311883-aee6-49c5-ba5c-ce18d6cab6c7.jpg.296x216.jpg
20190504,浦东,陆家嘴,小区中间位置，高区超南，采光好，业主诚意出售,1300万,世茂滨江花园  | 2室2厅 | 147.45平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-1fbc357b-4f03-4732-8529-82280ea1bc52.png.296x216.jpg
20190504,浦东,陆家嘴,陆家嘴地段，南北通，高区景观房，电梯房近地铁，精装,1000万,东园四村  | 4室2厅 | 165.84平米 | 东南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-910587bd-464c-48e5-b046-230073d397f7.jpg.296x216.jpg
20190504,浦东,陆家嘴,住宅产权，诚意出售，视野开阔，朝南，全明户型,898万,汤臣商务中心  | 3室2厅 | 169.19平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-86b8bac2-7064-4834-971f-5b36daf3c9e6.png.296x216.jpg
20190504,浦东,陆家嘴,台湾业主诚意出售，重新装修，偶尔自住，看中随时签字,1900万,滨江凯旋门  | 2室2厅 | 135.43平米 | 东南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-40618255-69eb-4118-be13-ce2ccc9b96e5.png.296x216.jpg
20190504,浦东,陆家嘴,南北2房；业主自住；诚意出售；中间楼层满五年税少,298万,崂山五村  | 2室1厅 | 50.2平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-0bfef30b-9b8e-47c2-b136-ed0ec328ff3a.jpg.296x216.jpg
20190504,浦东,陆家嘴,崂山新村 1室1厅 260万,260万,崂山新村  | 1室1厅 | 37.48平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-e4bd7d24-852e-4aff-bbbe-8ed4c04a0028.jpg.296x216.jpg
20190504,浦东,陆家嘴,看全江景+看小区绿化+位置安静+诚意出售+看房方便,2098万,仁恒滨江园  | 4室2厅 | 185.27平米 | 西 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-34066abb-6144-4ba2-901e-1fed47ded04c.png.296x216.jpg
20190504,浦东,陆家嘴,此房满五年唯一，南北格局，视野宽阔，采光充足。,950万,浦江茗园  | 2室2厅 | 110.48平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-f091fdba-6998-423c-8970-735ea13d4e1d.png.296x216.jpg
20190504,浦东,陆家嘴,看江景2房，朝南采光好，楼层好，总价低税费少，诚心,1360万,盛大金磐  | 2室2厅 | 121.55平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-86b0aa4b-3808-4672-971a-c5bbffce1d5e.jpg.296x216.jpg
20190504,浦东,陆家嘴,高区50楼景观无遮挡 房型正气 满五年税少 诚意出售,2150万,世茂滨江花园  | 3室2厅 | 232.56平米 | 西 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-3c85c9e4-3fe8-422b-b739-864779ed82e8.jpg.296x216.jpg
20190504,浦东,陆家嘴,陆家嘴滨江小两房，配套完善生活便利，业主诚意出售,550万,陈家宅小区(潍坊西路)  | 2室1厅 | 71.11平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-90e529cd-d4b5-409a-aac8-df1f969aba9b.jpg.296x216.jpg
20190504,浦东,陆家嘴,买陆家嘴精装住宅，看房随时方便，业主新装修,290万,汤臣商务中心  | 1室0厅 | 47.08平米 | 西 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-f47c4a33-c9bb-4998-b053-886bad3497ed.jpg.296x216.jpg
20190504,浦东,陆家嘴,陆家嘴版块普通住宅,精装修,业主诚售!,340万,陈家宅小区(潍坊西路)  | 1室1厅 | 47.82平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-3a80a3b8-3209-4e58-901a-9cf345d3f8d0.jpg.296x216.jpg
20190504,浦东,陆家嘴,天后宫大楼 2室1厅 480万,480万,天后宫大楼  | 2室1厅 | 72.39平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-1ca38f6b-7964-4419-a1e6-1cff551cb057.jpg.296x216.jpg
20190504,浦东,陆家嘴,业主新挂牌 双南两房 带厅 小区中间位置 看房随时,420万,东南新村(浦东)  | 2室1厅 | 61.84平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-37eb2ef6-e1b1-4ff6-8091-c7214651ca7a.jpg.296x216.jpg
20190504,浦东,陆家嘴,陆家嘴两房，买入满五年税少，拎包即入住，置换急卖,530万,陈家宅小区(潍坊西路)  | 2室1厅 | 73.43平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-33d621de-7208-441a-bc74-577188e41f2d.png.296x216.jpg
20190504,浦东,陆家嘴,崂山五村 2室1厅 320万,320万,崂山五村  | 2室1厅 | 49.84平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-215986aa-a11e-4184-9b5a-d4da9f414f4e.jpg.296x216.jpg
20190504,浦东,陆家嘴,陆家嘴板块！世纪大道地铁！双南！中间楼层！精装修,310万,崂山四村  | 2室0厅 | 48.16平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-35353f38-3c8a-45d1-b100-10464b158330.jpg.296x216.jpg
20190504,浦东,陆家嘴,紫光大厦 3室2厅 900万,900万,紫光大厦  | 3室2厅 | 157.16平米 | 西北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-625f867a-739d-4551-943c-c02bad9bf896.png.296x216.jpg
20190504,浦东,陆家嘴,陆家嘴板式大2房，全新未住人，2梯2户，高区采光棒！,1100万,滨江兰庭  | 2室2厅 | 138.91平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-88db9017-609d-473d-9872-17590e90bf5d.png.296x216.jpg
20190504,浦东,陆家嘴,大面积朝南2房，中间位置，采光好，诚意卖，提前约看,450万,东昌新村  | 2室1厅 | 60.34平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-ad8e97b6-7a88-4fb8-bf61-785eac456651.png.296x216.jpg
20190504,浦东,陆家嘴,东园一村 2室1厅 498万,498万,东园一村  | 2室1厅 | 56.67平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-c9fef6b9-227a-4e17-8a73-4a00121c0ae6.jpg.296x216.jpg
20190504,浦东,陆家嘴,陆家嘴新装修+房型好+看房方便,350万,浦城小区  | 2室1厅 | 49.47平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-958f20b5-cfa4-4bc8-b51e-91506eba3ef2.png.296x216.jpg
20190504,浦东,陆家嘴,好地段 好价格 诚售 陆家嘴地段,305万,东明新村  | 2室1厅 | 50.35平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-94c857f9-3c76-403c-b444-bff6c5f92f7d.png.296x216.jpg
20190504,浦东,陆家嘴,仁恒三期高区江景四房+诚意出售+满五唯一价格含车位,2270万,仁恒滨江园  | 4室2厅 | 227.32平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-2ff80d22-8cff-482f-8a5a-402bdfb5bf50.jpg.296x216.jpg
20190504,浦东,陆家嘴,满5年唯一，随时看房，业主诚意出售,223万,东南新村(浦东)  | 1室1厅 | 28.69平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-d0a5aaec-3c3d-404c-9485-31976a08e355.jpg.296x216.jpg
20190504,浦东,陆家嘴,满5年唯一，双南带厅，业主置换急售，随时看房,270万,东明新村  | 2室1厅 | 45.81平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-a015e103-9827-4bd6-b571-f082088b5b41.jpg.296x216.jpg
20190504,浦东,陆家嘴,方便看房  一房一厅  适合居家客户  预购从速啦！,323万,东园一村  | 1室1厅 | 36.06平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-075de510-5b0d-4043-bd65-976c64c82dea.jpg.296x216.jpg
20190504,浦东,陆家嘴,爱建大楼 1室1厅 305万,305万,爱建大楼  | 1室1厅 | 42.96平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-dbbf4b92-ba72-46d9-9086-f11b45b9a3c4.jpg.296x216.jpg
20190504,浦东,陆家嘴,财富新出好房，满五年税费低，业主诚意出售，随时看,1818万,财富海景花园  | 2室2厅 | 160.87平米 | 东北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-34b9ae19-dd6d-4d18-8d2f-fc0ac91d3696.png.296x216.jpg
20190504,浦东,陆家嘴,天科苑 3室2厅 1100万,1100万,天科苑  | 3室2厅 | 151.12平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-91aaf598-5f92-4210-b61a-9f86998f4642.png.296x216.jpg
20190504,浦东,陆家嘴,仁恒滨江园 4室2厅 2198万,2198万,仁恒滨江园  | 4室2厅 | 241.7平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-4a83da31-e433-4e38-aa53-842e0912a827.png.296x216.jpg
20190504,浦东,陆家嘴,居家江景房 權明户型 三开间朝南 阳光充足 业主很急售,510万,滨江大楼  | 2室1厅 | 70.76平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-32ddac0a-4f92-4966-af7b-4ecb35cbcf15.jpg.296x216.jpg
20190504,浦东,陆家嘴,旁边陆家嘴，离地铁近，户型好，朝向佳。,390万,东园一村  | 2室0厅 | 44.18平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-85d72130-7d4d-4131-9be0-a929745189d1.jpg.296x216.jpg
20190504,浦东,陆家嘴,东园三村 2室1厅 507万新上,507万,东园三村  | 2室1厅 | 56.34平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-89456002-b643-423f-bfc0-bbdc390e4c4d.png.296x216.jpg
20190504,浦东,陆家嘴,业主解决购房资质，诚意出售，售后公房，自住看房随时,288万,东明新村  | 2室1厅 | 50.29平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-0283a4d1-6cde-4a84-b7eb-de6817916567.png.296x216.jpg
20190504,浦东,陆家嘴,陆家嘴板块带地暖的公寓房、小区安静、中间楼层,650万,众盛公寓  | 3室2厅 | 109.85平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-a6aed1a2-72b5-4a53-99e2-b0f943ff77ac.png.296x216.jpg
20190504,浦东,陆家嘴,世茂朝南全明俩房，带阳台。老客户置换出售。,1350万,世茂滨江花园  | 2室1厅 | 147平米 | 东南 南 西南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-3bebfa16-187b-4d9b-b388-a6da0cde70b9.png.296x216.jpg
20190504,浦东,陆家嘴,陆家嘴精装1室户，2469四轨交汇,朝南带阳台，明亮！,215万,张杨路370弄  | 1室1厅 | 30.43平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-bf281e43-b3ba-48ff-b63e-1991765c5846.png.296x216.jpg
20190504,浦东,陆家嘴,陈家宅小区(潍坊西路) 2室0厅 390万,390万,陈家宅小区(潍坊西路)  | 2室0厅 | 52.29平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-fc8981a3-011b-4e1b-8acd-1136209d21c4.png.296x216.jpg
20190504,浦东,陆家嘴,崂山新村  2楼 动迁房  一梯三户 急售 1980年房龄,300万,崂山新村  | 2室1厅 | 46.09平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-d79e3f33-950f-445f-a5e8-d6937dd80404.png.296x216.jpg
20190504,浦东,陆家嘴,葱郁绿色承包您每天的好心情！8成新，有钥匙随时看！,3500万,盛大金磐  | 3室2厅 | 301.69平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-5e6595fa-231d-4500-abd3-04faef5919ca.png.296x216.jpg
20190504,浦东,陆家嘴,装修很漂亮，墙壁是大理石。50层以上，一线江景,2279万,世茂滨江花园  | 3室2厅 | 237平米 | 西南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-11e96378-91c2-44a6-a6d3-b09293aee1f3.png.296x216.jpg
20190504,浦东,陆家嘴,陆家嘴小户型三房，业主诚意出售,450万,东港公寓  | 3室2厅 | 65.02平米 | 西 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-f4cb853f-14ce-4d93-8061-a78e71887d7b.png.296x216.jpg
20190504,浦东,陆家嘴,陆家嘴通透景观三房，业主诚意出售,900万,京城大厦  | 3室2厅 | 141.04平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-5bc38237-426d-4a92-a9e3-ab317737f5ae.jpg.296x216.jpg
20190504,浦东,陆家嘴,菊园 4室2厅 1270万,1270万,菊园  | 4室2厅 | 156.29平米 | 西南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-e1e66012-ce9f-4fa3-b7ae-55193c4902dc.png.296x216.jpg
20190504,浦东,陆家嘴,三期南北通四房看花园池景，双南采光方便看房诚意售,2050万,仁恒滨江园  | 4室2厅 | 187平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-eb24a2d8-6b91-4a92-afa9-51c2a9c77b74.jpg.296x216.jpg
20190504,浦东,陆家嘴,荣成小区 1室1厅 258万,258万,荣成小区  | 1室1厅 | 31.64平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-7b552169-5d55-4e5b-ac60-c588eb140dfe.png.296x216.jpg
20190504,浦东,陆家嘴,满五业主只有一套房，精装房，交通便利，拎包入住,298万,东港公寓  | 1室1厅 | 41.38平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-3f74656f-0b71-471a-a9cc-1a891d1cb403.jpg.296x216.jpg
20190504,浦东,陆家嘴,该房楼层居中，朝东，住宅产权，税费少，诚意出售,350万,汤臣商务中心  | 1室1厅 | 62.11平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-a5d8ff6b-8ded-421a-bd84-f41dd599c633.jpg.296x216.jpg
20190504,浦东,陆家嘴,住宅产权，总价低，拎包入住，看房方便,280万,汤臣商务中心  | 1室1厅 | 45.98平米 | 暂无数据 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-28993f7e-e583-4509-9ad7-bc7ade749864.png.296x216.jpg
20190504,浦东,陆家嘴,世茂滨江花园：精致温馨小户型，到陆家嘴上班步行足矣,820万,世茂滨江花园  | 1室2厅 | 85.07平米 | 东北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-a2197b75-2a09-4c90-9ba2-e1939ef0f536.jpg.296x216.jpg
20190504,浦东,陆家嘴,东园小一房，总价低，随时签字，看房方便，诚意出售！,325万,东园四村  | 1室1厅 | 33.99平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-bdeffb82-c989-4ce3-8ca3-da89d8086b54.png.296x216.jpg
20190504,浦东,陆家嘴,浦江茗园 3室2厅 1125万,1125万,浦江茗园  | 3室2厅 | 132.88平米 | 西南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-f4d247a1-fe68-4c72-abbf-6e53817b7c40.png.296x216.jpg
20190504,浦东,陆家嘴,业主上门挂牌+内环内电梯双南两房+有租客预约看房,500万,滨江大楼  | 2室1厅 | 78.74平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-1b007b31-df3e-4455-a0dd-391495313ef7.png.296x216.jpg
20190504,浦东,陆家嘴,陆家嘴南北透大三房，单价七万，处理资产诚意卖！,1060万,天科苑  | 3室2厅 | 156.06平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-0a782b4c-05f0-4c9e-b676-e16b0b170ea1.jpg.296x216.jpg
20190504,浦东,陆家嘴,张杨路370弄 1室1厅 245万,245万,张杨路370弄  | 1室1厅 | 30.43平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-a0b65dce-64c8-4664-89ac-26057801bb46.jpg.296x216.jpg
20190504,浦东,陆家嘴,陆家嘴精致小户型+全南+全明2卫+看房提前约,850万,汇豪天下  | 1室2厅 | 92.44平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-3997404d-dd8c-4208-84de-e8aca7191d2a.jpg.296x216.jpg
20190504,浦东,陆家嘴,东昌新村 1室1厅 340万,340万,东昌新村  | 1室1厅 | 39.68平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-5da063b7-58ea-4dd5-a6b7-90107dd5ebb5.jpg.296x216.jpg
20190504,浦东,陆家嘴,高区全明两房、奢华装修带地暖、拎包入住、层高3.2米,930万,菊园  | 2室2厅 | 90.57平米 | 东 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-ba27d832-9169-4970-8bf8-630282216680.png.296x216.jpg
20190504,浦东,陆家嘴,满五唯一，单价低，业主诚意出售，看房方便。房主自荐,580万,滨康大楼  | 3室1厅 | 85平米 | 南 北 | 精装,https://image1.ljcdn.com/310000-inspection/prod-47fe31be-1ad3-4f2d-ab0e-3506af9b9b13.jpg.296x216.jpg
20190504,浦东,陆家嘴,东园南北两房，售后公房，业主诚意卖，随时可看,460万,东园二村  | 2室1厅 | 55.44平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-c3a7514d-356a-4582-b132-a27f7ee63ee7.jpg.296x216.jpg
20190504,浦东,陆家嘴,近陆家嘴金融区，房型好采光足，业主委托钥匙,370万,招远小区  | 2室1厅 | 52.91平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-bc64538b-5690-4b20-bb2f-29169f4476c1.png.296x216.jpg
20190504,浦东,陆家嘴,五月好房+内环内+普通住宅+有天井+税费少,260万,东明新村  | 2室1厅 | 36.35平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-1a7eba32-16b2-4be1-866e-d3529ad2d904.jpg.296x216.jpg
20190504,浦东,陆家嘴,荣成路41弄 2室1厅 422万,422万,荣成路41弄  | 2室1厅 | 58平米 | 南 北 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-de76ff1a-21a7-4c3f-b6d5-8c212ddfaadd.jpg.296x216.jpg
20190504,浦东,陆家嘴,诚意出售看房提前预约，税费少，客厅带阳台。,745万,瑞苑公寓  | 1室2厅 | 102.37平米 | 西北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-0e8c537a-4f40-4822-ba6d-0be2a8a76efb.png.296x216.jpg
20190504,浦东,陆家嘴,陆家嘴 精装修 好出租 满五年 税低产权清晰 有拆可能,330万,崂山新村  | 2室0厅 | 44.33平米 | 东南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-60fc33ae-c4f5-4181-aa5c-93840cef1e93.jpg.296x216.jpg
20190504,浦东,陆家嘴,陆家嘴，业主诚意出售的两房，看房随时有钥匙,445万,天后宫大楼  | 2室1厅 | 68.49平米 | 东 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-87e4566f-fca2-4eee-bb7e-e293e8cf51f3.png.296x216.jpg
20190504,浦东,陆家嘴,世茂高区全江景房，精装交付.随时看房,2650万,世茂滨江花园  | 4室2厅 | 315.74平米 | 西南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-5b71234c-4437-46ea-a201-cbb7119e55e8.png.296x216.jpg
20190504,浦东,陆家嘴,整个小区仅有这套诚意卖，且高区江景房，汤臣一品,9000万,汤臣一品  | 4室2厅 | 433平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-3fb57094-cceb-4947-a11f-43ccf71fa665.png.296x216.jpg
20190504,浦东,陆家嘴,满5唯一有车位 税费少 全南2房 业主急售,1980万,财富海景花园  | 2室2厅 | 170.73平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-f44e23b7-601b-46ed-abf6-678f7cc10d5b.jpg.296x216.jpg
20190504,浦东,陆家嘴,陆家嘴新精装婚房出售 一手动迁满5年少税 业主急售,420万,陈家宅小区(潍坊西路)  | 1室1厅 | 52.49平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-896317fc-2af1-4be3-b258-fd01509bb405.png.296x216.jpg
20190504,浦东,陆家嘴,百富达公寓 2室2厅 839万,839万,百富达公寓  | 2室2厅 | 114.5平米 | 南 西 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-e0b5ada0-8a88-4f4d-80a9-2bd41c6999d8.png.296x216.jpg
20190504,浦东,陆家嘴,边套全明大两房，92年房龄，房型通透采光充足,405万,崂山五村  | 2室1厅 | 60.16平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-70b50bfe-6f43-4299-99bf-76358cab0115.jpg.296x216.jpg
20190504,浦东,陆家嘴,陆家嘴复式，70年住宅，采光通风俱佳，满五年税少,468万,久阳滨江公寓  | 1室1厅 | 69.45平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-7ce35951-9ee6-4d2c-a963-ec1375fe7cff.jpg.296x216.jpg
20190504,浦东,陆家嘴,陆家嘴地段 世纪大道地铁边 边套带厅大一房 看房方便,260万,乳山五村  | 1室1厅 | 39.95平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-424cab97-ea50-48bd-812e-7f83278aaee4.jpg.296x216.jpg
20190504,浦东,陆家嘴,高区精致一房，满园春色关不住，满五唯一，业主诚意卖,900万,世茂滨江花园  | 1室2厅 | 85.07平米 | 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-b2aabaff-b691-4aa6-9363-0a1587ab6b4a.png.296x216.jpg
20190504,浦东,陆家嘴,业主置换急售 价格可谈八佰伴商圈 近地铁 南北通两房房主自荐,285万,东南新村(浦东)  | 2室1厅 | 48.39平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-c81410db-91f6-469e-89d3-12b6de464313.jpg.296x216.jpg
20190504,浦东,陆家嘴,带露台，满五唯一，全新装修，随时看房,440万,张杨路370弄  | 2室1厅 | 49.38平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-9e27af5e-e9ec-4c98-9643-1f55fdaec2ef.jpg.296x216.jpg
20190504,浦东,陆家嘴,三航小区 2室1厅 365万,365万,三航小区  | 2室1厅 | 49.9平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-a77a26d8-8b73-4cf6-a1b0-2148ee976871.png.296x216.jpg
20190504,浦东,陆家嘴,业主诚意卖，单价低。地铁口大面积两房,300万,崂山四村  | 2室0厅 | 48.5平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-0790df20-e0f9-468b-a3c1-f94a652ea478.jpg.296x216.jpg
20190504,浦东,陆家嘴,近期可看+五月内环好房+婚房精装修+布局合理+有露台,680万,滨江大楼  | 3室2厅 | 112.85平米 | 东北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-acf9e0e3-4a10-4fac-a8ef-10916fb61c79.png.296x216.jpg
20190504,浦东,陆家嘴,乳山三村，总价低230万，1室1厅，陆家嘴板块,230万,乳山三村  | 1室1厅 | 33.25平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-863ae87e-9e50-48c4-bb59-180cbc640689.jpg.296x216.jpg
20190504,浦东,陆家嘴,陆家嘴，单价低，总价低3房，高区，采光好，无增值税,890万,东园四村  | 3室2厅 | 143.96平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-14cbbcee-960f-4690-9af8-04cf97098b9a.jpg.296x216.jpg
20190504,浦东,陆家嘴,京城大厦 3室2厅 860万,860万,京城大厦  | 3室2厅 | 141.04平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-fef01687-ed6c-4c65-b256-81b1a236c60f.jpg.296x216.jpg
