20190504,浦东,金杨,6号线距离200米双南全明通透户型+精装修税费低随时看,318万,金杨新村三街坊  | 2室1厅 | 60.75平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/0ba53f21-b7ee-46a2-b12f-fcfce2e45db0.jpg.296x216.jpg
20190504,浦东,金杨,金杨七街坊，中装一房，房型正气，前后无遮挡，采光好,245万,金杨七街坊  | 1室1厅 | 49.52平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-71ea9caa-6ff7-4032-be95-25a3f4d97842.png.296x216.jpg
20190504,浦东,金杨,精装修.健身楼层.近地铁.房东诚意卖.房主自荐,430万,仁和花苑  | 2室2厅 | 76.62平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-3f7c0b62-e861-4f96-8998-b56aca2a9fca.jpg.296x216.jpg
20190504,浦东,金杨,双南采光好  价格可小刀   房东诚心出售,515万,金桥路530弄  | 2室1厅 | 77.56平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-4a5ff7d6-0ed1-412e-aa6e-b71fe84aae2a.jpg.296x216.jpg
20190504,浦东,金杨,全明户型，一手动迁房税费少，交通便捷,390万,金杨新村八街坊  | 2室1厅 | 91.47平米 | 西南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-2f132d5c-e747-46e5-967b-e48234ad4d6f.png.296x216.jpg
20190504,浦东,金杨,动迁分配房，唯一少税 ，宜居楼层，带天井15平米,245万,香山新村西北街坊  | 1室1厅 | 47.36平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-a254bd94-2432-4d9c-a7ff-a77fc1ee650f.png.296x216.jpg
20190504,浦东,金杨,小区位置好，采光充足，动迁房，诚意出售,275万,罗山六村  | 1室1厅 | 49.56平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-3bc681b6-6d42-487a-b0f2-38970e946597.jpg.296x216.jpg
20190504,浦东,金杨,金杨新村三街坊 2室1厅 360万新上,360万,金杨新村三街坊  | 2室1厅 | 59.51平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-488f0324-34c3-4f82-94dd-71b049e2c14b.jpg.296x216.jpg
20190504,浦东,金杨,银山路187弄 3室2厅 560万新上,560万,银山路187弄  | 3室2厅 | 112.8平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-1d4c637b-cbd8-4b59-84bc-25f1f7c04473.jpg.296x216.jpg
20190504,浦东,金杨,香山新村西北街坊 2室1厅 330万新上,330万,香山新村西北街坊  | 2室1厅 | 60.08平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-594e41ee-5f72-46ac-8e1e-12d75889d4c3.jpg.296x216.jpg
20190504,浦东,金杨,金杨新村三街坊 2室1厅 330万新上,330万,金杨新村三街坊  | 2室1厅 | 58.24平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-11c0e602-ba66-4f09-a073-8036f6799fcd.jpg.296x216.jpg
20190504,浦东,金杨,金桥路530弄+满五年唯一+居家装修+诚心出售,750万,金桥路530弄  | 3室1厅 | 119.24平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-8b1f044b-ae18-49fe-9d38-44dc5edd88b0.png.296x216.jpg
20190504,浦东,金杨,看房方便，全明户型，位置好，业主诚意卖房,460万,黄山始信苑  | 1室1厅 | 51.92平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-1b3039d3-ff34-4f8b-b0ca-f4dafa1136da.jpg.296x216.jpg
20190504,浦东,金杨,全明户型，楼层好，房东诚意出售，有钥匙看房方便,330万,罗山六村  | 2室1厅 | 61.86平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-d515652d-e0d4-4a58-82a4-838c5d57ee4e.jpg.296x216.jpg
20190504,浦东,金杨,金杨五街坊，中间套一房一厅。中间楼层，总价低,250万,金杨新村五街坊  | 1室1厅 | 48.73平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-151890f9-df00-4839-b1b3-841124cdc0ae.png.296x216.jpg
20190504,浦东,金杨,电梯房，三房朝南，客厅带窗，全明户型,470万,金杨新村八街坊  | 3室1厅 | 101.69平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-e1a1dbc5-0564-40da-ae0f-dda067377316.jpg.296x216.jpg
20190504,浦东,金杨,产权清晰，无户口，无抵押，无贷款，看房有钥匙。,270万,大桥花苑  | 2室1厅 | 47.9平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-b9bf4c28-632c-46e8-916a-4871f0319d8a.jpg.296x216.jpg
20190504,浦东,金杨,02年 商品房小区，少有电梯户型方正三房，带露台！,950万,通联苑  | 3室2厅 | 137.81平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-59ec5d7e-a3b8-41f8-baae-18001470e942.jpg.296x216.jpg
20190504,浦东,金杨,金芝苑 4室3厅 960万,960万,金芝苑  | 4室3厅 | 179.55平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-f8ad2290-ec28-4817-8ee1-f03f5dc044ab.jpg.296x216.jpg
20190504,浦东,金杨,顶楼复式，02年小区，小区环境好，业主诚意出售,1100万,广洋苑  | 4室3厅 | 175.34平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-3d9c9a65-d5e9-42fa-9600-707e526f7d4c.jpg.296x216.jpg
20190504,浦东,金杨,满五唯一，小区中间位置 不靠马路 精装修,780万,上房金丰苑  | 3室2厅 | 125.27平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-4da08979-c42b-4a2b-8df7-589257ef47ff.jpg.296x216.jpg
20190504,浦东,金杨,陆家嘴新景园 3室2厅 850万,850万,陆家嘴新景园  | 3室2厅 | 135平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-9c32e8f4-5285-4d2b-a905-3639f85aa2ba.jpg.296x216.jpg
20190504,浦东,金杨,婚房装修，通风好，采光好，看房方便，可改动性大,290万,金杨新村十街坊  | 2室1厅 | 55.09平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-1aabf77f-612f-4aae-b9a9-affdc179b3bc.jpg.296x216.jpg
20190504,浦东,金杨,此房满五唯一，全明户型，精装修，看房方便，适合过渡,245万,寺前浜  | 1室1厅 | 52.52平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-93b1fc9e-cd14-4466-8948-f41b1286ec26.jpg.296x216.jpg
20190504,浦东,金杨,采光充足，前后无遮挡，业主诚意出售，价格付款谈.,380万,金杨新村十一街坊  | 2室1厅 | 66.17平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-e0061830-a3bb-4a2e-81ae-d3443143804e.jpg.296x216.jpg
20190504,浦东,金杨,罗山五村 2室1厅 380万,380万,罗山五村  | 2室1厅 | 60.99平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-1ddfb01b-50db-44f5-a776-2e64bb5ccb8b.jpg.296x216.jpg
20190504,浦东,金杨,钻石2楼，动迁满五唯一，无抵押，无贷款，产权清晰,205万,金杨新村九街坊  | 1室1厅 | 38.75平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-e46cb517-50d1-4290-b59a-19e13331c79b.png.296x216.jpg
20190504,浦东,金杨,香山新村，一梯二户，双南朝向。不靠马路，位置安静,330万,香山新村西南街坊  | 2室1厅 | 66.04平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-f6aa300b-d9c3-47b4-bc13-c7afe538a449.jpg.296x216.jpg
20190504,浦东,金杨,南北通 采光好 小区央座 诚意出售 看房方便房主自荐,365万,金台三居  | 2室2厅 | 80.85平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-97808995-7e78-41a9-8dee-cc3a4138cf21.png.296x216.jpg
20190504,浦东,金杨,新精装修未入住过房东置换诚心卖,309万,罗山一村  | 2室1厅 | 70.2平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-d76bd4ef-f973-4a94-9a98-018d259689f8.png.296x216.jpg
20190504,浦东,金杨,采光充足，前后无遮挡，精装修两年，业主诚意出售,240万,金杨七街坊  | 2室1厅 | 47.73平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-d98ffcfd-7bfb-4272-a4ff-b068d380861d.jpg.296x216.jpg
20190504,浦东,金杨,九街坊，双南一北动迁无增值税。户型方正，诚心出售,380万,金杨新村九街坊  | 2室1厅 | 76.57平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-b8f5b022-4345-4cd5-8822-b0f2f2a0ed8c.jpg.296x216.jpg
20190504,浦东,金杨,南北两房，qu明户型，楼层好位置佳视野宽阔,310万,栖山路1861弄  | 2室1厅 | 61.58平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-15c9cf4c-4780-4b44-b894-ea826a94c4e1.png.296x216.jpg
20190504,浦东,金杨,房东诚售     看房方便   有花园   中间位置,800万,蝶恋园  | 3室2厅 | 128.71平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-49dda765-d5aa-42ab-8d49-e8640d227ea3.jpg.296x216.jpg
20190504,浦东,金杨,三开间朝南大花园 小区中间位置  精装修 带固定车位,1115万,上海未来  | 3室2厅 | 129.75平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-25679bd7-6c2a-4e36-928c-42d486f89418.jpg.296x216.jpg
20190504,浦东,金杨,东方知音苑 3室2厅 985万,985万,东方知音苑  | 3室2厅 | 114.01平米 | 南 北 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-7aa6d2f1-fab1-4323-9a36-c50e3a4c9041.jpg.296x216.jpg
20190504,浦东,金杨,6号地铁口云山路广洋苑客厅2卧朝南观景电梯小高层安静,1000万,广洋苑  | 3室2厅 | 128.31平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-31456f7c-9ceb-4373-a8fc-c882ea9c2b92.jpg.296x216.jpg
20190504,浦东,金杨,精装+双房朝南，视野开阔，近地铁，位置好,329万,罗山六村  | 2室1厅 | 64.53平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-eb8660d1-4b0e-49e9-8d37-a8d34791bbe6.jpg.296x216.jpg
20190504,浦东,金杨,《小区后排位置，双东两房，业主自己住，中间楼层》,340万,罗山七村  | 2室1厅 | 62.97平米 | 东南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-6a65934a-00b8-42ce-bc4a-edc724e0737e.jpg.296x216.jpg
20190504,浦东,金杨,边套全明厅带窗，双轨交通{6+14}，小区少有的户型,320万,罗山三村  | 2室1厅 | 62.09平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-e6bfc13a-0756-4c6b-b18a-b57f282db747.jpg.296x216.jpg
20190504,浦东,金杨,香山新村东北街坊 2室1厅 400万,400万,香山新村东北街坊  | 2室1厅 | 65.85平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-3a294450-f099-428f-88d4-68c32c3fa4b9.jpg.296x216.jpg
20190504,浦东,金杨,香山新村东北街坊 2室1厅 370万,370万,香山新村东北街坊  | 2室1厅 | 65.8平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-a9c5f4ee-87ca-4b31-8aa6-be10430a2619.jpg.296x216.jpg
20190504,浦东,金杨,急售《内环旁大三房+近地铁》一梯两户+全明+视野宽阔,500万,仁和花苑  | 3室2厅 | 94.18平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-d6b34e44-f13c-426a-b78c-0a52ccf2899b.jpg.296x216.jpg
20190504,浦东,金杨,金杨六街坊，房东诚心售，致远旁边，全明户型，单价低,370万,金杨新村四街坊  | 2室1厅 | 60.16平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-7bff8c28-603c-4734-ac26-7524aca3ce9c.png.296x216.jpg
20190504,浦东,金杨,经典三南房型 楼层佳 楼栋位置好 现在可以随时看房啦,225万,金杨新村十街坊  | 1室1厅 | 41.71平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-043d240e-81b9-427b-96ec-b8563c07d580.jpg.296x216.jpg
20190504,浦东,金杨,一梯二户 双规交、地铁九号线蓝天路地铁站、14号线,385万,银山小区  | 2室1厅 | 64.26平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-258ea019-5a45-4a06-be70-ab73cb5bc702.jpg.296x216.jpg
20190504,浦东,金杨,金杨五街坊，近九号线地铁口，楼层好，全明户型。房主自荐,410万,金杨新村五街坊  | 2室2厅 | 74.34平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-f39c4943-35c5-47a5-b41e-2d32bfbb8d58.jpg.296x216.jpg
20190504,浦东,金杨,银山路187弄 2室2厅 390万,390万,银山路187弄  | 2室2厅 | 80.07平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-bfe5bfcf-272d-4b13-8b6c-7a32fe1ac1a0.png.296x216.jpg
20190504,浦东,金杨,罗山六村 1室1厅 255万,255万,罗山六村  | 1室1厅 | 49.64平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-12a900d1-4779-45e4-b0f4-d7d7ef3f4b2b.jpg.296x216.jpg
20190504,浦东,金杨,电梯房，双南户型，视野开阔，业主诚意出售，满五年,720万,东方广场  | 2室2厅 | 110.89平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-dbc7366a-15ed-4a5b-be4c-1aa85d87a361.jpg.296x216.jpg
20190504,浦东,金杨,罗山三村 2室1厅 430万,430万,罗山三村  | 2室1厅 | 78.88平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-9387276a-bb5f-419c-9942-7ad6a909c631.jpg.296x216.jpg
20190504,浦东,金杨,房改售房 无增值税 随时看房，房东诚意出售 产权清晰,590万,金桥路530弄  | 2室1厅 | 77.85平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-3b10a75e-2d16-47cc-829d-6fc444940241.jpg.296x216.jpg
20190504,浦东,金杨,南北通透，边套全明，花园位置，格局好，空间独立.,350万,罗山六村  | 2室1厅 | 58.97平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-a9422e53-8bc1-4e54-a2a0-d45961cbf0f5.jpg.296x216.jpg
20190504,浦东,金杨,罗山四村 1室1厅 230万,230万,罗山四村  | 1室1厅 | 46.04平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-f07427e6-5881-4889-8eca-4788e058fdaa.jpg.296x216.jpg
20190504,浦东,金杨,香山新村东南街坊 2室1厅 300万新上,300万,香山新村东南街坊  | 2室1厅 | 51.66平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-2474bd13-5438-47ed-b75a-78d2929844a0.png.296x216.jpg
20190504,浦东,金杨,小区中间三楼，03年动迁房，朝南新上,620万,栖山家园  | 2室2厅 | 76.2平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-ea1b5150-1073-4b28-a095-c7abd34d968f.png.296x216.jpg
20190504,浦东,金杨,双南双天井，满五年唯一，户型好，位置安静新上,285万,金杨七街坊  | 2室1厅 | 52.7平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-a858d4f8-ee53-40f5-8dde-052f71997dda.jpg.296x216.jpg
20190504,浦东,金杨,6号线14号线地铁，全明，一梯两户，拎包入住。,660万,黄山新村  | 3室2厅 | 110.39平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-a84a99f0-f351-48e3-b6a7-2cc668f44f76.png.296x216.jpg
20190504,浦东,金杨,金杨六街坊 边套*明户型 价格可谈,330万,金杨六街坊  | 2室1厅 | 50.88平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-f9d6cd6d-c344-45eb-a15c-f901b942b03b.jpg.296x216.jpg
20190504,浦东,金杨,一手动迁 一梯两户 满五唯一 全明户型,620万,栖山家园  | 2室1厅 | 78平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-445aaad8-bc3e-4ac8-b8d5-f5d577142b65.jpg.296x216.jpg
20190504,浦东,金杨,地铁六号线 中上装修 拎包入住  随时看房 诚意出售,420万,上泰花苑  | 2室2厅 | 75.83平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-d5aac8ec-b552-4e8c-b4e5-8f1c2827a288.jpg.296x216.jpg
20190504,浦东,金杨,金杨新村三街坊，双南户型，采光好，视野开阔,330万,金杨新村三街坊  | 2室1厅 | 59.5平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-071f9091-9fb1-4b69-bca8-a39f83da0a12.jpg.296x216.jpg
20190504,浦东,金杨,金桥国际，久金广场商圈，双南全明两房，满五唯一,290万,金杨新村九街坊  | 2室1厅 | 58.3平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-be7b6673-2eb6-4111-a718-1a53b3aa4e46.jpg.296x216.jpg
20190504,浦东,金杨,金杨三街坊4楼两房，双南全明，满五年，小区中间位置,333万,金杨新村三街坊  | 2室1厅 | 58.84平米 | 东 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-36e53e11-77a5-48d9-9e01-8fb60bf3fc22.jpg.296x216.jpg
20190504,浦东,金杨,云山星座苑    精装修两房  楼层好  采光充足,830万,云山星座苑  | 2室2厅 | 98.7平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-ea8656a4-8693-415c-bf1f-8afbe9992fef.jpg.296x216.jpg
20190504,浦东,金杨,大家看过来-精装满五唯一，双南户型，中间楼层三轨房,355万,金杨新村五街坊  | 2室1厅 | 60.4平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-58f5715f-feb6-4399-9f8d-217dc9475cc0.jpg.296x216.jpg
20190504,浦东,金杨,金杨新村五街坊 2室1厅 325万,325万,金杨新村五街坊  | 2室1厅 | 59.59平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-5c6d4521-7179-46a2-8c69-864a5be71117.jpg.296x216.jpg
20190504,浦东,金杨,精装修，楼层好，户型正，可改小两房,240万,金杨新村三街坊  | 1室1厅 | 44.67平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-b2b9c650-0bd6-481b-99a2-77598bcc3583.png.296x216.jpg
20190504,浦东,金杨,一梯两户 双南两房 客厅有边窗 中等楼层 毛坯房,365万,金杨一街坊  | 2室1厅 | 69.81平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-984f7b19-e98d-4515-b816-4e0ea1bc779d.jpg.296x216.jpg
20190504,浦东,金杨,电梯房+楼层好+有钥匙+房东诚心卖+随时看，近地铁,730万,名典苑  | 2室2厅 | 112.82平米 | 南 | 精装,https://image1.ljcdn.com/310000-inspection/test-cccbe789-e03a-4fa9-8b98-9d4454ee7f47.png.296x216.jpg
20190504,浦东,金杨,西北一梯两户，南北通风户型好，目前空关随时看房,280万,香山新村西北街坊  | 1室1厅 | 49.95平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-d616c6d8-743d-497b-a73c-628e99c5f0b2.jpg.296x216.jpg
20190504,浦东,金杨,产权清晰，无户口，无抵押，无贷款，看房有钥匙。,243万,大桥花苑  | 2室1厅 | 47.9平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-a681afaf-625f-4f54-9685-5d6f36dd1068.jpg.296x216.jpg
20190504,浦东,金杨,银山小区 1室1厅 235万,235万,银山小区  | 1室1厅 | 50.18平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-bc3cd152-b74f-4b08-9671-871dfd5016d0.jpg.296x216.jpg
20190504,浦东,金杨,总价低 单价低 全明户型 价格可谈 房东诚意,270万,金杨七街坊  | 2室1厅 | 56平米 | 东南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-1e39185f-f690-4f70-99af-8ac3a5dafa3a.png.296x216.jpg
20190504,浦东,金杨,小区好户型，一梯两户，双南全明两房，诚意出售,340万,香山新村西北街坊  | 2室1厅 | 62.87平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-80c3202c-2be5-4813-8234-adcd387a1b59.jpg.296x216.jpg
20190504,浦东,金杨,双南全明户型，《售后公房满五唯一无个税》一梯两户，,440万,罗山七村  | 2室1厅 | 74.87平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-fb01cbe7-6c84-40ee-be59-033d4d6d1281.png.296x216.jpg
20190504,浦东,金杨,小区央座，五楼采光好，两年的精装修，保养很好。,415万,罗山五村  | 2室1厅 | 76.02平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-fcb40fc7-49f9-4178-a4b7-c57164603f30.png.296x216.jpg
20190504,浦东,金杨,满五年唯一，建平大三房两厅两卫三阳台-园林式小区,970万,弘扬公寓  | 3室2厅 | 127.85平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-3f3fe219-3fbe-4054-91ab-f555eecaf4d4.jpg.296x216.jpg
20190504,浦东,金杨,精装1房 非顶楼 近地铁6+9+14号线 满5唯一 急售,190万,香山新村东北街坊  | 1室0厅 | 37.8平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-4d1c97d6-6f65-4adb-9a82-14bedd6ae28e.jpg.296x216.jpg
20190504,浦东,金杨,中环内，电梯四楼不靠路，房东定居美国,750万,上房金丰苑  | 3室2厅 | 125.27平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-74a65517-109b-4b2d-9900-5b8281fdc215.jpg.296x216.jpg
20190504,浦东,金杨,满五唯一，采光好，中间位置，近地铁,253万,罗山六村  | 1室1厅 | 51.64平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-8666cc20-8168-4eff-83de-aab22974f1fc.jpg.296x216.jpg
20190504,浦东,金杨,中间楼层，满五唯一，位置好，采光充足,260万,罗山七村  | 1室1厅 | 44.13平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-2ac5133d-28ab-4b02-9fd2-ce40a8e830f3.jpg.296x216.jpg
20190504,浦东,金杨,金杨新村三街坊 1室1厅 240万,240万,金杨新村三街坊  | 1室1厅 | 42.71平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-922ed868-e830-44ca-b30c-49cd80978c78.png.296x216.jpg
20190504,浦东,金杨,6号线金桥路大面积两房，房东诚意出售，看房方便,520万,金桥路530弄  | 2室1厅 | 77.66平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-26b73b8c-d4bc-4d96-9967-02246fafc4c3.jpg.296x216.jpg
20190504,浦东,金杨,可乘地铁6号线，房东诚心出售，小区央座，随时可看,318万,金杨二街坊  | 2室1厅 | 61.75平米 | 西南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-00797b5c-6852-4e42-99b2-24b22b388930.png.296x216.jpg
20190504,浦东,金杨,名典苑， 满五年，产权一个，精装修，到价签字，急卖,750万,名典苑  | 2室2厅 | 112.83平米 | 南 | 精装,https://image1.ljcdn.com/310000-inspection/test-4be63440-4e4a-4b74-9ce4-7a2182b484e9.png.296x216.jpg
20190504,浦东,金杨,精装修业主自住，南北通，2楼不靠路，位置安静采光好,298万,金杨新村十街坊  | 2室1厅 | 52.96平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-ea581eb2-6b81-482a-8a7f-7bc6b9eba1d9.png.296x216.jpg
20190504,浦东,金杨,一手动迁+满五年唯一+双南两房+诚意出售+随时看房,316万,香山新村东南街坊  | 2室1厅 | 59.7平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-c0f61fc0-e440-41fc-a8c5-916aa401881c.jpg.296x216.jpg
20190504,浦东,金杨,动迁小两房总价低，五楼采光好，,220万,寺前浜  | 2室0厅 | 53.19平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-ab54920c-1dd7-4d43-b8e9-646c810398b9.jpg.296x216.jpg
20190504,浦东,金杨,金杨新村三街坊 2室1厅 340万,340万,金杨新村三街坊  | 2室1厅 | 60.75平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-bd6efffc-842b-4d83-924d-5200794bafef.jpg.296x216.jpg
20190504,浦东,金杨,{正气两房} 全明户型，厨房卫生间并排朝北两房朝南！,365万,罗山四村  | 2室1厅 | 74平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-07db9a98-3bef-4e71-8947-5b0eb10c1176.jpg.296x216.jpg
20190504,浦东,金杨,售后公房（无增值税 ）东边套全明 精装修三房房主自荐,335万,罗山三村  | 3室1厅 | 61平米 | 东 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-56e72ad3-29d9-4046-af16-a8e0a359b17c.jpg.296x216.jpg
20190504,浦东,金杨,交通方便，户型通透，精装修拎包入住,265万,罗山一村  | 1室1厅 | 52.04平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-cf0906c6-7de6-4ca6-ae53-2971bba2c4d0.jpg.296x216.jpg
20190504,浦东,金杨,香山新村东南街坊 1室1厅 205万,205万,香山新村东南街坊  | 1室1厅 | 39.65平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-16098453-ba28-473b-8796-0b005397b18a.jpg.296x216.jpg
20190504,浦东,金杨,罗山三村 2室1厅 350万,350万,罗山三村  | 2室1厅 | 58.28平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-6900ed59-987c-427e-9db5-2165cc733142.jpg.296x216.jpg
20190504,浦东,金杨,金杨七街坊 2室1厅 320万,320万,金杨七街坊  | 2室1厅 | 65.44平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-8c1b09fa-66c1-490d-9308-f407304fb874.jpg.296x216.jpg
20190504,浦东,金杨,罗山六村 2室1厅 350万房主自荐,350万,罗山六村  | 2室1厅 | 61.36平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-10d35002-5be1-4420-a107-3c5b85399e90.jpg.296x216.jpg
20190504,浦东,金杨,近地铁，一梯两户，名人公园，满五唯一，花园位置！,350万,上泰花苑  | 1室1厅 | 52.92平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-ec911b22-cddd-42da-ae16-9f8ead3bfce0.jpg.296x216.jpg
20190504,浦东,金杨,金杨新村五街坊 2室1厅 310万新上,310万,金杨新村五街坊  | 2室1厅 | 51.73平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-a7e3f461-ac18-498a-ace5-9b45a69769c8.png.296x216.jpg
