20190504,长宁,天山,仁恒一期大平层，看小区景观，带产权车位，看房有钥匙,1750万,中楼层(共26层)                                                    | 2004年建 |                                 4室2厅 | 213.2平米                                  | 西北 北,https://ke-image.ljcdn.com/310000-inspection/prod-edc81d42-ae28-4d9d-8eea-ef195be1a309.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,08年次新园林小区+2号线地铁上+税少+小区中间位置！,500万,低楼层(共32层)                                                    | 2006年建 |                                 1室1厅 | 50.83平米                                  | 南,https://ke-image.ljcdn.com/hdic-frame/6f80ae63-e578-44dc-9343-cb5bc5dd119f.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,近威宁路地铁站，朝南2室户，南北户型带阳台,400万,高楼层(共6层)                                                    | 1989年建 |                                 2室1厅 | 64.64平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-fbacddcd-a838-41b3-8ef5-e73dfe333f71.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,雍景园 3室2厅 南 北,1100万,中楼层(共16层)                                                    | 2001年建 |                                 3室2厅 | 142.42平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-655a4435-1a54-4cef-9fd7-646f54aac416.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,满五年唯一，二期07年房龄，房东诚意出售,550万,低楼层(共18层)                                                    | 2007年建 |                                 1室2厅 | 77.49平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-bd502fe8-3c32-4b14-a2ab-8ffdb675a753.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,大花园，私密性好，满五唯一，适合养老，宜居,700万,低楼层(共6层)                                                    | 1998年建 |                                 2室2厅 | 93.9平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-f3e5dee5-2ef2-4516-842e-96e0a1cc9fac.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,2012年次新、南看花园北看苏州河、买进从未住过！急,1380万,中楼层(共34层)                                                    | 2011年建 |                                 3室2厅 | 144.33平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-2bb87629-fb33-43d2-b36f-1dc54313aff6.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,精致小三房 看小区花园 楼层佳 视野开阔 诚意售,920万,高楼层(共13层)                                                    | 2002年建 |                                 3室2厅 | 118.42平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-2fd3e00e-8900-46c0-ba8e-e1a188ce9b2b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,河畔三期苏州河景观南北通大三房 业主诚意 带产权车位,1398万,中楼层(共28层)                                                    | 2006年建 |                                 3室2厅 | 154.48平米                                  | 南,https://ke-image.ljcdn.com/shfdfs-image/20170312/b294a11a-fe93-4f0d-b919-84a8089f56e1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,明星小区，高区，全天采光，户型正气，看房方便。,930万,高楼层(共30层)                                                    | 2002年建 |                                 3室2厅 | 132.96平米                                  | 西南,https://ke-image.ljcdn.com/310000-inspection/test-9ccce01b-28b9-4e87-b396-6a3f593428d3.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,小区中间位置，中间楼层，满五年唯一，南北通透随时约,1300万,中楼层(共12层)                                                    | 2002年建 |                                 4室2厅 | 164.23平米                                  | 南 北,https://ke-image.ljcdn.com/shfdfs-image/20170218/b7da4a76-32e7-4a6f-97f1-98b327c03b61.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,11年次新房，全南两房，中间位置，采光好，视野开阔,880万,低楼层(共33层)                                                    | 2011年建 |                                 2室2厅 | 88.43平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-8b0e2999-2864-493f-95d4-4aafa22dc3a5.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,两南一北三房，改善型住房的选择！,1120万,低楼层(共18层)                                                    | 2007年建 |                                 3室2厅 | 158.6平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-c491d0b5-7811-4ead-b75a-51ae6fb76ff0.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,全明不靠路，光线不遮挡，装修两年，拎包入住,590万,低楼层(共20层)                                                    | 1998年建 |                                 2室2厅 | 95.84平米                                  | 东南,https://ke-image.ljcdn.com/310000-inspection/test-f34e060f-6e59-4c5d-a9a5-c14867dfa214.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,您是在找，楼层好，户型正气的房型吗？点开吧！,450万,高楼层(共15层)                                                    | 2004年建 |                                 1室2厅 | 48.98平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/d3a4c90c-0ce4-44dd-b636-ef2931c2714e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,新天地河滨花园 3室2厅 南,1318万,低楼层(共33层)                                                    | 2011年建 |                                 3室2厅 | 143.48平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-9f108d6b-7ff0-4926-959c-511c443407f6.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,仁恒一期中高区景观房，满五唯一，诚意售房，看房方便,1720万,中楼层(共31层)                                                    | 2004年建 |                                 3室2厅 | 181.1平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-14702a3d-b07f-449d-b89d-389a97eb67af.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,标杆楼盘，业主诚意出售，看房方便，价格可谈,2500万,低楼层(共32层)                                                    | 2006年建 |                                 4室2厅 | 246.69平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-e870a643-ddda-47c0-a330-5352d7516f07.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,天山新苑少有的电梯房户型方正，楼层好，无暗间新上,798万,高楼层(共9层)                                                    | 1999年建 |                                 2室2厅 | 109.72平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/test-a80a9e90-61a2-4f47-845f-468d4d4c402a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,此房满五年，格局很好，楼层好，视野宽阔，采光充足,466万,中楼层(共18层)                                                    | 2007年建 |                                 1室1厅 | 65.74平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-7972e46a-8f33-4417-948f-fed4336e12d1.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,房子满五年，高区，采光没有任何遮挡,750万,高楼层(共6层)                                                    | 1998年建 |                                 3室2厅 | 114平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-d869c38f-8b6b-4c07-9e0f-ac1d6eb803db.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,4复5带阁楼+威宁路地铁+外销房+全明户型,1350万,中楼层(共5层)                                                    | 2001年建 |                                 3室3厅 | 185.4平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-732af341-ad70-4fea-aa37-80f25cca2d7a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,河畔中间3房，不靠马路，采光好，价格可谈，可看房。,1200万,低楼层(共24层)                                                    | 2006年建 |                                 3室2厅 | 142.15平米                                  | 南 北,https://ke-image.ljcdn.com/shfdfs-image/2014/0617/769A900BBC964ABAA77641E420B7C7F3.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,大三房，精装修，带车库出售........,1180万,低楼层(共12层)                                                    | 2007年建 |                                 3室2厅 | 158.27平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-5e60b3b4-8aaf-4e94-a679-6059991e34d8.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,带车位，12年小区，满五唯一，中区全南两房，婚房装修,900万,中楼层(共34层)                                                    | 2011年建 |                                 2室2厅 | 88.6平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-f6e66f03-8f69-4817-bc8d-3bc0e6e7150a.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,南北通户型，全明设计，业主诚意出售！价格可谈,700万,低楼层(共17层)                                                    | 2009年建 |                                 2室2厅 | 85.91平米                                  | 南,https://ke-image.ljcdn.com/hdic-frame/31c3d256-782c-41e1-aee2-cbc1850bbe5d.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,后排三期大三房！景观房！高区！满五唯一，二手买进,1250万,高楼层(共24层)                                                    | 2006年建 |                                 3室2厅 | 144.9平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-a5d9a627-5a91-44ed-8044-74901d4b7331.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,户型正气，诚意出售，单价比较低，方便看房,590万,低楼层(共18层)                                                    | 1999年建 |                                 2室1厅 | 90.06平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-cdcd17a5-e841-4692-921d-b2baabfc700b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,安龙大楼 1室1厅,250万,低楼层(共12层)                                                    | 1991年建 |                                 1室1厅 | 42.63平米,https://ke-image.ljcdn.com/310000-inspection/prod-3c9675ee-19fd-4433-9fac-631b38c39c66.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,11年次新小区，满五唯一，南北通，精装修，看房方便,860万,低楼层(共32层)                                                    | 2011年建 |                                 2室2厅 | 88.7平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/test-f7d79011-b812-4582-a89d-4a55c4fd1d5d.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,此房业主诚意出售，小区位置好.....,660万,高楼层(共6层)                                                    | 1998年建 |                                 2室2厅 | 91.6平米                                  | 南,https://ke-image.ljcdn.com/shfdfs-image/20180106/8d542a99-7bcf-4cf7-a62c-f30ed9f1b6d2.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,泰荣苑 3室2厅 西南,1050万,高楼层(共30层)                                                    | 2002年建 |                                 3室2厅 | 132.96平米                                  | 西南,https://ke-image.ljcdn.com/shfdfs-image/20161013/2ac80677-1a90-4631-a675-8eb85c7f5666.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,仁恒复式仅此一席，带40平米露台，满五唯一带车位,3350万,高楼层(共31层)                                                    | 2005年建 |                                 5室3厅 | 359.4平米                                  | 南,https://ke-image.ljcdn.com/shfdfs-image/20161011/d0036e8b-da25-4a04-9557-8c10b45cfa7d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,天山怡景苑 6室2厅 南,2900万,高楼层(共11层)                                                    | 2009年建 |                                 6室2厅 | 285.94平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-992cc2ec-1398-45df-bdb6-24c5f596f9fd.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,楼层和采光都很好，业主诚意出售,395万,中楼层(共6层)                                                    | 1995年建 |                                 2室1厅 | 77.53平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-274bcf65-0e9e-4af9-bf45-88d91a606c3e.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,总价低，诚意出售，交通方便，配套齐全,690万,中楼层(共18层)                                                    | 1999年建 |                                 2室2厅 | 106.02平米                                  | 南,https://ke-image.ljcdn.com/hdic-frame/0c128392-7118-4810-9170-c9b94be69579.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,业主诚意出售，采光充足，交通便利，中间楼层，新上,295万,中楼层(共5层)                                                    | 1989年建 |                                 1室1厅 | 41.87平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-c0681498-08ae-4e8e-bc0a-e94f93bafe1e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,《刚挂牌》三期，景观好，保养整洁，视野开阔！！！,1800万,低楼层(共32层)                                                    | 2006年建 |                                 3室2厅 | 184.58平米                                  | 西南,https://ke-image.ljcdn.com/310000-inspection/16e1b47d-7fc5-4fc5-9d9b-724a3c8bb6c0.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,此房买进2年，买进价格高，增值税少，装修保养的不错,960万,低楼层(共18层)                                                    | 2004年建 |                                 3室2厅 | 151.23平米                                  | 南,https://ke-image.ljcdn.com/shfdfs-image/20161024/190b2b32-dfa5-4f91-b625-6dab399fe8e5.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,《精装修2年》《拎包入住》交通方便近2号线威宁站,600万,中楼层(共20层)                                                    | 1996年建 |                                 2室2厅 | 93.1平米                                  | 西,https://ke-image.ljcdn.com/310000-inspection/test-372245b1-4918-453d-bcae-bb870dd553c8.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,配套成熟 品质小区 交通便利  素质住户,455万,低楼层(共18层)                                                    | 2007年建 |                                 1室2厅 | 66平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/6f4f11f4-78e0-49a2-b63c-8ec7cdbb02a8.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,小区安静位置，南北通透四房，房型正气，满五唯一税少,1150万,低楼层(共11层)                                                    | 2001年建 |                                 4室2厅 | 155.64平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-37c76ad5-88cd-40d4-baaf-6214f1d413d0.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,2号线/15号线地铁口、南北双阳台、全明户型,920万,低楼层(共13层)                                                    | 2001年建 |                                 3室2厅 | 118.42平米                                  | 南,https://ke-image.ljcdn.com/shfdfs-image/20170928/3189395a-7b60-4d52-a2a7-8d7b457bf5a9.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,天山星城 1室2厅 南,755万,高楼层(共27层)                                                    | 2012年建 |                                 1室2厅 | 74.39平米                                  | 南,https://ke-image.ljcdn.com/hdic-frame/5a234fed-e5e8-42c9-9542-e934df96b63f.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,此房满五年，格局很好，楼层好，视野宽阔，采光充足,668万,高楼层(共18层)                                                    | 2007年建 |                                 2室2厅 | 84.15平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-8c64335b-cefc-44cf-93a0-f1a0c9edd40e.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,一楼带天井，南北朝向，看房随时诚意出售,395万,低楼层(共6层)                                                    | 1995年建 |                                 2室1厅 | 69.47平米                                  | 南,https://ke-image.ljcdn.com/shfdfs-image/20170205/09b0e82b-3653-4b20-83ad-19d5c40a94df.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,南北通五房，小区安静位置，1梯2户，得房率高，精装,1280万,低楼层(共12层)                                                    | 2001年建 |                                 5室2厅 | 176平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-622da02e-4876-4e7b-8665-d44b5cc03008.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,一楼带院子，满五年唯一可省增值税，税费少。,240万,低楼层(共6层)                                                    | 1995年建 |                                 1室1厅 | 44.86平米                                  | 南,https://ke-image.ljcdn.com/shfdfs-image/20170428/00c37552-c4c4-40b3-aa90-8d62539b1dfb.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,此房户型正气 业主诚意出售 满5年 现在空置 随时看房,935万,低楼层(共18层)                                                    | 2004年建 |                                 3室2厅 | 154.05平米                                  | 南,https://ke-image.ljcdn.com/shfdfs-image/20170923/5f4fff56-7e52-480f-b455-df0d0be98efe.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,仁恒紧凑型3房，是精英人士入住小区的不错选择！！,1248万,高楼层(共27层)                                                    | 2005年建 |                                 3室2厅 | 123平米                                  | 东,https://ke-image.ljcdn.com/310000-inspection/test-e6dff7d3-bac0-4fcc-a61e-2751c9877cbe.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,2房都朝南带飘窗，厅朝南带阳台，2卫，小区中间位置,830万,低楼层(共18层)                                                    | 2004年建 |                                 2室2厅 | 111.06平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-232d7e79-7be9-4004-b3b6-0a2705bfc419.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,小区中间位置，两房朝南厅朝南，采光很好,1180万,低楼层(共33层)                                                    | 2011年建 |                                 2室2厅 | 113.01平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/43c04091-8192-4da4-9e82-3e3f5458c743.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,2号威宁路地铁站，低总价，自住出租皆宜，看房方便,275万,中楼层(共12层)                                                    | 1991年建 |                                 1室1厅 | 47.9平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/f5d5555d-34c5-4c17-a8ac-0e5503933e46.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,新天地河滨花园 3室2厅 南 北,1400万,低楼层(共33层)                                                    | 2011年建 |                                 3室2厅 | 143平米                                  | 南 北,https://ke-image.ljcdn.com/hdic-frame/895887d5-aea4-4beb-ac8b-5d8261d2fa05.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,带产权车位+仁恒开发+精装+拎包入住+景观好+绿化高,2350万,高楼层(共32层)                                                    | 2006年建 |                                 4室3厅 | 228.44平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-8504242d-59c8-4616-b333-5b5745f14ea2.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,满五年，税费少，正气4房，三期苏州河景观，位置好,1680万,中楼层(共28层)                                                    | 2007年建 |                                 4室2厅 | 188.24平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-6c67382b-a8f9-415d-93ec-bd01ed5219ce.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,2011年竣工  全南户型  自住奢华装修,950万,低楼层(共26层)                                                    | 2011年建 |                                 2室2厅 | 85.96平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-7039a1a0-458a-43f6-a97a-83954d4a0ffc.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,中环内苏州河畔 地铁口  高区精装全明 业主急售随时看,732万,中楼层(共26层)                                                    | 2011年建 |                                 1室2厅 | 74.61平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-e0a54e75-1716-4f53-b4aa-431e98e80401.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,近地铁 楼层好 业主诚意出售 交通方便,395万,中楼层(共6层)                                                    | 1995年建 |                                 2室1厅 | 73平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/rsp_pic_upload2be9d651-1eec-44c6-80b2-90dbc3702996.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,次新房+南北通透+带空调地暖+带车位+地段好+安全性高,1398万,低楼层(共34层)                                                    | 2011年建 |                                 3室2厅 | 147.51平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/test-dfa2b760-2fd9-4899-b68b-a3fc0b477b37.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,泰荣苑 3室2厅 东南,970万,低楼层(共30层)                                                    | 2002年建 |                                 3室2厅 | 132.96平米                                  | 东南,https://ke-image.ljcdn.com/hdic-frame/af00fb94-dd3d-4ae0-979e-050828e91a56.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,2012年次新房带车位，南北通透，次新装修，高区景观房,970万,高楼层(共26层)                                                    | 2011年建 |                                 2室2厅 | 89.8平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/test-f2bfdd4a-e6be-477c-8dfc-8eb6ba412032.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,天山公寓 1室1厅 北,285万,中楼层(共17层)                                                    | 1999年建 |                                 1室1厅 | 41.61平米                                  | 北,https://ke-image.ljcdn.com/310000-inspection/486421d9-808d-4ace-afa6-b16692562927.jpg.600x.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,泰荣苑 4室2厅 南,1380万,高楼层(共33层)                                                    | 2002年建 |                                 4室2厅 | 161.49平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-6906430e-104a-4e07-bc75-1055098f5494.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,安龙大楼 1室1厅 南,290万,低楼层(共12层)                                                    | 1991年建 |                                 1室1厅 | 49.47平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-e730888e-7f1e-470f-9394-37b76a5632c0.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,楼层好，采光充足，满五三分之二唯一，税费少,360万,中楼层(共6层)                                                    | 1995年建 |                                 2室1厅 | 65.77平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/dc128442-c92c-4efa-9429-d4b4c80895d3.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,仁恒河滨花园 4室2厅 东南,2200万,低楼层(共31层)                                                    | 2006年建 |                                 4室2厅 | 242.84平米                                  | 东南,https://ke-image.ljcdn.com/310000-inspection/prod-cffc03c3-ace5-411b-b849-c02adad820fc.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,此房楼层好，视野宽阔，采光充足，配套齐全,750万,高楼层(共26层)                                                    | 2011年建 |                                 1室2厅 | 74.61平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-dafdf3ac-946e-4b48-9df6-9e440dd9d541.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,三期23号楼 位置好 大四房精装带地暖 阳光不挡,2500万,低楼层(共31层)                                                    | 2006年建 |                                 4室2厅 | 246.69平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/rsp_pic_uploadec0ae3a0-e956-46f2-aa28-64290ccfc240.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,新天地河滨花园 3室2厅 南,1200万,低楼层(共19层)                                                    | 2011年建 |                                 3室2厅 | 136.11平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-e9105b92-bbc3-4413-a544-c67fb3ce6523.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,中间楼层！带车位！大三房！两南一北！看苏州河！,1350万,低楼层(共28层)                                                    | 2006年建 |                                 3室2厅 | 154.48平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-af976a5e-db41-4754-a6ca-37507f4ea6ce.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,中间位置+2梯2户+南北通透+中低区不带花园+总高17楼,1450万,低楼层(共22层)                                                    | 2011年建 |                                 3室2厅 | 146.39平米                                  | 南 北,https://ke-image.ljcdn.com/shfdfs-image/20140824/5a8025ff-8a6b-4e97-ad6b-dd46ea65eea8.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,安龙大楼 1室1厅 南,275万,高楼层(共12层)                                                    | 1991年建 |                                 1室1厅 | 47.9平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-086c6c74-49e2-446c-8f5f-54b895b9b166.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,天原二村 1室1厅 南,252万,低楼层(共5层)                                                    | 1958年建 |                                 1室1厅 | 35.22平米                                  | 南,https://ke-image.ljcdn.com/shfdfs-image/20170403/3e3d0b8e-5b99-4f14-9540-c474afc6b72f.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,高区，房型正气，不靠马路，南北通，大厨房，自带会所,1220万,中楼层(共27层)                                                    | 2005年建 |                                 3室2厅 | 141.32平米                                  | 南 北,https://ke-image.ljcdn.com/hdic-frame/91f05e72-2e5d-4557-ae9c-b2c2d836abdd.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,仁恒河滨花园 3室2厅 东南,1550万,低楼层(共25层)                                                    | 2005年建 |                                 3室2厅 | 163.1平米                                  | 东南,https://ke-image.ljcdn.com/hdic-frame/740826f2-a612-4ce9-8cb5-2bc7eea4b4fb.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,仁恒河滨花园 4室2厅 南 北,2300万,低楼层(共31层)                                                    | 2006年建 |                                 4室2厅 | 246.69平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-b7c19033-3665-4bbd-b6d4-c4e95c632b6f.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,天原二村 2室1厅 南,500万,低楼层(共4层)                                                    | 1962年建 |                                 2室1厅 | 65.75平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-eb56eb78-2b07-45ba-bbea-1fb82a6e046c.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,天山公寓 1室1厅 北,330万,中楼层(共18层)                                                    | 1999年建 |                                 1室1厅 | 43.6平米                                  | 北,https://ke-image.ljcdn.com/310000-inspection/prod-977baeb6-c103-41ae-be94-4acdce5ac8f0.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,位置好 高区楼层 户型正气 小区房龄新,620万,中楼层(共19层)                                                    | 2009年建 |                                 1室2厅 | 62.01平米                                  | 南,https://ke-image.ljcdn.com/shfdfs-image/20141203/0e41dfab-da09-4457-bf9b-6134b9b2cdad.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,河风丽景 1室2厅 南,695万,高楼层(共15层)                                                    | 2007年建 |                                 1室2厅 | 83.8平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-faac5f0d-15c2-4a59-81ab-7fe87ab0fe83.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,精装修保养好 采光充足 视野开阔 全南户型,738万,中楼层(共26层)                                                    | 2011年建 |                                 1室2厅 | 74.61平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-30e269b0-d527-4b19-ac82-13cc0e3831b6.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,怡乐公寓 3室2厅 南,720万,高楼层(共6层)                                                    | 1998年建 |                                 3室2厅 | 116.85平米                                  | 南,https://ke-image.ljcdn.com/shfdfs-image/20151213/6544a778-1d24-47f0-a7d3-23258383fd9c.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,11年次新小区，中区南北通透，看长风公园+苏州河,1400万,中楼层(共34层)                                                    | 2011年建 |                                 3室2厅 | 145平米                                  | 南 北,https://ke-image.ljcdn.com/hdic-frame/49dc0852-33df-4a0e-8939-c42126051df2.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,长宁,天山,新天地河滨花园 3室2厅 南,1300万,中楼层(共33层)                                                    | 2011年建 |                                 3室2厅 | 138.27平米                                  | 南,https://ke-image.ljcdn.com/shfdfs-image/20170611/f3b010fb-bf9a-4944-8fe7-7e48c3106d3e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
